Date,Frequency
2016-05-10,5
2016-05-11,5
2016-05-12,4
2016-05-13,4
2016-05-14,2
2016-05-15,2
2016-05-16,11
2016-05-17,9
2016-05-18,5
2016-05-19,5
2016-05-20,3
2016-05-21,11
2016-05-22,2
2016-05-23,12
2016-05-24,10
2016-05-25,14
2016-05-26,8
2016-05-27,9
2016-05-28,5
2016-05-29,9
2016-05-30,22
2016-05-31,14
2016-06-01,13
2016-06-02,28
2016-06-03,10
2016-06-04,2
2016-06-05,12
2016-06-06,7
2016-06-07,20
2016-06-08,29
2016-06-09,39
2016-06-10,20
2016-06-11,20
2016-06-12,26
2016-06-13,35
2016-06-14,20
2016-06-15,17
2016-06-16,18
2016-06-17,15
2016-06-18,13
2016-06-19,13
2016-06-20,16
2016-06-21,15
2016-06-22,10
2016-06-23,1
2016-06-24,9
2016-06-25,1
2016-06-26,8
2016-06-27,1
2016-06-28,3
2016-06-29,2
2016-06-30,4
2016-07-01,3
2016-07-02,0
2016-07-03,2
2016-07-04,3
2016-07-05,1
2016-07-06,3
2016-07-07,2
2016-07-08,3
