contents,date
"록타르 오가르! !호드는 언제나 승리한다!! 승리가 아니면 죽음을!!
< 워크래프트: 전쟁의 서막 >  세상의 운명을 건 피할수 없는 전쟁이 시작된다! http://warcraftmovie.kr/  #워크래프트 #호드를위하여",2016-05-10
#워크래프트: 전쟁의 서막  6월9일 국내 개봉 확정. http://buff.ly/1TyzJRZ  pic.twitter.com/3zAh1O6DNW,2016-05-10
워크래프트 전쟁의 서막,2016-05-10
"[워크래프트: 전쟁의 서막] 6월 9일 개봉 확정! 2016년 단 하나의 판타지 블록버스터! 흥행 요소 전격 분석! - 뉴무비 매거진 
#워크래프트_전쟁의서막
http://www.newmoviemag.com/warcraft_points/ …",2016-05-10
"얼라이언스를 위하여! VS 호드를 위하여!
< 워크래프트: 전쟁의 서막 >  세상의 운명을 건 피할수 없는 전쟁이 시작된다! http://warcraftmovie.kr/ ",2016-05-10
"5~6월 영화관 나들이 계획
#엑스맨:아포칼립스
#워크래프트:전쟁의서막
#닌자터틀:어둠의히어로는 별 기대가 안되지만 #올리버 나오니까 봐줘야지 ",2016-05-11
워크래프트: 전쟁의 서막 http://raptor-hw.net/xe/125866 ,2016-05-11
"[워크래프트: 전쟁의 서막] 입문하기 1탄! 인간&오크 종족 캐릭터 관계 전격 분석! - 뉴무비 매거진
#워크래프트_전쟁의서막 #블리자드 #오크 #듀로탄
http://www.newmoviemag.com/wc_character/ ",2016-05-11
"얼라이언스를 위하여! VS 호드를 위하여!
< 워크래프트: 전쟁의 서막 >  세상의 운명을 건 피할수 없는 전쟁이 시작된다! http://warcraftmovie.kr/ ",2016-05-11
"6월 1일 - <아가씨> 
6월 9일 - <컨저링2>  <워크래프트: 전쟁의 서막>

참 다시 봐도 어쩜...",2016-05-11
"[워크래프트: 전쟁의 서막] 전 세계가 열광한 전설의 게임이 스크린으로! 10년의 영화화 과정 전격 공개! - 뉴무비 매거진 
#워크래프트_전쟁의서막 #던칸존스 #라이프오브파이
http://www.newmoviemag.com/warcraft_making_10years/ …",2016-05-12
워크래프트: 전쟁의 서막(Warcraft: The Beginning) 전설의 게임 10년의 영화화... http://movietok.kr/220707542329 ,2016-05-12
<워크래프트: 전쟁의 서막> 10년간의 제작 과정 소개 http://buff.ly/1T9L00I pic.twitter.com/yQLUPuxI2C,2016-05-12
"#워크래프트 #호드를하여 록타르 오가르! 진짜 이거 영화 몇년을 기다렸는지 모르겠네요. 

< 워크래프트: 전쟁의 서막 >  세상의 운명을 건 피할수 없는 전쟁이 시작된다! http://warcraftmovie.kr/ ",2016-05-12
"[워크래프트: 전쟁의 서막] 2016년 단 하나의 판타지 블록버스터! 상상을 뛰어넘는 초대형 전쟁이 시작된다! 역대급 비주얼 보도스틸 10종 전격 공개! - 뉴무비 매거진 
#워크래프트_전쟁의서막
http://www.newmoviemag.com/warcraft_10visual/ …",2016-05-13
<워크래프트: 전쟁의 서막> 공식 보도 스틸 10종 http://buff.ly/1NsscaY pic.twitter.com/qdEIJD2Tgt,2016-05-13
"얼라이언스를 위하여! VS 호드를 위하여!
< 워크래프트: 전쟁의 서막 >  세상의 운명을 건 피할수 없는 전쟁이 시작된다! http://warcraftmovie.kr/ ",2016-05-13
"얼라이언스를 위하여! VS 호드를 위하여!
< 워크래프트: 전쟁의 서막 >  세상의 운명을 건 피할수 없는 전쟁이 시작된다! http://warcraftmovie.kr/ ",2016-05-13
오는 6월 9일 국내 개봉하는 영화 '워크래프트: 전쟁의 서막' 어떤 스토리 담고 있는가? http://www.gamechosun.co.kr/article/view.php?no=133971 …,2016-05-14
워크래프트- 전쟁의 서막 (Warcraft- The Beginning  2016) 예고편   http://twinforks.blog.fc2.com/blog-entry-6581.html …pic.twitter.com/Q71DMbgepl,2016-05-14
