Date,Frequency
2017-05-01,33
2017-05-02,37
2017-05-03,28
2017-05-04,20
2017-05-05,32
2017-05-06,27
2017-05-07,40
2017-05-08,20
2017-05-09,20
2017-05-10,20
2017-05-11,27
2017-05-12,20
2017-05-13,38
2017-05-14,34
2017-05-15,20
2017-05-16,38
2017-05-17,20
2017-05-18,40
2017-05-19,20
2017-05-20,38
2017-05-21,20
2017-05-22,20
2017-05-23,37
2017-05-24,20
2017-05-25,35
2017-05-26,20
2017-05-27,20
2017-05-28,38
2017-05-29,36
2017-05-30,20
2017-05-31,20
2017-06-01,20
2017-06-02,20
2017-06-03,36
2017-06-04,20
2017-06-05,40
2017-06-06,20
2017-06-07,40
2017-06-08,38
2017-06-09,20
2017-06-10,20
2017-06-11,20
2017-06-12,38
2017-06-13,30
2017-06-14,20
2017-06-15,20
2017-06-16,20
2017-06-17,20
2017-06-18,20
2017-06-19,41
2017-06-20,20
2017-06-21,20
2017-06-22,33
2017-06-23,20
2017-06-24,20
2017-06-25,40
2017-06-26,20
2017-06-27,20
2017-06-28,20
2017-06-29,20
