Date,Frequancy
2016-03-22,5
2016-03-23,12
2016-03-24,4
2016-03-25,8
2016-03-26,6
2016-03-27,3
2016-03-28,7
2016-03-29,6
2016-03-30,2
2016-03-31,5
2016-04-01,10
2016-04-02,3
2016-04-03,5
2016-04-04,10
2016-04-05,5
2016-04-06,6
2016-04-07,33
2016-04-08,17
2016-04-09,28
2016-04-10,8
2016-04-11,18
2016-04-12,12
2016-04-13,11
2016-04-14,47
2016-04-15,30
2016-04-16,26
2016-04-17,31
2016-04-18,31
2016-04-19,24
2016-04-20,39
2016-04-21,25
2016-04-22,28
2016-04-23,27
2016-04-24,33
2016-04-25,23
2016-04-26,12
2016-04-27,22
2016-04-28,9
2016-04-29,14
2016-04-30,9
2016-05-01,13
2016-05-02,9
2016-05-03,6
2016-05-04,10
2016-05-05,6
2016-05-06,6
2016-05-07,4
2016-05-08,6
2016-05-09,1
2016-05-10,6
2016-05-11,12
2016-05-12,8
2016-05-13,9
2016-05-14,20
2016-05-15,9
2016-05-16,6
2016-05-17,4
2016-05-18,2
2016-05-19,7
2016-05-20,5
