contents,date
영화 <위대한소원>가 시한부 친구의 소원인 ㅅㅅ를 위해 고군분투하는 십대의 이야기라고 해서 이시다 이라의 <4teen> 이 원작인 줄 알았는데 아닌가보다. 4teen에 조로증에 걸려 백발이 된 친구를 위해 ㅅㅅ를 선물해주려고 고군분투하는 얘기가 있다,2016-03-22
<위대한 소원> 메인 예고편 http://tvcast.naver.com/v/783618 ,2016-03-22
"텔미를 부르고 싶지? Gee를 부르고 싶지? 소원을 말해봐를 듣고 싶나? 그 시간에 차라리 더 위대한 후크송 베토벤의 5번 교향곡 ""운명""을 들어!",2016-03-22
"류덕환X안재홍X김동영 고남갑 크로쓰!! 
발칙하고 끈끈한 세 남자의 우정 폭발 화보컷 대공개! 

#남남남_케미정석 #고환X남준X갑덕
#A컷은_그라치아와_매거진엠에서_만나요 #위대한소원 #4월21일대개봉 pic.twitter.com/mgreXe1b5G",2016-03-22
"위대한 이들은 목적을 갖고  그 외의 사람들은 소원을 갖는다.
-워싱턴 어빙-",2016-03-22
위대한 소원에 류덕환 나오네... pic.twitter.com/UKVGSroLci,2016-03-23
"-[영화] 위대한 소원 (03월 24일 까지)
참여하기 > 아레나옴므플러스코리아 ( http://evnt.ga/1512  )",2016-03-23
사람들이 위대한 소원 졸라 시러햌ㅋㅋㅋㅋㅋㅋ,2016-03-23
위대한 탄생 커다란 스토리가 예전에 꽝꽝가 했던 내 친구는 아직 살아있다 랑 비슷하다.. 거기서 기광이가 시한분데 소원이 키스하는 거라서 친구 둘이 기광이가 좋아하는 여자 설득하고 그랬는데,2016-03-23
@lenvisibleshine 나 카피를 제목으로 잘못 본ㅋㅋㅋㅋ 세 가지 소원 아니고 위대한 탄생이랍니다 ㅋㅋㅋㅋㅋㅋㅋㅋ,2016-03-23
"@l_oadin_g 안재홍 외모 몰아주기ㅋㅋㅋㅋㅋㅋ
 '동생아- 안재홍 맛집이 궁금해서 현기증이 나지 않니?'
 응답하라 1988 #.정봉이 꽃보다 시리즈 #.봉선생 
 .위대한소원 #.김동영 테로는 토요일낮12시 본방송",2016-03-23
"텔미를 부르고 싶지? Gee를 부르고 싶지? 소원을 말해봐를 듣고 싶나? 그 시간에 차라리 더 위대한 후크송 베토벤의 5번 교향곡 ""운명""을 들어!",2016-03-23
위대한 탄생 예고편이 더 가관이다ㅋㅋ 시한부 친구의 죽기 전 소원이 딱 한번만 섹스하는건데 의리 넘치는 친구 1 2가 여자들한테 섹스구걸하고 다님ㅋㅋㅋ이야 멋ㅉㅣ다~~사나이들의 우정! pic.twitter.com/0045hZjyPa,2016-03-23
[더 코리아뉴스] 배순민 기자 = 영화 '위대한 소원'은 인정  사정(?!)이 필요한 친구의 죽기 전 마지막 ... http://thekoreanews.com//detail.php?number=22458 …,2016-03-23
위대한 소원 예고편 부터 좆같음.. 아무 여자한테나 다가가서 내 친구랑 한 번 자달라고 ㅈㄹ하고 뺨 처맞는 게 이 영화의 휴우머 코드임^^   http://youtu.be/wFkbJ1GI7vQ ,2016-03-23
[더스타] 영화 '위대한 소원'  발칙한 매력 빛나는 3인 3색 캐릭터 포스터 공개 http://bit.ly/1ZqrQmv ,2016-03-23
"""친구야  ㅅㅅ  하고싶어?""
3인3색 매력 폭발
<위대한 소원> 캐릭터 포스터 대공개!

#류덕환 #김동영 #안재홍
#포스터도_개꿀잼 #영화는_더꿀잼
#위대한소원 #4월21일대개봉 pic.twitter.com/BznbYSWIKL",2016-03-23
"위대한소원 뭐냨ㅋㅋㅋㅋㅋ 섹스하고싶엌ㅋㅋㅋ
섹스! ㅋㅋㅋㅋㅋㅋ  골때린다 저런건 꼭봐야됔ㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋ",2016-03-24
"텔미를 부르고 싶지? Gee를 부르고 싶지? 소원을 말해봐를 듣고 싶나? 그 시간에 차라리 더 위대한 후크송 베토벤의 5번 교향곡 ""운명""을 들어!",2016-03-24
"#위대한소원 #류덕환 #김동영 #안재홍 #3인3색 #캐릭터포스터 공개! #버닝 #burning
http://www.burning.kr/39726 pic.twitter.com/8gskLHoSo2",2016-03-24
"『""나는 당신의 소원을 이뤄주고 싶다."" 
그가 그리 말하자 그의 위대한 서번트는 누구보다도 초라하게 움츠러들었다.』",2016-03-24
"텔미를 부르고 싶지? Gee를 부르고 싶지? 소원을 말해봐를 듣고 싶나? 그 시간에 차라리 더 위대한 후크송 베토벤의 5번 교향곡 ""운명""을 들어!",2016-03-25
류덕환  김동영  안재홍의 코미디 #위대한소원 캐릭터 포스터 3종 & 스틸 모음 (스압) http://buff.ly/1Slcb51 pic.twitter.com/V61FI4SP0A,2016-03-25
[더 코리아뉴스] 배순민 기자 = 2016년을 대표할 단 하나의 정통 코미디 영화 '위대한 소원'이 &lsquo;고... http://thekoreanews.com//detail.php?number=22847 …,2016-03-25
<위대한 소원> 영화 예고편보고 티켓 무료로 받자! (출처 : 마인크래프트 한국커뮤니티 | 네이버 카페) http://me2.do/FZevf8Hn ,2016-03-25
위대한소원 예매권 이벤트 (출처 : 신작게임 테스터들의 모임 GTC | 네이버 카페) http://me2.do/GYkRSVVe ,2016-03-25
위대한소원인가뭔가하는 영화 예고편 나오는데 진짜 존나 싫다 옆에서 웃는 여자분들도....흠.....,2016-03-25
[당첨자발표] 영화 '클로버필드 10번지' 예매권 증정 이벤트 / 영화 '위대한 소원' 예매권 증정 이벤트! http://fb.me/14vzxs1y8 ,2016-03-25
"#안재홍 #영화 #위대한소원 #무한매력 #봉블리
안재홍의 새 영화 '위대한 소원' 스틸 12종 공개 '봉블리를 느껴 봐'
http://zenithnews.com/news/articleView.html?idxno=36680 …pic.twitter.com/UhO0p3fw8u",2016-03-25
"오늘  위대한 엘리시온 마법의 성이 여기 모습을 드러내다.
오! 영원하라! 위대한 대마법의 힘이여!
이 성의 비밀을 가장 먼저 푸는 자는 대마력의 도움으로 자신의 소원을 한가지 이루게 되리라…
*엘리시온의비밀",2016-03-26
@Hong31_ 캬학ㅠ위대한소원진짜 좀 안타까워요ㅠㅠ 류덕환도 많이 좋아하는 배운데ㅠㅠ구린작품볼자신도 업구요ㅠ 임금님은 코믹하게 나올런지아니면 스릴러로 풀련지는 모르겧지만 이선균배우랑 캐미 기대됩니닼ㅋㅋㅋ,2016-03-26
@thfka4651 마자요ㅠㅠㅠㅠ 일단 위대한 소원 까진 그냥 또 개그캐일거긑은데 임금님은 배우가 직접 또 다른 모습 보여줄 것 같다고 해서 사실 맘에 안들지만 (저따위가 맘에 안들어봤자지만   ) 기다려보려구여 앙재헝이 사극하는게 기대되기두 하구,2016-03-26
"안재홍 is 뭔들!
소장가치 1000% 슈어 화보 대공개!

#이오빠_매력의_끝은_어디지
#갖고싶다_안재홍
#더많은사진은_슈어_4월호_확인! 
#위대한소원 #4월21일대개봉 pic.twitter.com/FLZIBYZRlC",2016-03-26
