Date,Frequancy
2015-12-08,4
2015-12-09,4
2015-12-10,4
2015-12-11,3
2015-12-12,3
2015-12-13,6
2015-12-14,7
2015-12-15,8
2015-12-16,13
2015-12-17,9
2015-12-18,6
2015-12-19,5
2015-12-20,4
2015-12-21,8
2015-12-22,9
2015-12-23,8
2015-12-24,7
2015-12-25,5
2015-12-26,4
2015-12-27,5
2015-12-28,6
2015-12-29,8
2015-12-30,6
2015-12-31,3
2016-01-01,9
2016-01-02,11
2016-01-03,8
2016-01-04,6
2016-01-05,4
2016-01-06,9
2016-01-07,4
2016-01-08,5
2016-01-09,7
2016-01-10,10
2016-01-11,14
2016-01-12,12
2016-01-13,6
2016-01-14,8
2016-01-15,3
2016-01-16,1
2016-01-17,4
2016-01-18,4
2016-01-19,12
2016-01-20,5
2016-01-21,14
2016-01-22,5
2016-01-23,6
2016-01-24,11
2016-01-25,6
2016-01-26,11
2016-01-27,7
2016-01-28,11
2016-01-29,16
2016-01-30,14
2016-01-31,5
2016-02-01,8
2016-02-02,10
2016-02-03,7
2016-02-04,7
2016-02-05,11
