Date,Frequancy
2016-12-26,0
2016-12-27,0
2016-12-28,1
2016-12-29,0
2016-12-30,0
2016-12-31,0
2017-01-01,2
2017-01-02,1
2017-01-03,1
2017-01-04,1
2017-01-05,0
2017-01-06,1
2017-01-07,1
2017-01-08,1
2017-01-09,0
2017-01-10,0
2017-01-11,0
2017-01-12,0
2017-01-13,1
2017-01-14,0
2017-01-15,0
2017-01-16,0
2017-01-17,2
2017-01-18,0
2017-01-19,0
2017-01-20,1
2017-01-21,1
2017-01-22,2
2017-01-23,0
2017-01-24,0
2017-01-25,0
2017-01-26,1
2017-01-27,0
2017-01-28,1
2017-01-29,0
2017-01-30,1
2017-01-31,0
2017-02-01,0
2017-02-02,1
2017-02-03,2
2017-02-04,1
2017-02-05,0
2017-02-06,1
2017-02-07,0
2017-02-08,0
2017-02-09,1
2017-02-10,1
2017-02-11,2
2017-02-12,0
2017-02-13,1
2017-02-14,0
2017-02-15,0
2017-02-16,0
2017-02-17,0
2017-02-18,0
2017-02-19,0
2017-02-20,0
2017-02-21,1
2017-02-22,1
2017-02-23,1
