contents,date
"방학 때 우선적으로 볼 영화

1. 미드나잇 인 파리
2. 플랜맨
3. 이웃집에 신이 산다
4. 노팅힐
5. 해리포터 영어자막으로",2016-12-28
이웃집에 신이 산다 봤는데 제목이랑 전혀 다른 내용... 깨발랄 코미디인 줄 알았는데 마냥 웃긴 내용은 아니어ㄸㅏ.... 알고보니 감독이 미스터 노바디 감독이더라,2017-01-01
"올해개봉작은 아니지만 올해본영화중 베스트3
더폴-화양연화-이웃집에신이산다",2017-01-01
이웃집에 신이 산다,2017-01-02
<이웃집에 신이 산다> 새로운 신약성경이 설명해주는 '우리 모두 개같이 삶을 이어나가고 있습니다!',2017-01-03
57. 이웃집에 신이 산다 pic.twitter.com/bUuuAuCjFz,2017-01-04
"난 ""도그마""도 개인적으로 좋았다고 생각하지만  ""이웃집에 신이 산다""는 ""도그마"" 같은 영화가 아니어서 더 좋았다.",2017-01-06
이웃집에 신이 산다 재미있게 푹 빠져 보다가 마지막에 현실로 소환됨. 결말 뭐야ㅋㅋㅋㅋ,2017-01-07
이웃집에 신이 산다 라는 영화도 재밌대요...,2017-01-08
"""아이는 커서 뭐가 되나요? 어른은 뭐가 되죠?"" <이웃집에 신이 산다>는 발상 자체가 유쾌하죠.",2017-01-13
싱스트리트 보려고틀었다가 취향아니라서 끄고 이웃집에신이산다틀어따 예엡,2017-01-17
아응으아어어으아 이웃집에신이산다 ost 받을라구했더니 멜론에없자냐,2017-01-17
"가장 좋아하는 책  영화  노래  장소  계절  음식 — 책: 한강이랑 프란츠 카프카 책들
영화: 이웃집에 신이 산다  가따블 등
노래: 슬릭  보니  윌콕스 등
장소: 술과 좋은 음악 있는 곳
계절: 여… http://l.ask.fm/igoto/45DKECN75V62DDAUPY6IQO7C5SBDNJQRR736LBVJBLRKZ7F4RAR4YJIIPIEYWXBTKO276EQBIRXDGUSTQR57M3FAK32KZBBGWIIERFKKBN3CEI7CJSEC4IG5TSRPTUTDTT2Z6HAV2DMH5UUQLGNDIT3C7XOXT6E2Z6CVXYLXTKT2GUOBD5XVBH5J3BY2F2H7XI5LSES4VFLPHSBO …",2017-01-20
영화 '이웃집에 신이 산다'(예고편처럼 코미디영화는 아니었다.)를 보면서 노래 '이랑-신의 놀이'가 떠올랐다.정말 신이 있고 그의 놀이를 통해 세상이 만들어지고 굴러가는 것이라면  이왕이면 영화 속 여신님처럼 하늘을 꽃으로 수 놓기를 좋아했으면..,2017-01-21
이웃집에 신이 산다 넘 좋다ㅠㅠ pic.twitter.com/iXcJ1Y21Bs,2017-01-22
이웃집에 신이 산다 드디어 보게되었는데 영화에서 나온 Sing Song Sally라는 곡이 자꾸 머릿속에 빙빙빙,2017-01-22
이웃집에 신이 산다 라는 영화를 봤는데... 정말 이상한 영화였다.....,2017-01-26
생각의 정리가 필요해서 일단 영화 한 편 보고 옴. 보고 싶었는데 시간이 안 맞아서 못 보고 있었던 ‘이웃집에 신이 산다’를 봤는데 기대했던 만큼 좋았다. ost도 좋았고 https://youtu.be/fd_nopTFuZA?list=PLwQ6MvbMGE-LD66qy21sprSmbXZL5-L-B …,2017-01-28
"방금 3개째 영화를 다봄. 
엘리제궁의 요리사
줄리앤 줄리아
이웃집에 신이 산다",2017-01-30
이웃집에 신이 산다 pic.twitter.com/xvTPzPML07,2017-02-02
"그런의미로   쿧척    클린한 영화 소개들어간다. >>>분노 후 페미니즘 영업<<<
더히트  스텝포드와이프  델마와루이스  고스트버스터즈  서프러제트  타미  나쁜이웃들2  프로메테우스  이웃집에신이산다  더스캔들러스레이디w  스파이  이지에이",2017-02-03
"다봤다 ""이웃집에 신이 산다"" (새로운 신약성서) 매우 강추입니다 크리스트계 쪽에서 보자면 신성모독이겠지만 영화 자체도 예쁘고요 ... 레바스 씨는 매우 마음에 들었네...",2017-02-03
전 얼마전에 이웃집에신이산다보눈데 어떤아줌마가 고릴라랑살더라고요,2017-02-04
<이웃집에 신이 산다> 이거 너무 재미있게 봄. 유쾌한 오락 판타지로 홍보한 마케팅팀 좀 혼나자.,2017-02-06
영화 ‘이웃집에 신이 산다’ 후기 http://mwblog.kr/3556 ,2017-02-09
이웃집에 신이 산다도 봐야하는데,2017-02-10
이웃집에 신이 산다 (Le Tout Nouveau Testament  2015) pic.twitter.com/2dDByoCWoJ,2017-02-11
"뭘 사려고 찾아보면 항상 마감이 어제거나 바로 직전에 끝인 경우가 왤케 많지......
이웃집에 신이 산다를 최근에 봐서 그런가
신이 만든 법칙 중 하나같다 젠장",2017-02-11
이웃집에 신이 산다입니다..!!,2017-02-13
저런 취향으루 이웃집에 신이 산다 넘 좋아해,2017-02-21
아 이웃집에 신이 산다 명작이죠,2017-02-22
본 사람들 거의 좋다고 했던 <미스터 노바디> (2009) 봤는데 우웅... 자코 반 도마엘 꺼 <토토의 천국>  <이웃집에 신이 산다> 까지 해서 세편 봤는데  세편다 별 감흥이 없었던거 보면 나랑은 안 맞는 감독인가보다,2017-02-23
