Date,Frequency
2016-05-23,3
2016-05-24,4
2016-05-25,2
2016-05-26,5
2016-05-27,1
2016-05-28,2
2016-05-29,0
2016-05-30,17
2016-05-31,9
2016-06-01,10
2016-06-02,21
2016-06-03,9
2016-06-04,4
2016-06-05,3
2016-06-06,10
2016-06-07,11
2016-06-08,10
2016-06-09,6
2016-06-10,7
2016-06-11,9
2016-06-12,4
2016-06-13,12
2016-06-14,7
2016-06-15,18
2016-06-16,24
2016-06-17,14
2016-06-18,8
2016-06-19,6
2016-06-20,15
2016-06-21,20
2016-06-22,20
2016-06-23,20
2016-06-24,20
2016-06-25,20
2016-06-26,20
2016-06-27,29
2016-06-28,15
2016-06-29,8
2016-06-30,7
2016-07-01,11
2016-07-02,16
2016-07-03,3
2016-07-04,7
2016-07-05,6
2016-07-06,4
2016-07-07,4
2016-07-08,5
2016-07-09,4
2016-07-10,3
2016-07-11,2
2016-07-12,1
2016-07-13,0
2016-07-14,1
2016-07-15,1
2016-07-16,3
2016-07-17,0
2016-07-18,2
2016-07-19,0
2016-07-20,0
2016-07-21,0
