contents,date
[인디펜던스 데이: 리써전스] 메인 예고편 https://youtu.be/wACNe5jpLGw  @YouTube 님이 공유,2016-05-23
"D-30 http://itcm.co.kr/1084189  

3차 메인 예고편

D-30

인디펜던스 데이 2 리써전스

상영시간 : 160분

12세관람가

...",2016-05-23
"인디펜던스데이 리써전스

트레일러 https://youtu.be/wACNe5jpLGw 

프리뷰 by 빨강도깨비 https://youtu.be/Hmzn71U8hms 

20년 연대표 by 빨강도깨비https://youtu.be/HpA6Yh2PzKo ",2016-05-23
20년만의 귀환 - 인디펜던스 데이: 리써전스 https://youtu.be/Hmzn71U8hms  @YouTube 님이 공유,2016-05-24
인디펜던스 데이: 리써전스  INDEPENDENCE DAY: Resurgence  2차 공식 예고편 (한국어 CC) https://youtu.be/25mpSNnCP7c  @YouTube 님이 공유,2016-05-24
"<인디펜던스 데이: 리써전스> 3번째 티저 예고편

http://vfxteam.tistory.com/139 

재난 영화의 대작 <인디펜던스 데이>가 20년만에 리바이벌되어서 돌아왔다.

재난영화를... http://fb.me/7mFNhwhAv ",2016-05-24
<인디펜던스 데이: 리써전스> 최신 스틸 모음 http://buff.ly/20td9yY pic.twitter.com/tRfdTtB68p,2016-05-24
인디펜던스 데이: 리써전스 (Independence Day: Resurgence) 새 포스터 http://bit.ly/1OWNVYU ,2016-05-25
<인디펜던스 데이: 리써전스> 최신 포스터 4종 http://buff.ly/25kIFGg pic.twitter.com/xRZ7f1Fyej,2016-05-25
[인디펜던스 데이: 리써전스] 메인 예고편 https://youtu.be/wACNe5jpLGw  @YouTube 님이 공유,2016-05-26
[인디펜던스 데이 리써전스] 극장 티켓 발권기에 인디펜던스 데이 리써전스 예고편이 나옵니다.: [인디펜던스 데이 리써전스] 극장 티켓 발권기에 인디펜던스 데이 리써전스 예고편이... http://bit.ly/20HpPCq  stocknanda,2016-05-26
BSTODAY 모바일 사이트  개그맨 김영철  '인디펜던스 데이:리써전스' 주역들과 만났다 http://m.bstoday.busan.com/news/articleView.html?idxno=70377 …,2016-05-26
