Date,Frequancy
2015-08-25,75
2015-08-26,48
2015-08-27,41
2015-08-28,41
2015-08-29,68
2015-08-30,33
2015-08-31,42
2015-09-01,41
2015-09-02,57
2015-09-03,46
2015-09-04,42
2015-09-05,30
2015-09-06,37
2015-09-07,38
2015-09-08,34
2015-09-09,47
2015-09-10,39
2015-09-11,40
2015-09-12,41
2015-09-13,32
2015-09-14,58
2015-09-15,36
2015-09-16,34
2015-09-17,40
2015-09-18,44
2015-09-19,41
2015-09-20,40
2015-09-21,43
2015-09-22,56
2015-09-23,40
2015-09-24,66
2015-09-25,40
2015-09-26,40
2015-09-27,41
2015-09-28,58
2015-09-29,49
2015-09-30,46
2015-10-01,41
2015-10-02,71
2015-10-03,46
2015-10-04,47
2015-10-05,46
2015-10-06,59
2015-10-07,56
2015-10-08,51
2015-10-09,28
2015-10-10,41
2015-10-11,39
2015-10-12,70
2015-10-13,42
2015-10-14,69
2015-10-15,40
2015-10-16,43
2015-10-17,41
2015-10-18,42
2015-10-19,60
2015-10-20,42
2015-10-21,42
2015-10-22,43
2015-10-23,65
