Date,Frequency
2017-03-27,16
2017-03-28,7
2017-03-29,1
2017-03-30,7
2017-03-31,3
2017-04-01,3
2017-04-02,1
2017-04-03,12
2017-04-04,9
2017-04-05,5
2017-04-06,3
2017-04-07,5
2017-04-08,3
2017-04-09,3
2017-04-10,10
2017-04-11,6
2017-04-12,10
2017-04-13,10
2017-04-14,7
2017-04-15,10
2017-04-16,14
2017-04-17,28
2017-04-18,30
2017-04-19,18
2017-04-20,17
2017-04-21,14
2017-04-22,12
2017-04-23,22
2017-04-24,33
2017-04-25,20
2017-04-26,20
2017-04-27,20
2017-04-28,20
2017-04-29,20
2017-04-30,20
2017-05-01,38
2017-05-02,20
2017-05-03,20
2017-05-04,33
2017-05-05,36
2017-05-06,20
2017-05-07,34
2017-05-08,20
2017-05-09,9
2017-05-10,10
2017-05-11,10
2017-05-12,12
2017-05-13,14
2017-05-14,8
2017-05-15,6
2017-05-16,3
2017-05-17,1
2017-05-18,2
2017-05-19,6
2017-05-20,2
2017-05-21,6
2017-05-22,4
2017-05-23,4
2017-05-24,10
2017-05-25,9
