contents,date
[당첨자 발표] 영화 <임금님의 사건 수첩> 이벤트 http://fb.me/1f15cHKjd ,2017-03-27
<임금님의 사건수첩> 캐릭터 예고편 (출처 : 네이버 영화 | 네이버TV) http://naver.me/GrIf29vM ,2017-03-27
4월 말 개봉 예정인 《 임금님의 사건수첩 》 원작 만화를 소개합니다! http://bit.ly/2mHhoh8  사건 쫓는 임금님과 임금님 쫓는 신입 사관의 궁 넘고 담 넘는 유쾌한 추리활극이 시작됩니다! ≥▽≤)/pic.twitter.com/UaAGg96CXW,2017-03-27
임금님의 사건수첩  임금 이선균X신입사관 안재홍 캐릭터 예고편 공개 (출처 : 스타데일리뉴스(stardailynews) | 네이버TV) http://naver.me/FmKH0WLp ,2017-03-27
‘임금님의 사건수첩’ 이선균X안재홍  매력 넘치는 캐릭터 예고 공개 http://tenasia.hankyung.com/archives/1171131 …,2017-03-27
이선균  안재홍 [임금님의 사건수첩] 예매권 이벤트 http://blog.naver.com/juckwoo/220968108312 …,2017-03-27
립프 제작보고회 브이앱  요상한 식당  내일부터 우리는  임금님의 사건수첩  터널  용의 치과의사  쇼와 겐로쿠 라쿠고 심중,2017-03-27
임금님의 사건수첩. 4월말 개봉. 안재홍 씹덕해.ㅋㅋ 소순이,2017-03-27
동영상을 @YouTube 재생목록 http://youtu.be/3iwTwk-EkLY?a  특급 브로맨스커플 탄생! 임금님의 사건수첩에,2017-03-27
"<임금님의 사건수첩> 캐릭터 예고편 공개!
'#임금님의_인물수첩' 으로
#이선균 X #안재홍 의 매력을 낱낱이 파헤쳐주마!
https://goo.gl/9vB4jb 
#임금님의사건수첩 #4월말_대개봉",2017-03-27
映画「王様の事件手帳」キャラクター動画 #イソンギュン #アンジェホン '임금님의 사건수첩' 캐릭터 예고편 https://www.youtube.com/watch?v=GHVa03EGsZI&feature=share …,2017-03-27
'임금님의 사건수첩' 이선균X안재홍  매력 넘치는 캐릭터 예고 공개 (출처 : 텐아시아 | 네이버 TV연예) http://naver.me/FqDomPRt ,2017-03-27
특급 브로맨스커플 탄생! 임금님의 사건수첩 http://youtu.be/3iwTwk-EkLY?a ,2017-03-27
임금님의 사건수첩 예매권 이벤트 http://blog.naver.com/narawh/220968638100 …,2017-03-27
<임금님의 사건수첩> 캐릭터 예고편 (출처 : 네이버 영화 | 네이버TV) http://naver.me/GrIf29vM ,2017-03-27
'임금님의 사건수첩' 캐릭터 예고편 https://www.youtube.com/watch?v=GHVa03EGsZI&feature=share …,2017-03-27
<임금님의 사건수첩>인가 뭐시기 보니 원작 만화는 임금도 사관도 초절 꽃미남인데 드라마 배우가... 음.. 그  꽃미남은 여자들이나 좋아하는 거다 같은 걸 깔고 있는 거라면 역시 남자들은 질투심이 강해서 미남이 드라마 나오는 꼴을 보기가 싫은 거지?,2017-03-28
