Date,Frequancy
2015-08-04,3
2015-08-05,0
2015-08-06,1
2015-08-07,1
2015-08-08,2
2015-08-09,0
2015-08-10,1
2015-08-11,0
2015-08-12,0
2015-08-13,0
2015-08-14,2
2015-08-15,3
2015-08-16,3
2015-08-17,3
2015-08-18,0
2015-08-19,1
2015-08-20,1
2015-08-21,5
2015-08-22,5
2015-08-23,17
2015-08-24,7
2015-08-25,1
2015-08-26,0
2015-08-27,2
2015-08-28,4
2015-08-29,35
2015-08-30,10
2015-08-31,4
2015-09-01,1
2015-09-02,1
2015-09-03,2
2015-09-04,1
2015-09-05,1
2015-09-06,0
2015-09-07,0
2015-09-08,1
2015-09-09,2
2015-09-10,6
2015-09-11,1
2015-09-12,2
2015-09-13,0
2015-09-14,2
2015-09-15,0
2015-09-16,0
2015-09-17,2
2015-09-18,1
2015-09-19,1
2015-09-20,3
2015-09-21,1
2015-09-22,0
2015-09-23,2
2015-09-24,0
2015-09-25,0
2015-09-26,0
2015-09-27,3
2015-09-28,0
2015-09-29,0
2015-09-30,2
2015-10-01,2
2015-10-02,2
