contents,date
호중아찌 잡아야산다 나와 으헝 난 말했어,2015-08-04
@RealVIXX 이건 잡아야산다 스틸컷아니예여?ㅠㅠㅠㅠㅠㅠㅠㅠ,2015-08-04
@92406K 나 수유 엄청 많이가!!! 아빠 신일고나오고 걍 우리 홈타운이라고... 잡아야산다 수유메가박스에서 한번 보자귯,2015-08-04
@mediatodaynews @kimck007 자신이 한말에 대하여 책임감 없는 무뇌아들이죠..자신이 한 말들을 전혀 기억하지 않는다는 것은 걍 지들 편한대로 산다는 이야기.국민이 깨어 있어 바로 잡아야 합니다.,2015-08-06
@taekyoung_1104 잡아야산다..ㅎ 아재화니라디오도하지...바쁘다바빠..,2015-08-07
우리 막둥이 잡아야 산다~ 아~~~ 내 왕자님 신데렐라~ 배우신 콘셉트인 뷰티풀 라이어 앨범까지~ 돈 쓸 수 있어서 행복해요  빅스야 내 등골까지 빼먹어 ,2015-08-08
@xordnswoghks ㅋㅋㅋㅋ꾸랫 그나저나 우리 언제만나지 온니 수시끝나고 만나까 그쯤에 잡아야산다 개봉하면 그것도 보러가야짓,2015-08-08
"@JYTSWA__ ㅇㅅ""ㅇ 어떻게든 찾아낸다ㅋㅋㅋㅋ 잡아야산다!!",2015-08-10
"북한 도발규탄 보다   현실적 대응 수단
제시보다   정부 불신 조장  광복 70주년
앞두고 국민 통합보다 국론 분열적
보도를 하면서까지 주기적 대통령
흔들기를  해대는 이런 종편을
때려잡아야  대한민국이 산다고 본다.",2015-08-14
@kkulung2 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ(혁오빠손을)잡아야산다 이거 너무 좋네요....드립 좋습니다..,2015-08-14
"@HSangHyuk 우리의 귀여운 혁크롱 오빠! 오늘도 수고했어요! 재밌께하는 모습 너무 좋아요! 매일매일 응원할께요~~~ ""잡아야산다"" 화이팅~~~ 사랑해요!! pic.twitter.com/YZ2szCisBG",2015-08-15
팔백금으로 집을 사고 천금으로 이웃을 산다. - 집을 정하여 들 때는 집 그 자체보다도 이웃을 더 신중히 가려서 잡아야 한다는 뜻.,2015-08-15
@InchunOh 어제도 수고많으셨습니다!! 오늘도 힘내셔서 더위도 잡고 원태도 잡고.. 잡아야산다 파이팅!!,2015-08-15
해시 #LR 스밍 #Beautiful_Liar 잡아야산다,2015-08-16
별빛여행사에서  여행스케즐 잡고싶다  애들 해외스케즐로  잡아달라고 ㅋㄱ 잡아야 산다,2015-08-16
혁이 보고싶다 어제 맘껏 더 봤어야 하는데 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 잡아야산다 빨리 개봉해주시떼...,2015-08-16
"150817 영화 잡아야 산다 서포트 전달 완료
상혁아 맛있게 먹고 남은 촬영도 힘내 으쌰으쌰 \/ 원태를 응원해 상혁이를 응원해
#혁 #한상혁 #잡아야산다 #원태 #상혁아사랑해pic.twitter.com/GCfDc6tBLH",2015-08-17
@HSangHyuk ㅠㅠㅠ오늘 오빠 못와서 너무 아쉬웠어요ㅠㅠ 보고싶은데ㅠㅠㅠㅠㅠ 다음에 봐여 영화 열심히 찍고요! 잡아야산다 많이 기대해여ㅠㅠ 개봉전부터 이미 제 인생영화..,2015-08-17
@HSangHyuk 오빠..오빠..저대전사는데제가사는집근처에서잡아야산다촬영을한다는제보를들었슴돠..8ㅅ8 보고싶은데ㅜㅜ오빠에게혹시나폐를끼치진않을까라는생각에가진않을게염!..있나없나도모르지만ㅋㅋㅋㅋ제보만들었습니당..아무튼오늘촬영있었던걸로아는데힘내기!,2015-08-17
"[프리뷰] K리그 클래식 26라운드 프리뷰 - 너를 잡아야 내가 산다!
붙잡으려는 자! 그리고 도망가려는 자!
더비들로 가득한 K리그 클래식 26라운드 한방정리!

https://www.facebook.com/fanthersports/posts/1015032925184533 …",2015-08-19
@SBS_MTV #더쇼 잡아야산다 #빅스LR,2015-08-20
"이게 10개월 전이얍ㅠㅠ ㅠㅠ흡 폰바꿔서 사진이 이거 밖에 없다... 보고싶어.. 잡아야산다 개봉하면 맨날 보러갈꺼야
@HSangHyuk pic.twitter.com/vjEaBgTKrm",2015-08-21
@SBS_MTV #더쇼 혁이 잡아야산다 #빅스LR,2015-08-21
@Kpopper4lyfe_ 잡아야산다 (Hold On to Live)!,2015-08-21
@junge0524 ㅠㅠㅠㅠㅠㅠㅍ퓨ㅠㅠㅠ그돈 모아 잡아야산다같이보러가쟝 ㅠㅜㅜ,2015-08-21
@SBS_MTV #더쇼 #빅스LR 잡아야산다,2015-08-21
@SBS_MTV #더쇼 #빅스LR #Beautiful_LiaR #빅스 #레오 #라비 #빅스엔케이팝 #같은스비스니까 #엔 #콩엠씨 #홍빈 #혁 오빠는 잡아야산다,2015-08-22
@SBS_MTV #더쇼 #빅스LR 잡아야산다,2015-08-22
"방금 베테랑 보고 왔는데 핵재밌닼ㅋㅋㅋㅋㅋㅋ
잡아야 산다도 이런 느낌이었으면ㅠㅠㅠㅠ",2015-08-22
"@SBS_MTV #더쇼 #빅스LR
잡아야 산다 개봉하면 친구들 돌아가면서 한명씩 데리고 맨날 보러 가야지",2015-08-22
@SBS_MTV #더쇼 #빅스LR 잡아야산다,2015-08-22
잡아야산다 11월중순 개봉예정.,2015-08-23
"욕하는효기 재미있겠다 ㅋㅋㅋㅋ 
잡아야 산다",2015-08-23
#더쇼 @SBS_MTV #빅스LR 잡아야산다,2015-08-23
@SBS_MTV #더쇼 잡아야산다가 #빅스LR 11월중순에개봉한다하쥬,2015-08-23
김기타님 잡아야산다 한번만 보고 마신답니다 개너무함;;;;,2015-08-23
팔백금으로 집을 사고 천금으로 이웃을 산다. - 집을 정하여 들 때는 집 그 자체보다도 이웃을 더 신중히 가려서 잡아야 한다는 뜻.,2015-08-23
잡아야 산다 !!!!!!!!!,2015-08-23
아싸 잡아야 산다 11월 중순ㅜㅜ 맘 편히 보러갈 수 있겠다 꼭 갈거야 무대인사ㅠㅠ,2015-08-23
11월에 잡아야산다ㅠㅜㅠㅠㅜㅠㅜㅜ영화 715번 보고 DVD도 살거야ㅜㅠㅜㅜㅜㅜ,2015-08-23
@HSangHyuk 드디어 잡아야 산다 개봉일을 알게 되다니ㅠㅠㅠㅠ 이번년도안에는 못볼 줄 알았는데ㅠㅠㅠㅠ 비록 겨울쯤이라 시사회하고 그러면 오빠 많이 추우실텐데 그래도 배우한상혁님을 볼수있게 되서 좋아요:-) 오늘 하루도 수고하셨습니다,2015-08-23
@HSangHyuk 오빠 오늘 잡아야산다 촬영 다 끝냈다고 들었어요 두달동안 더운데 왔다갔다 촬영하고 연기하느냐고 수고했어요 막상 끝나니까 허전하고 홀가분하고 그렇겠다 오빠 영화 나올때까지 얌전히 기대하고 응원하면서 기다릴께,2015-08-23
잡아야산다 @SBS_MTV #더쇼 #빅스LR,2015-08-23
@tjdtla23gmailc1 잡아야산다 개봉,2015-08-23
@SBS_MTV #더쇼 #빅스LR #Beautiful_Liar 잡아야산다,2015-08-23
@SBS_MTV #더쇼 #빅스LR 잡아야산다!,2015-08-23
@SBS_MTV #더쇼 #빅스LR 잡아야산다,2015-08-23
@SBS_MTV #더쇼 #빅스LR 잡아야산다,2015-08-23
#더쇼 #빅스LR @SBS_MTV 잡아야산다!,2015-08-24
맞다 11월 중반에 잡아야 산다도 상영하는군...,2015-08-24
"건대에서 혁ㅇ느오빠 잡아야산다를 보고 김덕후를 조지러갈 트친은 1도 없능것이다.
왜냐면  나는 트찐이라ㅋㅋㅋㅋㅋ",2015-08-24
"11월중순에 건대cgv에서 잡아야산다보고
김덕후쓸러갈 트친이 1도 없구나....그렇구나....",2015-08-24
혁오빠 영회개봉하면 건대cgv가서 잡아야산다보고 김덕후가서 끝장낼트친모집함.......(그아없이 예상된다...,2015-08-24
@SBS_MTV #더쇼 #빅스LR 여섯째 혁이 영화 '잡아야산다'하고 있고,2015-08-24
@HSangHyuk 잡아야산다 영화덕분에 혁오빠에게 좋은동료분들이 생긴것같아 보기좋아요ㅎㅎ 요즘 혁오빠를 많이 볼수없어서 보고싶었는데 인스타에 한분이 사진을 올려주신덕분에 귀여운혁오빠모습을 봤네요ㅠㅠㅠ 영화촬영 화이팅!! 오늘 하루도 수고하셨습니다,2015-08-24
@ye2ji2 물범효기랑 혁크롱이 데리고 가서 잡아야산다를 보고 김덕후가서 순하리를 먹으면 환상의조합이 아닐까싶습니다^^ㅎㅎ,2015-08-25
잡아야 산다 한원태 한상혁 @SBS_MTV #더쇼 #빅스LR,2015-08-27
@sooni_6SJ 우리는 11월 잡아야 산다 혁이가 영화이서 반항아역할인 원태 역할이야 그리고 혁이가 욕해,2015-08-27
"[축구전망대] ""너를 잡아야 내가 산다"" http://ift.tt/1Lzs18O ",2015-08-28
@SBS_MTV #더쇼 #빅스LR 잡아야산다,2015-08-28
"[INSTAGRAM] #VIXX #HYUK junto al elenco & staff de la película ""잡아야 산다! (Chasing)"" :D... http://fb.me/N310g9bp ",2015-08-28
"[FOTOS] #VIXX #HYUK junto al director Oh Inchun y sus compañeros de la película ""잡아야 산다! (Chasing)"" ^-^

Cr.: @/InchunOh",2015-08-28
존경하는 선배님들과 감독님  조감독님을 포함한 모든스텝분들 ㅜㅜ그리고 고딩4인방!! 촬영동안 다들 고생많으셨고 원태와 함께 해주셔서 정말 감사드립니다~ 잡아야 산다!! 화이팅!! pic.twitter.com/fmZcWUjdq2,2015-08-29
더쇼 잘 잤니? 같이 잡아야산다 보러갈래? ㅎ @SBS_MTV #더쇼 #빅스LR #Beautiful_LiaR,2015-08-29
정서상 안정되는 영화 뭐가있을까 생각해보니 잡아야 산다 뿐이었다,2015-08-29
@HSangHyuk 수고했어요 오빠! 잡아야산다 뽜이야~,2015-08-29
@SBS_MTV #더쇼 #빅스LR 빵야빵야 잡아야 산다 빵야빵야,2015-08-29
@HSangHyuk 우리애기이쁜혁이고생많았고잡아야산다파이팅,2015-08-29
@HSangHyuk 아구 우이효기 ㅠ ㅠ 수고많았어 !! 잡아야산다 흥해라 ,2015-08-29
@HSangHyuk 오구 수고했어여ㅠㅠ잡아야 산다 흥해라!!(하트),2015-08-29
@HSangHyuk 오빠도 수고많았어요 ㅠㅅㅠ 그동안 촬영하느라 힘들었죠 ? 고생했어 ㅠㅠㅠㅠㅠㅠ 잡아야 산다 대박날꺼에요 ! 히힝 3,2015-08-29
@HSangHyuk 혁이도수고했어ㅠㅠㅠㅠ잡아야산다파이팅!!!!혁이도파이팅!!,2015-08-29
@HSangHyuk 우2효긔 수고햇숼!! 잡아야산다 화2팅!!,2015-08-29
@HSangHyuk 잡아야산다 파이팅!! 원태도 혁오빠도 파이팅,2015-08-29
@HSangHyuk 잡아야 산다 대박나라~!!!!!!! 횩이 수고했어~~~,2015-08-29
@HSangHyuk ㅠㅠㅠㅠ오빠도 촬영하느라 수고 많았어요!잡아야 산다 화이티잉!!!,2015-08-29
@HSangHyuk 상혁님힘들었죠?재밌었죠?상혁님파이팅ㅎㅎ잡아야산다대박~~~,2015-08-29
@HSangHyuk 우래기 수고해쪄 ♡♡♡♡♡♡ 잡아야 산다 파이팅 원태 꼭 보러 갈 거야 ♡.,2015-08-29
@dragul_meu 김덕후!!!건대!!!CGV에서 물범효기랑 혁크롱데리고가서 잡아야산다보고 김덕후!!!!!,2015-08-29
@InchunOh 신강우 한상혁 문용석 김미규... 맞아요? 잡아야산다 4인방 대박 잘생겼어요 ,2015-08-29
@HSangHyuk 나막.. 이거 트위터.. 아까전에봤는뎅..?? ㅠㅠㅠㅠ 수고많았죵.. ㅠㅠ 원태로서의 오빠가 너무기대되고 잡아야산다 최고많이볼게용!!!!,2015-08-29
@HSangHyuk 혁아 그동안 촬영하느라 수고많았어 언넝 스크린에서 혁이 보고싶다>_< 혁이  원태 파이팅! 잡아야산다 파이팅!,2015-08-29
존경하는 선배님들과 감독님  조감독님을 포함한 모든스텝분들 ㅜㅜ그리고 고딩4인방!! 촬영동안 다들 고생많으셨고 원태와 함께 해주셔서 정말 감사드립니다~ 잡아야 산다!! 화이팅!! pic.twitter.com/sjdOJyGNkC,2015-08-29
@HSangHyuk 원태야 고생 많았어ㅠㅠ 원태의 모습 빨리 보고싶다ㅠㅠ 잡아야 산다! 한상혁! 한원태! 사랑해!!!!!!,2015-08-29
@HSangHyuk 수고많았어요~!! 잡아야산다 대박나라!!!!,2015-08-29
