Date,Frequancy
2016-10-31,1
2016-11-01,2
2016-11-02,10
2016-11-03,12
2016-11-04,7
2016-11-05,1
2016-11-06,6
2016-11-07,23
2016-11-08,15
2016-11-09,8
2016-11-10,5
2016-11-11,4
2016-11-12,2
2016-11-13,1
2016-11-14,7
2016-11-15,5
2016-11-16,8
2016-11-17,7
2016-11-18,4
2016-11-19,2
2016-11-20,4
2016-11-21,7
2016-11-22,12
2016-11-23,2
2016-11-24,3
2016-11-25,4
2016-11-26,0
2016-11-27,1
2016-11-28,6
2016-11-29,1
2016-11-30,34
2016-12-01,18
2016-12-02,8
2016-12-03,11
2016-12-04,11
2016-12-05,10
2016-12-06,3
2016-12-07,7
2016-12-08,6
2016-12-09,6
2016-12-10,1
2016-12-11,2
2016-12-12,1
2016-12-13,1
2016-12-14,1
2016-12-15,1
2016-12-16,2
2016-12-17,0
2016-12-18,0
2016-12-19,1
2016-12-20,0
2016-12-21,0
2016-12-22,0
2016-12-23,0
2016-12-24,0
2016-12-25,0
2016-12-26,0
2016-12-27,0
2016-12-28,2
2016-12-29,1
