Date,Frequancy
2016-01-26,2
2016-01-27,0
2016-01-28,2
2016-01-29,5
2016-01-30,20
2016-01-31,3
2016-02-01,4
2016-02-02,2
2016-02-03,4
2016-02-04,2
2016-02-05,2
2016-02-06,1
2016-02-07,3
2016-02-08,3
2016-02-09,5
2016-02-10,19
2016-02-11,3
2016-02-12,2
2016-02-13,4
2016-02-14,20
2016-02-15,4
2016-02-16,5
2016-02-17,5
2016-02-18,5
2016-02-19,5
2016-02-20,5
2016-02-21,5
2016-02-22,9
2016-02-23,9
2016-02-24,5
2016-02-25,28
2016-02-26,18
2016-02-27,14
2016-02-28,19
2016-02-29,17
2016-03-01,27
2016-03-02,9
2016-03-03,5
2016-03-04,1
2016-03-05,2
2016-03-06,2
2016-03-07,4
2016-03-08,1
2016-03-09,3
2016-03-10,5
2016-03-11,0
2016-03-12,0
2016-03-13,1
2016-03-14,1
2016-03-15,0
2016-03-16,2
2016-03-17,1
2016-03-18,1
2016-03-19,1
2016-03-20,0
2016-03-21,2
2016-03-22,1
2016-03-23,5
2016-03-24,3
2016-03-25,9
