contents,date
제 5 침공 (The 5th Wave) 새 포스터 http://bit.ly/1JzwGe3 ,2016-01-26
"10명에게 예매권 2매씩 드립니다! (~1/31)
2월 25일 개봉 예정! 영화 <제 5침공>

전세계 4 000만부가 팔린 동명의 베스트셀러 원작의 SF 재난 블록버스터 영화!
‘클로이 모레츠’ 주연!... http://fb.me/2gbAxMHSr ",2016-01-26
"<A-event> 영화 '제 5침공' 예매권 증정 이벤트

전세계 4 000만부가 팔린 동명의 베스트셀러 원작
클레이 모레츠 주연! 1차부터 5차까지의 단계별 침공!

SF 재난 블록버스터 '제 5침공'... http://fb.me/4aISwbMFb ",2016-01-28
"'영화 <제5침공> 무료 이벤트'

1. 참여방법 : 예고편 게시물 공유와 함께 댓글달기
(예 : ‘SF 재난 블록버스터’  ‘단계별 침공’ 
2. 제공수량: 10명 (1인2매  20매)
3. 일정:... http://fb.me/72LfkEd7m ",2016-01-28
제 5침공 2차 예고편: http://youtu.be/aiKyCCIogVw?a  (@YouTube),2016-01-29
2월에 007 스펙터  3월에 마션  퓨리  몬스터호텔2  블랙호크다운  4월에 구스범스  5월에 레버넌트  제5침공  6월에 인디펜던스데이 20주년 블루레이 스틸북이 정발될 예정이란다.,2016-01-29
"- [영화] 제5침공 (1월 31일 까지)
참여하기 > 영화매니아 ( http://evnt.ga/1191  )",2016-01-29
"<제5 침공> 예매권 이벤트!

클로이 모레츠 주연의 SF 재난 블록버스터!
디 아더스의 단계별 침공에 대비하세요!

≫ 응모기간: 2016.01.29(금) ~ 2016.02.03(수)
≫ 당첨발표:... http://fb.me/5486M7w3g ",2016-01-29
<무비프리 시사회 이벤트> 제 5침공  The Fifth Wave 개봉하기 전에 난 먼저 본다! 지금 무비프리에서 진행하는 이벤트에 참여하시면 .. http://app.moviepre.co.kr  pic.twitter.com/8fHBTGt6Wm,2016-01-29
<제5침공>의 국내개봉일은 2월 25일입니다. pic.twitter.com/wP4d2zaNqJ,2016-01-30
제5침공 저 영화에서 또 틴에이져에셒의 냄새가 난다...,2016-01-30
미스터리 신입생 제5침공 플라이트 7500 나를 돌아봐 손승연 신분당선 프로듀스101 황치열 한일전 나쁜이웃들 http://fb.me/MqOGn78Y ,2016-01-30
<무비프리 시사회 이벤트> 제 5침공  The Fifth Wave 개봉하기 전에 난 먼저 본다! 지금 무비프리에서 진행하는 이벤트에 참여하시면 .. http://app.moviepre.co.kr  pic.twitter.com/iB75VTzxcY,2016-01-30
미스터리 신입생 제5침공 플라이트 7500 나를 돌아봐 손승연 신분당선 프로듀스101 황치열 한일전 나쁜이웃들 http://fb.me/4gqT7386F ,2016-01-30
<무비프리 시사회 이벤트> 제 5침공  The Fifth Wave 개봉하기 전에 난 먼저 본다! 지금 무비프리에서 진행하는 이벤트에 참여하시면 .. http://app.moviepre.co.kr  pic.twitter.com/tRDWuvRZWf,2016-01-30
미스터리 신입생 제5침공 플라이트 7500 나를 돌아봐 손승연 신분당선 프로듀스101 황치열 한일전 나쁜이웃들 http://fb.me/7YbsK0bYE ,2016-01-30
<무비프리 시사회 이벤트> 제 5침공  The Fifth Wave 개봉하기 전에 난 먼저 본다! 지금 무비프리에서 진행하는 이벤트에 참여하시면 .. http://app.moviepre.co.kr  pic.twitter.com/FcIqYH8Wp7,2016-01-30
<무비프리 시사회 이벤트> 제 5침공  The Fifth Wave 개봉하기 전에 난 먼저 본다! 지금 무비프리에서 진행하는 이벤트에 참여하시면 .. http://app.moviepre.co.kr  pic.twitter.com/RBPQXiGOJ4,2016-01-30
<무비프리 시사회 이벤트> 제 5침공  The Fifth Wave 개봉하기 전에 난 먼저 본다! 지금 무비프리에서 진행하는 이벤트에 참여하시면 .. http://app.moviepre.co.kr  pic.twitter.com/jZzvhgJKFd,2016-01-30
<무비프리 시사회 이벤트> 제 5침공  The Fifth Wave 개봉하기 전에 난 먼저 본다! 지금 무비프리에서 진행하는 이벤트에 참여하시면 .. http://app.moviepre.co.kr  pic.twitter.com/OkiplbBJDT,2016-01-30
<무비프리 시사회 이벤트> 제 5침공  The Fifth Wave 개봉하기 전에 난 먼저 본다! 지금 무비프리에서 진행하는 이벤트에 참여하시면 .. http://app.moviepre.co.kr  pic.twitter.com/7Tivcp59P3,2016-01-30
<무비프리 시사회 이벤트> 제 5침공  The Fifth Wave 개봉하기 전에 난 먼저 본다! 지금 무비프리에서 진행하는 이벤트에 참여하시면 .. http://app.moviepre.co.kr  pic.twitter.com/JEsHiEDHme,2016-01-30
<무비프리 시사회 이벤트> 제 5침공  The Fifth Wave 개봉하기 전에 난 먼저 본다! 지금 무비프리에서 진행하는 이벤트에 참여하시면 .. http://app.moviepre.co.kr  pic.twitter.com/7xT7jDzj42,2016-01-30
<무비프리 시사회 이벤트> 제 5침공  The Fifth Wave 개봉하기 전에 난 먼저 본다! 지금 무비프리에서 진행하는 이벤트에 참여하시면 .. http://app.moviepre.co.kr  pic.twitter.com/DWRxoOvd5i,2016-01-30
<무비프리 시사회 이벤트> 제 5침공  The Fifth Wave 개봉하기 전에 난 먼저 본다! 지금 무비프리에서 진행하는 이벤트에 참여하시면 .. http://app.moviepre.co.kr  pic.twitter.com/ygglVyPN3F,2016-01-30
<무비프리 시사회 이벤트> 제 5침공  The Fifth Wave 개봉하기 전에 난 먼저 본다! 지금 무비프리에서 진행하는 이벤트에 참여하시면 .. http://app.moviepre.co.kr  pic.twitter.com/cXqodfirDO,2016-01-30
