Date,Frequancy
2015-08-11,0
2015-08-12,0
2015-08-13,0
2015-08-14,2
2015-08-15,0
2015-08-16,0
2015-08-17,3
2015-08-18,3
2015-08-19,1
2015-08-20,0
2015-08-21,0
2015-08-22,0
2015-08-23,0
2015-08-24,2
2015-08-25,1
2015-08-26,2
2015-08-27,2
2015-08-28,0
2015-08-29,0
2015-08-30,0
2015-08-31,7
2015-09-01,1
2015-09-02,2
2015-09-03,20
2015-09-04,5
2015-09-05,3
2015-09-06,2
2015-09-07,0
2015-09-08,2
2015-09-09,2
2015-09-10,7
2015-09-11,8
2015-09-12,1
2015-09-13,3
2015-09-14,2
2015-09-15,3
2015-09-16,3
2015-09-17,2
2015-09-18,1
2015-09-19,0
2015-09-20,2
2015-09-21,2
2015-09-22,0
2015-09-23,0
2015-09-24,1
2015-09-25,1
2015-09-26,0
2015-09-27,0
2015-09-28,0
2015-09-29,0
2015-09-30,1
2015-10-01,0
2015-10-02,2
2015-10-03,0
2015-10-04,0
2015-10-05,0
2015-10-06,0
2015-10-07,1
2015-10-08,0
2015-10-09,1
