contents,date
"안성기 & 모건 프리먼  한 – 미 최고 연기파 배우들이 역대급 연기 대결 펼치다! 

액션 블록버스터 <제 7기사단>  9월 10일 개봉 확정!

http://blog.naver.com/cinemaplus/220450483814 … pic.twitter.com/qVW9CD1Oso",2015-08-14
클라이브 오웬  모건 프리먼  안성기  박시연 출연 판타지 영화 <제7기사단> 국내판 메인 예고편 공개 http://buff.ly/1PomB1v pic.twitter.com/L2GIvoXtpx,2015-08-14
대서사 액션 블록버스터  <제7기사단> 예고편을 확인하고  kt 올레TV 인터넷 홈페이지에서 예매권 이벤트에 참여 해보세요~ http://blog.naver.com/tims1472/220453446690 …,2015-08-17
"<A-event> 영화 '제 7 기사단' 예매권 증정 이벤트

시선강탈! 액션작렬!
감탄을 금치 못하는 액션 블록버스터 <제7 기사단>

보는 순간 심박수 급상승하게 만드는
거대한 스케일+화려한 액션의... http://fb.me/3nQVbonPM ",2015-08-17
"대규모 스케일  화려한 전투!
대서사 액션블록버스터 탄생!
<제 7기사단>본예고편 전격 공개!
역사상 가장 위대한 전투를 확인하세요!

#제7기사단 예고편을 공유+함께 보고싶은 친구를 소환해주세요!... http://fb.me/1QAxija0F ",2015-08-17
제7 기사단 http://blog.naver.com/iboy/220454506025 …,2015-08-18
[제 7기사단] 메인 예고편: http://youtu.be/CHf2ITfmK00?a  (@YouTube),2015-08-18
"국내도 모자라 할리우드까지 *.*
넘사벽 클라스의 국위선양을 자랑하는 
한국스타들을 만나보세요!

#넌_너무_멋져#반짝반짝#참_잘했어요
#9월_10일대개봉#제7기사단",2015-08-18
제7기사단_메인예고편 http://youtu.be/36Ry59NA2y8?a ,2015-08-19
<당첨자발표> 영화 '제 7 기사단' 예매권 증정 이벤트 http://fb.me/2odzGxel7 ,2015-08-24
「第七騎士団」。日本のタイトルは「ラスト・ナイツ」。韓国ではアン・ソンギ先生効果で９月１０日に公開。#ラスト・ナイツ　안성기의 첫 할리우드 진출작 `제 7기사단` 예고편 공개 http://www.viva100.com/main/view.php?key=20150816010003066 …,2015-08-24
"역사상 가장 위대한 전투 
<제 7기사단> 본예고편을 널리 널리 공유해주신
당첨자 10분을 뽑았습니다! 모두 축하드려요!

=====================================
엄지원... http://fb.me/yQDvAdZ4 ",2015-08-25
<제 7기사단> 스펙터클 액션 영상 http://fb.me/7qTCRFNWe ,2015-08-26
'제 7기사단' #안성기  '할리우드 첫 진출작' 스틸 공개... 중후한 카리스마 http://www.stardailynews.co.kr/news/articleView.html?idxno=68016 …,2015-08-26
"'안성기' 할리우드 진출작 '제 7기사단'  중후한 매력 담긴 스틸 공개!
http://www.newsfact.kr/news/articleView.html?idxno=4218 …pic.twitter.com/sm7SvdJ8H5",2015-08-27
제 7기사단 재미것다...,2015-08-27
전두홍 감독 참여' <제 7기사단>  액션 비하인드 영상 공개 http://blog.naver.com/mmnewsn/220467490019 …,2015-08-31
"'제 7기사단' 정두홍이 완성한 환상 액션…""에너지 넘친다"" 극찬 http://hayan2.blog.me/220467028859 ",2015-08-31
ㅇ ㅏ..... 영화 제7기사단에............그거 예고편 보자마자 7번째아들 생각나는 그런.. 느낌적인 망삘의 그런 느낌이었....는데....,2015-08-31
"흥미진진한 예습타임
전설들이 펼칠 이야기에 대한 궁금증
고심 끝에 <제 7기사단> 인물관계도를 공개합니다. 

#9월_10일대개봉 #제7기사단",2015-08-31
오올.. '제7기사단'에 안성기랑 박시연도 나오네! 근데 일본인 감독에  헐리우드 배우를 쓴 한국+체코 합작 영화여?,2015-08-31
그렇지만 시간은 참 정직하다.. '실행이 곧 존재다'?.. 영화 제 7 기사단? 그 무술 감독?.... 내 허리는 또 아이고. 운동 좀 하고.. 그는 다친건가?,2015-08-31
‘제 7기사단’ 美스태프들 “정두홍 감독  ‘올드보이’때 보고 완전히 매료” http://tenasia.hankyung.com/archives/653127 pic.twitter.com/eVPaH4Yghd,2015-08-31
"우리 어디서 본 적이..?
알찬 배우들로 꽉 찬 <제 7기사단> 출연배우들
동서양을 넘나드는 싱크로율 파헤치기

#9월_10일대개봉 #제7기사단",2015-09-01
박시연  첫 헐리우드 진출작 '제 7기사단' 스틸컷 공개 | 캐서린 제타존슨 이미지 http://media.daum.net/v/20150903081407831?f=m …,2015-09-02
"대서사 액션블록버스터 <제 7기사단>
이것만 알면 3배 더 재밌게 즐길 수 있다!
주목할 만한 관전포인트 TOP3

#관객만족100% #대서사 #액션 #블록버스터
#제7기사단 #9월_10일대개봉",2015-09-02
[데일리메일] [데일리메일]박시연 주연‘제 7기사단’ 10월 한국 상륙 개봉 http://www.dailymail.kr/news/article.html?no=22796 …,2015-09-03
'제7기사단' 박시연  첫 헐리우드 액션 진출작 스틸 공개로 관심↑ @ilyo http://ilyo.co.kr/?ac=article_view&entry_id=140843 …,2015-09-03
'제 7기사단' 고품격 의상담긴 스틸 공개: ▲배우 안성기의 첫 할리우드 진출작 '제 7기사단'이 고품격 의상을 입은 배우들의 모습을 공개했다. (사진 제공=미디어로그) [서울=내외뉴스.. http://blog.daum.net/nbnnews1/8829 ,2015-09-03
[제 7기사단] 정두홍 무술감독 액션 영상: http://youtu.be/e3U75qvSRiM?a  (@YouTube),2015-09-03
'제7기사단' 박시연 스틸컷 공개  출산 후에도 몸매가…'헉!' http://hk.hn/1EAFRI8 ,2015-09-03
제 7기사단' 박시연  안성기와 마주앉은 '애틋한 눈빛 http://www.todayssul.co.kr/65824 ,2015-09-03
박시연  첫 헐리우드 진출 영화 '제 7기사단' 스틸컷 공개 http://bit.ly/1hVYf4H ,2015-09-03
"박시연 안성기 '제7기사단' 속 부녀 케미는? '의미심장한 눈빛 교환'
>http://bit.ly/1UuauBf ",2015-09-03
"‘제 7기사단’ 박시연  ‘애틋한 눈빛’으로 단아한 동양미 뽐내… ‘관심 집중’ http://bit.ly/1N3Z9Y3  #제7기사단 #박시연 #안성기

영화 ‘제 7기사단’(감독 키리야 카즈야키/… pic.twitter.com/289dletJXw",2015-09-03
"제 7기사단  박시연  과거 노민우와 베드신 '야해서' 재촬영…PD ""이 부분 잘릴 것 같다"" http://blog.naver.com/bisu1592/220470236636 …",2015-09-03
"`제7기사단` 박시연  19禁 볼륨몸매 눈길…`제7기사단`이 뭐길래?
http://bit.ly/1UodFiX 
#제7기사단 #박시연 #한국경제TV pic.twitter.com/0wNI8tKJ1R",2015-09-03
[ #Tistory ]제7기사단 박시연 안성기 그리고 정두홍 http://blogmania.tistory.com/6191 ,2015-09-03
"박시연  할리우드 진출작 ‘제 7기사단’ 스틸 공개…안성기와 부녀사이
 http://bit.ly/1Utj9DT pic.twitter.com/DVoRfp4m9q",2015-09-03
