Date,Frequency
2016-06-27,38
2016-06-28,15
2016-06-29,21
2016-06-30,32
2016-07-01,29
2016-07-02,16
2016-07-03,22
2016-07-04,27
2016-07-05,23
2016-07-06,45
2016-07-07,29
2016-07-08,100
2016-07-09,46
2016-07-10,20
2016-07-11,28
2016-07-12,33
2016-07-13,29
2016-07-14,61
2016-07-15,32
2016-07-16,30
2016-07-17,24
2016-07-18,25
2016-07-19,41
2016-07-20,39
2016-07-21,50
2016-07-22,35
2016-07-23,39
2016-07-24,54
2016-07-25,40
2016-07-26,46
2016-07-27,43
2016-07-28,56
2016-07-29,60
2016-07-30,54
2016-07-31,98
2016-08-01,57
2016-08-02,42
2016-08-03,40
2016-08-04,40
2016-08-05,55
2016-08-06,29
2016-08-07,45
2016-08-08,39
2016-08-09,36
2016-08-10,37
2016-08-11,16
2016-08-12,33
2016-08-13,31
2016-08-14,36
2016-08-15,37
2016-08-16,21
2016-08-17,24
2016-08-18,18
2016-08-19,20
2016-08-20,14
2016-08-21,20
2016-08-22,27
2016-08-23,14
2016-08-24,11
2016-08-25,19
