Date,Frequancy
2016-02-09,37
2016-02-10,51
2016-02-11,52
2016-02-12,49
2016-02-13,45
2016-02-14,49
2016-02-15,44
2016-02-16,49
2016-02-17,51
2016-02-18,46
2016-02-19,35
2016-02-20,49
2016-02-21,55
2016-02-22,53
2016-02-23,39
2016-02-24,41
2016-02-25,39
2016-02-26,48
2016-02-27,55
2016-02-28,49
2016-02-29,40
2016-03-01,37
2016-03-02,52
2016-03-03,45
2016-03-04,46
2016-03-05,54
2016-03-06,50
2016-03-07,36
2016-03-08,54
2016-03-09,38
2016-03-10,41
2016-03-11,46
2016-03-12,14
2016-03-13,37
2016-03-14,42
2016-03-15,52
2016-03-16,39
2016-03-17,55
2016-03-18,56
2016-03-19,52
2016-03-20,54
2016-03-21,47
2016-03-22,45
2016-03-23,59
2016-03-24,52
2016-03-25,41
2016-03-26,35
2016-03-27,54
2016-03-28,39
2016-03-29,36
2016-03-30,51
2016-03-31,54
2016-04-01,40
2016-04-02,49
2016-04-03,49
2016-04-04,51
2016-04-05,38
2016-04-06,47
2016-04-07,38
2016-04-08,44
