Date,Frequancy
2017-01-23,3
2017-01-24,1
2017-01-25,3
2017-01-26,3
2017-01-27,1
2017-01-28,2
2017-01-29,1
2017-01-30,4
2017-01-31,6
2017-02-01,4
2017-02-02,3
2017-02-03,7
2017-02-04,2
2017-02-05,2
2017-02-06,3
2017-02-07,17
2017-02-08,16
2017-02-09,8
2017-02-10,23
2017-02-11,2
2017-02-12,4
2017-02-13,10
2017-02-14,14
2017-02-15,13
2017-02-16,9
2017-02-17,7
2017-02-18,9
2017-02-19,4
2017-02-20,15
2017-02-21,6
2017-02-22,25
2017-02-23,39
2017-02-24,25
2017-02-25,36
2017-02-26,34
2017-02-27,28
2017-02-28,14
2017-03-01,28
2017-03-02,16
2017-03-03,10
2017-03-04,15
2017-03-05,8
2017-03-06,18
2017-03-07,14
2017-03-08,5
2017-03-09,5
2017-03-10,3
2017-03-11,7
2017-03-12,1
2017-03-13,1
2017-03-14,3
2017-03-15,4
2017-03-16,2
2017-03-17,4
2017-03-18,1
2017-03-19,3
2017-03-20,1
2017-03-21,4
2017-03-22,1
2017-03-23,0
