Date,Frequancy
2016-08-01,0
2016-08-02,5
2016-08-03,1
2016-08-04,0
2016-08-05,0
2016-08-06,0
2016-08-07,1
2016-08-08,2
2016-08-09,1
2016-08-10,0
2016-08-11,3
2016-08-12,2
2016-08-13,2
2016-08-14,1
2016-08-15,1
2016-08-16,1
2016-08-17,3
2016-08-18,1
2016-08-19,15
2016-08-20,15
2016-08-21,5
2016-08-22,2
2016-08-23,9
2016-08-24,4
2016-08-25,5
2016-08-26,6
2016-08-27,3
2016-08-28,0
2016-08-29,2
2016-08-30,9
2016-08-31,11
2016-09-01,13
2016-09-02,11
2016-09-03,4
2016-09-04,1
2016-09-05,7
2016-09-06,5
2016-09-07,2
2016-09-08,1
2016-09-09,1
2016-09-10,0
2016-09-11,1
2016-09-12,0
2016-09-13,2
2016-09-14,0
2016-09-15,0
2016-09-16,1
2016-09-17,1
2016-09-18,0
2016-09-19,0
2016-09-20,1
2016-09-21,0
2016-09-22,0
2016-09-23,0
2016-09-24,0
2016-09-25,0
2016-09-26,2
2016-09-27,0
2016-09-28,1
2016-09-29,0
