Date,Frequancy
2017-05-29,0
2017-05-30,2
2017-05-31,1
2017-06-01,0
2017-06-02,2
2017-06-03,0
2017-06-04,2
2017-06-05,16
2017-06-06,11
2017-06-07,5
2017-06-08,2
2017-06-09,2
2017-06-10,1
2017-06-11,1
2017-06-12,0
2017-06-13,1
2017-06-14,2
2017-06-15,2
2017-06-16,4
2017-06-17,3
2017-06-18,0
2017-06-19,6
2017-06-20,4
2017-06-21,2
2017-06-22,1
2017-06-23,2
2017-06-24,2
2017-06-25,0
2017-06-26,9
2017-06-27,9
2017-06-28,35
2017-06-29,29
2017-06-30,26
2017-07-01,25
2017-07-02,24
2017-07-03,16
2017-07-04,11
2017-07-05,13
2017-07-06,8
2017-07-07,16
2017-07-08,11
2017-07-09,8
2017-07-10,6
2017-07-11,5
2017-07-12,6
2017-07-13,1
2017-07-14,4
2017-07-15,4
2017-07-16,5
2017-07-17,2
2017-07-18,0
2017-07-19,0
2017-07-20,1
2017-07-21,2
2017-07-22,0
2017-07-23,1
2017-07-24,0
2017-07-25,2
2017-07-26,3
2017-07-27,8
