contents,date
여성영화제 관심작: 스푸어  침묵에 대한 의문  에이다 러블레이스  어떤 여인들  시녀 이야기  지랄발광  17세  수성못  더 파티  XX  아메리칸 허니  사랑의 마녀  일상대화  스릴러/골드디거,2017-05-30
"페북에 '지랄발광 17세' 이라는 장애인 혐오적 워딩이 들어간 영화를 홍보하길래 깜짝 놀라서 봤더니 원제목이 'The edge of seventeen' 이다. 이게 지금  ?
'난리발광'으로 바꿨다고 하긴 하는데 검색해보면 여전히 '지랄발광'으로 나옴 pic.twitter.com/hVtZXdmash",2017-05-30
일단 확실히 볼 수 있는 <지랄발광 17세>  <짧은 만남> 예매함...,2017-05-31
<지랄발광  17세 The Edge of Seventeen> #SIWFF  여성 하이틴 성장영화의 완벽한 퍼즐 한 조각을 찾아버렸네... 여러분 이거 보셔야 합니다  pic.twitter.com/wmkJNoSjk1,2017-06-02
<SIWFF-지랄발광 17세>입만 거칠지 사실은 순진한 열패감 쩌는 여자아이의 성잠담인데 유쾌하니 재밌었다. 저속한 말이 많이 나오지만 편하게 볼 수 있었던 것은 위험할 수 있는 상황이 많았지만 아무도 폭력을 쓰지 않아서 좋았음. 여주 귀엽고 예뻤음!,2017-06-02
일단 에이다러블레이스 지랄발광17세볼거야,2017-06-04
저는 <지랄발광 17세> 봐요!,2017-06-04
[맥스무비 - 영화정보] 지랄발광 17세 http://m.maxmovie.com/movie/movie_info.asp?m_id=M000099497 …,2017-06-05
지랄발광 17세 봤는데 무지 즐거운 영화였습니다. 물론 관객들에게 그렇다는 이야기고 주인공에겐 죽을 맛이었겠지만. 십대 여자아이 주인공이 겪을 수 있는 온갖 망신들이 다 나옵니다.,2017-06-05
동영상을 @YouTube 재생목록 http://youtu.be/9a0ke6JGziw?a  영화'지랄발광 17세'The Edge of Seventeen   메인 예고편에,2017-06-05
[더코리아뉴스] 배순민 기자 =&nbsp;해외 예고편만으로 SNS에서 화제를 모았던 영화 '지랄발광 17세'(원제:... http://thekoreanews.com//detail.php?number=41241 …,2017-06-05
강렬한 제목의 코미디 <지랄발광 17세> 예고편과 포스터 http://buff.ly/2rrQuKQ pic.twitter.com/emQPbyBNoW,2017-06-05
오늘 신촌 메가박스에서 8:30에 상영하는 지랄발광 17세<The Edge of Seventeen> 보실 분 계시면 연락 주세요,2017-06-05
오늘 여덟시반 여성영화제 지랄발광 17세 보실 분 계셔용 표 그냥 드림 넘 졸려서 집 가야될 것 같아요 ,2017-06-05
2번 예시로는 <내 남자의 아내도 좋아>  <지랄발광  17세> 등이 있겠습니다~,2017-06-05
서울국제여성영화제 영화 중 하나인 '지랄발광  17세' 진짜 놀랍도록 구리다... 주인공을 짝사랑하는 남자애가 애니메이션을 만드는데 그 내용이 남자가 구애하지만 여자는 자꾸 거절하다가.. 여자의 위기 상황에 남자가 구해주고..,2017-06-05
"지랄발광이었다가 난리발광이었다가 다시 지랄발광이 된 난리의 지랄발광17세 엄청 웃기고 유쾌하고 좋은데 너무 감정이입이 잘 됐는지 중요한 마무리가 맘에 안들어ㅋㅋㅋㅠㅠㅠ 허술하지 않아???? 
감정이입 어쩌구 하는게 염치없는건가 하는 생각은 든다",2017-06-05
'지랄발광 17세'로 이름 지은 담당자 진짜 반성해라,2017-06-05
번역 제목은 다소 도전적인 느낌의 <지랄발광 17세>. 뭐든 완벽한 친오빠와 사이가 안좋은 주인공 네이딘이 겪는 마의 사춘기를 그린 성장영화로  한창 예민하고 어디로 튈 지 모르는 '지랄발광'한 고딩의 심리상태를 잘 보여준다. 유쾌하고 재미있음:),2017-06-05
