Date,Frequancy
2015-07-28,17
2015-07-29,22
2015-07-30,13
2015-07-31,6
2015-08-01,5
2015-08-02,1
2015-08-03,15
2015-08-04,6
2015-08-05,8
2015-08-06,19
2015-08-07,11
2015-08-08,9
2015-08-09,8
2015-08-10,21
2015-08-11,11
2015-08-12,14
2015-08-13,9
2015-08-14,8
2015-08-15,6
2015-08-16,9
2015-08-17,12
2015-08-18,34
2015-08-19,36
2015-08-20,27
2015-08-21,30
2015-08-22,24
2015-08-23,24
2015-08-24,38
2015-08-25,31
2015-08-26,36
2015-08-27,50
2015-08-28,33
2015-08-29,32
2015-08-30,32
2015-08-31,36
2015-09-01,25
2015-09-02,36
2015-09-03,14
2015-09-04,13
2015-09-05,10
2015-09-06,14
2015-09-07,13
2015-09-08,16
2015-09-09,24
2015-09-10,15
2015-09-11,25
2015-09-12,10
2015-09-13,17
2015-09-14,15
2015-09-15,10
2015-09-16,14
2015-09-17,11
2015-09-18,11
2015-09-19,5
2015-09-20,12
2015-09-21,11
2015-09-22,5
2015-09-23,15
2015-09-24,6
2015-09-25,5
