contents,date
'치외법권’ 임창정 “임은경 보고 한 눈에 반해”  첫인상 어땠길래? - http://ogin.co.kr/2015/07/29/%ec%b9%98%ec%99%b8%eb%b2%95%ea%b6%8c-%ec%9e%84%ec%b0%bd%ec%a0%95-%ec%9e%84%ec%9d%80%ea%b2%bd-%eb%b3%b4%ea%b3%a0-%ed%95%9c-%eb%88%88%ec%97%90-%eb%b0%98%ed%95%b4-%ec%b2%ab/ …pic.twitter.com/b1PN3yaQJV,2015-07-28
왜 자식한테 목숨을 거는지 도무지 이해가 안 간다. 자식 내세워 한밑천 잡아보겠다는 심정인가 싶어도 어차피 먼저 늙어 죽잖아; 나야 여사님 치외법권으로 탈주해서 내 맘대로 커서 맘대로 타이거맘 노릇도 못했겠지만.. 대체 저 그릇된 욕구의 목적이 뭐야?,2015-07-28
"""삼성  또 하나의 가족? 치외법권 지대?"" : http://bit.ly/wAJeCf ",2015-07-28
앞으로 볼 영화.. 미니언즈  미션 임파서블 로그네이션  심야식당  성실한 나라의 앨리스  ((((무민 더 무비))))   판타스틱4 리부트   치외법권  암살교실  (((앤트맨)))   섬니아   배트맨vs슈퍼맨   수어사이드 스쿼드,2015-07-28
[UHD] ‘치외법권’ 임창정-최다니엘  ‘인산인해’ 속 제작보고회 마쳐… ‘기대 만발’ http://bit.ly/1KvM8nG pic.twitter.com/XZZDRmBbPg,2015-07-28
영등포 어느몰 홀리스터 매장. 치외법권 적용 제외임. https://twitter.com/kimyiha/status/625968658980798464 …,2015-07-28
듣고 보면 더 재밌다 | <치외법권> ‘똘끼’ 충만 콤비 임창정 & 최다니엘  http://m.maxmovie.com/news/news_view.asp?MI_ID=MI0100984100 …,2015-07-28
"<치외법권> 제작보고회  장광 “임창정을 살살 때리려니 그림 안 살아... 연기에 충실했던 것뿐”

http://blog.naver.com/cinemaplus/220433720665 …pic.twitter.com/GzdfjWgkSy",2015-07-28
"영화 주요 일정(7.27-8.02)

제작보고회: 치외법권  
언론시사회: 미쓰 와이프  
VIP시사회:  베테랑
기타:  <미션 임파서블: 로그네이션> 내한 행사

http://blog.naver.com/cinemaplus/220419199028 … pic.twitter.com/Cqv2HhbLIj",2015-07-28
[배우 임창정] 영화 ‘치외법권’ 제작보고회  정진  청담마녀  셀럽 바이 재클린 http://blog.naver.com/djacqueline/220433672215 …,2015-07-28
"[문화 生] 임창정·최다니엘…""또라이 형사들  '치외법권'으로 뭉치다"" http://www.dknews.co.kr/news/articleView.html?idxno=42475 …",2015-07-28
"' #치외법권 ' #최다니엘 "" #임창정 과 두 번째 호흡  얼굴에서 #양조위 보여""http://ow.ly/Q9HOx ",2015-07-28
"' #치외법권 ' #임은경 ""여전한 #동안 미모? 늙었다는 생각 가끔해"" http://ow.ly/Q9HKI ",2015-07-28
"' #치외법권 ' #임창정 ""거울 많이 본 이유? #최다니엘 비해 너무 빈곤해서"" http://ow.ly/Q9HJM ",2015-07-28
