Date,Frequancy
2017-04-24,4
2017-04-25,1
2017-04-26,0
2017-04-27,0
2017-04-28,1
2017-04-29,2
2017-04-30,0
2017-05-01,3
2017-05-02,2
2017-05-03,0
2017-05-04,1
2017-05-05,1
2017-05-06,1
2017-05-07,3
2017-05-08,3
2017-05-09,0
2017-05-10,3
2017-05-11,3
2017-05-12,19
2017-05-13,5
2017-05-14,22
2017-05-15,4
2017-05-16,27
2017-05-17,24
2017-05-18,15
2017-05-19,26
2017-05-20,15
2017-05-21,14
2017-05-22,19
2017-05-23,22
2017-05-24,33
2017-05-25,32
2017-05-26,25
2017-05-27,31
2017-05-28,35
2017-05-29,27
2017-05-30,17
2017-05-31,17
2017-06-01,20
2017-06-02,10
2017-06-03,14
2017-06-04,14
2017-06-05,10
2017-06-06,10
2017-06-07,12
2017-06-08,9
2017-06-09,5
2017-06-10,5
2017-06-11,4
2017-06-12,2
2017-06-13,2
2017-06-14,1
2017-06-15,5
2017-06-16,2
2017-06-17,0
2017-06-18,4
2017-06-19,0
2017-06-20,4
2017-06-21,0
2017-06-22,0
