Date,Frequancy
2016-03-28,4
2016-03-29,1
2016-03-30,12
2016-03-31,7
2016-04-01,7
2016-04-02,5
2016-04-03,6
2016-04-04,11
2016-04-05,8
2016-04-06,9
2016-04-07,8
2016-04-08,9
2016-04-09,5
2016-04-10,7
2016-04-11,8
2016-04-12,8
2016-04-13,12
2016-04-14,17
2016-04-15,11
2016-04-16,7
2016-04-17,19
2016-04-18,19
2016-04-19,35
2016-04-20,27
2016-04-21,28
2016-04-22,22
2016-04-23,21
2016-04-24,19
2016-04-25,33
2016-04-26,38
2016-04-27,42
2016-04-28,40
2016-04-29,35
2016-04-30,36
2016-05-01,40
2016-05-02,39
2016-05-03,55
2016-05-04,37
2016-05-05,40
2016-05-06,52
2016-05-07,35
2016-05-08,37
2016-05-09,39
2016-05-10,36
2016-05-11,31
2016-05-12,28
2016-05-13,32
2016-05-14,28
2016-05-15,20
2016-05-16,23
2016-05-17,21
2016-05-18,8
2016-05-19,18
2016-05-20,15
2016-05-21,11
2016-05-22,10
2016-05-23,12
2016-05-24,14
2016-05-25,16
2016-05-26,9
