Date,Frequancy
2016-11-08,40
2016-11-09,53
2016-11-10,41
2016-11-11,37
2016-11-12,37
2016-11-13,43
2016-11-14,37
2016-11-15,35
2016-11-16,39
2016-11-17,41
2016-11-18,39
2016-11-19,41
2016-11-20,55
2016-11-21,38
2016-11-22,50
2016-11-23,44
2016-11-24,63
2016-11-25,44
2016-11-26,38
2016-11-27,40
2016-11-28,37
2016-11-29,58
2016-11-30,43
2016-12-01,38
2016-12-02,39
2016-12-03,42
2016-12-04,75
2016-12-05,56
2016-12-06,33
2016-12-07,50
2016-12-08,38
2016-12-09,49
2016-12-10,47
2016-12-11,54
2016-12-12,38
2016-12-13,40
2016-12-14,57
2016-12-15,42
2016-12-16,43
2016-12-17,37
2016-12-18,39
2016-12-19,42
2016-12-20,42
2016-12-21,32
2016-12-22,47
2016-12-23,64
2016-12-24,48
2016-12-25,42
2016-12-26,38
2016-12-27,40
2016-12-28,76
2016-12-29,37
2016-12-30,53
2016-12-31,43
2017-01-01,64
2017-01-02,37
2017-01-03,47
2017-01-04,45
2017-01-05,35
2017-01-06,60
