contents,date
#윙뉴스  [MD포커스] ＇커튼콜＇ 장현성  소속사 YG에 1억5천 설득한 사연 http://www.1go.co.kr/bbs/board.php?bo_table=wingnews&wr_id=16855 … @1gokr 님이 공유,2016-11-08
161108 아이다 커튼콜 사진 폰보정. pic.twitter.com/qQzZu06WBd,2016-11-08
범호빈 후기...... 드럼 진짜 잘 친다 본인이 연주하시는 줄 아랐네 스틱 돌리기 환장하고 고래맆에서 민우 뒤에서 춤추길래 '어라 아직 커튼콜 아닌데' 라 생각했다가 아 호빈이 맞구나 하고 정신차림,2016-11-08
"161104 아폴로니아 스페셜 커튼콜 

권오성 배우님 :)

http://i.imgur.com/CNE7Huc.jpg 
http://i.imgur.com/pzaYwaM.jpg pic.twitter.com/YLkkjVld64",2016-11-08
161108 블랙메리포핀스 커튼콜 강영석 송상은 전혜선 pic.twitter.com/YKDMBuQBOv,2016-11-08
커튼콜 아래그랑 - 주 pic.twitter.com/jokMPyIOlj,2016-11-08
[참관기] 제11회 워싱턴 한미문화축전...화려한 커튼콜에 전원 기립박수 - 월드코리안뉴스 http://ln.is/www.worldkorean.net/1cFCx … 한미문화예술재단 주최...조지워싱턴대 리스너 오디토리움에서 열려~,2016-11-08
"2016.11.08 아폴로니아 밤공 커튼콜

권오성 박규원 김광섭 배우님 pic.twitter.com/GpD3Ev4338",2016-11-08
나는 커튼콜때 앵콜 외치고싶은데,2016-11-08
"161105 인터뷰 낮 커튼콜+무대인사(이용규)
https://youtu.be/cHTJbIiUN-Y ",2016-11-08
"박철민 ""장현성  소속사YG 설득해 '커튼콜'에 1억5000만원 투자"" http://fb.me/XVKelE4d ",2016-11-08
커튼콜 사태 ㅋㅋㅋ 무튼 일 부풀리지 못해 환장하는 병에 걸린 병신들. 커튼콜 마지막 두소절 다같이 합창한 이벤트가 쟤네한테 사태가 되네 ㅋㅋ,2016-11-08
161029 뮤지컬 #팬레터 커튼콜 히카루 #김히어라pic.twitter.com/PstnPglr2P,2016-11-08
'커튼콜'  연극+영화 라이브코미디..장현성이 강추합니다(종합) http://fb.me/3frmZh2GU ,2016-11-08
"@BOGUMMY
역쉬~~~보검이~~~
'커튼콜' 박철민에게 박보검이란? ""내 사위"" 애정듬뿍 | 다음 연예 http://v.media.daum.net/v/20161108113400625?f=m …pic.twitter.com/XIB5MqGk5P",2016-11-08
"나 머글한테 고나리 먹음 
커튼콜에 일어섰더니 앉으라고 고나리함....
왜 다 일어서서 즐기는 분위기인데",2016-11-08
"<커튼콜> 이이경-유지수-채서진-고보결  떠오르는 배우들의 대활약으로 기대 만발! 

 12월 8일 개봉

http://blog.naver.com/cinemaplus/220854484338 …pic.twitter.com/VV5Iez8w5J",2016-11-08
161029 뮤지컬 #팬레터 커튼콜 정세훈 #김성철 1pic.twitter.com/sWfDRQVxKL,2016-11-08
161108 밤공 #클로저 #커튼콜 #이동하 #이지혜 #김소진 #김준원pic.twitter.com/aLPRvEHcfm,2016-11-08
"아 나 커튼콜에서 주빛시가 뱉은 물 맞았다고............ 축축했다고.......
..
...
.
......",2016-11-08
"161108 뮤지컬 #그여름동물원 첫공 커튼콜
#홍경민 #이정열 김준오 #유제윤 최신권 #맹상열 #이승우 안상은 황자영 문남권

조명과의사투  초점가출ㅠㅠhttps://youtu.be/MpzKLI-E7AM ",2016-11-08
"161103 팬레터 커튼콜
올캐스트

마지막 인사하며 나가시는 모습인데 귀여움포인트가 너무 많아서 제가 굳이 말하지 않는 것으로..♡ pic.twitter.com/roQCDWt00X",2016-11-08
"161103 팬레터 커튼콜
이규형  문성일  김히어라 배우님 pic.twitter.com/SniDn5SzAL",2016-11-08
어릴 적 다짐 속의 그 날엔 그 누구보다 자랑스런 너의 친구로 멋진 내 모습 보여주리 161108 보이스 오브 밀레니엄 커튼콜 pic.twitter.com/FPIECi3ryU,2016-11-08
"2016.11.05 19:00 클로저 커튼콜 배성우 송유현 박은석 이지혜 

.....이 커튼콜이 세미막이 될 줄이야........ ㅜㅡㅜ #방황하는카메라 #배성우 #이날공연1시간20분pic.twitter.com/VWEBpft9P8",2016-11-08
"#곤투모로우 161028 커튼콜
#이동하 배우님 
전 이제 옥색 도포만 보면 눈물이 나요... pic.twitter.com/y9W8FfBRW1",2016-11-08
"질척..ㅜ ㅜ  브랜든부인 파트 안짤렸다 
161029 _ XIA _ JUNSU _ 도리안 그레이 (Dorian Gray) 총막공 무대인사 커튼콜 - https://youtu.be/gC5gyKZtjmM  @YouTube 님이 공유",2016-11-08
"20161105 곤 투모로우(곤투) 밤공 커튼콜.
홍종우 김재범.
범종우도 손이 참 예쁘지요. pic.twitter.com/aYQo9pcRg0",2016-11-08
