Date,Frequancy
2017-03-21,8
2017-03-22,5
2017-03-23,0
2017-03-24,0
2017-03-25,25
2017-03-26,6
2017-03-27,1
2017-03-28,3
2017-03-29,4
2017-03-30,0
2017-03-31,3
2017-04-01,3
2017-04-02,1
2017-04-03,2
2017-04-04,4
2017-04-05,13
2017-04-06,7
2017-04-07,2
2017-04-08,4
2017-04-09,12
2017-04-10,8
2017-04-11,7
2017-04-12,7
2017-04-13,5
2017-04-14,24
2017-04-15,11
2017-04-16,13
2017-04-17,7
2017-04-18,16
2017-04-19,18
2017-04-20,28
2017-04-21,25
2017-04-22,22
2017-04-23,21
2017-04-24,14
2017-04-25,11
2017-04-26,10
2017-04-27,10
2017-04-28,7
2017-04-29,10
2017-04-30,8
2017-05-01,5
2017-05-02,1
2017-05-03,9
2017-05-04,3
2017-05-05,7
2017-05-06,2
2017-05-07,5
2017-05-08,2
2017-05-09,2
2017-05-10,1
2017-05-11,1
2017-05-12,0
2017-05-13,1
2017-05-14,0
2017-05-15,1
2017-05-16,0
2017-05-17,1
2017-05-18,2
2017-05-19,0
