contents,date
<콜로설> 1차 예고편 (출처 : 네이버 영화 | 네이버TV) http://naver.me/5nqI1vMR ,2017-03-21
[콜로설] 1차 예고편: http://youtu.be/sn-7UxywiLc?a  (@YouTube),2017-03-21
"서울파괴영화래ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
<콜로설> 1차 예고편 http://tv.naver.com/v/1534080 ",2017-03-21
콜로설 잼있을거 같은데? ㅋㅋ,2017-03-21
앤 해서웨이 SF 영화 '콜로설' 서울에 나타난  내 맘대로 되는 괴수?!  http://post.naver.com/viewer/postView.nhn?memberNo=1972495&volumeNo=6880213 …,2017-03-21
앤 해서웨이 주연 코믹 괴수 영화 #콜로설 국내판 1차 예고편 공개 http://buff.ly/2n8JyQZ  pic.twitter.com/fAUtzbHcpD,2017-03-21
"3/29 쿵푸 요가/공각기동대/패왕별희
4/5 라이프/미션/어느 독재자/패트리어트 데이/콜로니아
4/12 분노의 질주: 더 익스트림/로즈
4/20 오두막
미정: 콜로설/임금님의 사건수첩",2017-03-21
[콜로설] 1차 예고편 http://blog.naver.com/celple/220963853454 …,2017-03-21
콜로설 동영상 :: 네이버영화 (출처 : 네이버 영화) http://naver.me/5gCmJfLv ,2017-03-22
‘콜로설’ 앤 헤서웨이  서울에 나타난 괴수와 연결됐다? http://tenasia.hankyung.com/archives/1166272 …pic.twitter.com/YRVJ0OtGz8,2017-03-22
I added a video to a @YouTube playlist http://youtu.be/2S3mGrxP0T0?a  기획 영상 콜로설 서울에 등장한 괴수의 정체는 앤,2017-03-22
기획 영상 콜로설 서울에 등장한 괴수의 정체는 앤 해서웨이 네이버 TV연예: http://youtu.be/2S3mGrxP0T0?a  via,2017-03-22
콜로설 봅시 앤 해서웨이랑 괴수가 한국 뿌셔뿌셔 하는 이상한 영화 ㅋㅋㅋ,2017-03-22
[ #VidBuy ] 1+1 - 콜로설 vs 그래  가족 http://vidbuy.tistory.com/71 ,2017-03-25
[ #VidBuy ] 디렉터스 컷 - 콜로설 http://vidbuy.tistory.com/76 ,2017-03-25
괴수 영화 [콜로설] 예고편 (우리나라 서울이 배경) http://www.silhwang.net/5342 ,2017-03-25
콜로설에 댄 나오넼ㅋㅋㅋㅋㅋㅋㅋ,2017-03-25
"[영화가 좋다]공각기동대:고스트 인 더 쉘·어느날·시간위의 집·임금님의 사건수첩·콜로설·그래  가족·오렌지·한석규
 http://me2.do/5Z829yO6 ",2017-03-25
콜로설 므ㅓ야 ㅋㅋㅋㅋㅋ개웃김ㅋㅋㅋ,2017-03-25
"#강남란제리
OlO85662828
#강남가라오케
OlO85662828
#강남파티룸
#강남셔츠룸
#2부가라오케
#강남2NE4 앤 해서웨이 ‘콜로설’  서울에 괴수",2017-03-25
"강남란제리 강남가라오케는 
권혁이사 010 8566 2828 입니다
선릉 지중해~!
강남 유흥해~! [기획 영상] &#39;콜로설&#39",2017-03-25
[실시간 5위 콜로설] '콜로설'앤 해서웨이가 한국을 구한다? 서울·부천 촬영분량 20분 http://news20.busan.com/controller/newsController.jsp?newsId=20170325000049 …,2017-03-25
[실시간 1위 콜로설] '콜로설'개봉일은 언제? 앤 해서웨이가 서울을 부수는 괴물이라고? http://www.sportsq.co.kr/news/articleView.html?idxno=229525 …,2017-03-25
앤 해서웨이가 괴수와 함께 서울에 나타난 SF 괴수 판타지 <콜로설>  4월 개봉 확정 http://naver.me/5wDLiGJg ,2017-03-25
앤 헤서웨이가 서울을 살린다... 뭐여...ㅋㅋㅋㅋ 넘 긔엽자나....ㅋㅋㅋㅋㅋ 콜로설 (출처 : 네이버 영화) http://naver.me/G4AKYw4Z ,2017-03-25
