Date,Frequency
2017-02-06,3
2017-02-07,6
2017-02-08,5
2017-02-09,3
2017-02-10,3
2017-02-11,2
2017-02-12,2
2017-02-13,10
2017-02-14,5
2017-02-15,22
2017-02-16,8
2017-02-17,16
2017-02-18,6
2017-02-19,8
2017-02-20,13
2017-02-21,9
2017-02-22,6
2017-02-23,11
2017-02-24,9
2017-02-25,9
2017-02-26,7
2017-02-27,32
2017-02-28,17
2017-03-01,9
2017-03-02,20
2017-03-03,25
2017-03-04,12
2017-03-05,23
2017-03-06,20
2017-03-07,20
2017-03-08,20
2017-03-09,20
2017-03-10,32
2017-03-11,20
2017-03-12,20
2017-03-13,34
2017-03-14,20
2017-03-15,20
2017-03-16,20
2017-03-17,20
2017-03-18,26
2017-03-19,18
2017-03-20,10
2017-03-21,10
2017-03-22,7
2017-03-23,10
2017-03-24,8
2017-03-25,8
2017-03-26,15
2017-03-27,7
2017-03-28,10
2017-03-29,2
2017-03-30,3
2017-03-31,6
2017-04-01,1
2017-04-02,1
2017-04-03,2
2017-04-04,1
2017-04-05,1
2017-04-06,1
