contents,date
"씨네21에 소개 된 콩: 스컬 아일랜드 기사
http://www.cine21.com/news/view/?mag_id=86362 …pic.twitter.com/PXYum840bw",2017-02-06
[스컬 아일랜드 레인 오브 콩] 올란도 유니버셜 스튜디오에 에 업그레이든 된 킹콩 어트렉션입니다. http://blog.naver.com/artgihun/220928834295 …,2017-02-06
괴수영화 장르에도 희망은 있눈ㄴ가... (콩 스컬아일랜드 바라보며,2017-02-06
[블로그] <신 고질라> 3월 9일 국내 개봉 확정. 한국판 1차 포스터와 본편 스틸 12장도 보시라. 공교롭게도 이날 <콩: 스컬 아일랜드>도 개봉  한국 극장가에서 킹콩 대 고질라의 격돌이 벌어지게 됐다. http://atomicray.net/archives/6767  pic.twitter.com/E9hhpbDVm5,2017-02-07
....조던 감독이 일본간것도 놀라운데 콩: 스컬 아일랜드에 미야비가 카메오 출연했다고....RT>,2017-02-07
"""콩 : 스컬 아일랜드"" 일본 포스터. 일본 고전 특촬물 삘이 나고 좋네. pic.twitter.com/0ZMpvP5vC6",2017-02-07
"톰 히들스턴이 BBC의 그레이엄 노튼쇼에 콩:스컬 아일랜드 홍보차 출연한다고 합니다. 콩 관련 스케쥴이 시작이네요:)
http://www.bbc.co.uk/programmes/b08fp6yj …pic.twitter.com/9C5jX7935T",2017-02-07
이번에 새로 올라온 콩 스컬 아일랜드 일본판 포스터가 눈에 익은 스타일이다 했더니 카이다 유지 작품이었구나... pic.twitter.com/E0WD4nqNJ0,2017-02-07
"3/9 콩:스컬 아일랜드/파도가 지나간 자리
3/16 미녀와 야수
3/30 패왕별희
3월 미정
걸 온 더 트레인/공각기동대: 고스트 인 더 쉘/로건/프리즌/해빙",2017-02-07
신고질라 - 콩 스컬 아일랜드 둘 다 큰 상영관에서 상영하고 흥행도 시너지 효과 났으면...,2017-02-08
[맥스무비 - 영화정보] 콩: 스컬 아일랜드 http://m.maxmovie.com/movie/movie_info.asp?m_id=M000097753 …,2017-02-08
[콩 스컬아일랜드] 콩 스컬아일랜드 일본 복고풍 포스터입니다. http://blog.naver.com/artgihun/220930023189 …,2017-02-08
영화 콩 스컬아일랜드 재미 있을 것 같다. 예고편을 보니..,2017-02-08
콩: 스컬 아일랜드가 고질라랑 같은 세계관 설정인지 몰랐네; 점점 영화들이 스크린을 거대TV로 취급하며 통합세계관 설정을 내놓고 시즌1 시즌2 가는거 같은 느낌...,2017-02-08
콩: 스컬 아일랜드 (Kong: Skull Island) 새 포스터 1종 http://dlvr.it/NKtc2k pic.twitter.com/bWpWaD4LlI,2017-02-09
코지마 히데오가 올린 박찬욱 감독과 조던 복트-로버츠 감독 사진...이게 무슨 조합???했더니 아가씨 홍보차 박찬욱감독님 일본이였고.. 콩:스컬 아일랜드로 조던감독도 일본이였었지.....RT> pic.twitter.com/YikbQpSY6M,2017-02-09
"올해 봐야될 영화

1.아이덴티티23
2. 콩: 스컬아일랜드
3. 공각기동대
4.해빙
5.에일리언 커버넌트
6.캐리비안의 해적 : 죽은자는 말이없다
7.미이라
8.원더우
9.덩케르크
10. 혹성탈출: 종의 전쟁
11. 저스티스 리그",2017-02-09
콩: 스컬 아일랜드 http://oneringtrailers.com?m=100662oneringtrailers.com/?m=100662  http://youtu.be/ztBw9NzYDrU  • 국내: 2017-03-09,2017-02-10
[고질라 킹콩 신고질라]콩 스컬아일랜드와 고질라 2014 신고질라 2016의 신장 비교입니다. http://blog.naver.com/artgihun/220931886108 …,2017-02-10
<콩 스컬아일랜드> 조던 보그트-로버츠 감독 내한 시사회에 괴수의왕 블로그이웃분들과 빅몬스터카페분들을 초대합니다.(푸티지 상영화+ 기자회견) http://blog.naver.com/artgihun/220932492877 …,2017-02-10
"콩:스컬 아일랜드의 조던 복트-로버츠 감독이 15일날 내한하여 국내 취재진을 만난다고 합니다. 기자회견행사에서 콩:스컬 아일랜드의 클립영상을 최초공개한다고 하네요
http://entertain.naver.com/read?oid=109&aid=0003476910 … pic.twitter.com/mX931b6yZ9",2017-02-11
콩 스컬 아일랜드 감독님.. 일본갔다가 한국도 들리는가보네...헐...RT>,2017-02-11
"CGV페이스북에서 선공개 된 콩: 스컬 아일랜드 Reign 30초 예고편 
국내 2017년 3월 9일 개봉예정(2D 3D IMAX)
https://www.facebook.com/CJCGV/videos/vb.119682344771692/1470282729711640/ … pic.twitter.com/6uxTvEI2bF",2017-02-12
CGV 페이스북에 올라온 <콩: 스컬 아일랜드> 30초 예고편인데  아이맥스 3D 상영 예정임을 명시하고 있다. 이로써 <신 고질라>의 국내 아이맥스 상영은 불가능해질 듯. 뭐  이건 이것 대로 희소식이지만. https://www.facebook.com/CJCGV/videos/1470282729711640/ … pic.twitter.com/i1UGS0Lowz,2017-02-12
콩 스컬 아일랜드 굵고 짧은 예고편 http://dynamide.tistory.com/11455 ,2017-02-13
<콩: 스컬 아일랜드> 콩: 스컬 아일랜드 30초 예고편 _ cavalry http://tv.naver.com/v/1444050 ,2017-02-13
진화된 킹콩의 탄생  ‘콩: 스컬 아일랜드’ 메인 포스터 공개..3월 9일 개봉 / 브레이크뉴스  http://www.breaknews.com/492122  http://fb.me/1MEPCY9zF ,2017-02-13
