Date,Frequancy
2017-02-27,17
2017-02-28,19
2017-03-01,17
2017-03-02,7
2017-03-03,9
2017-03-04,10
2017-03-05,23
2017-03-06,37
2017-03-07,21
2017-03-08,13
2017-03-09,30
2017-03-10,35
2017-03-11,29
2017-03-12,35
2017-03-13,37
2017-03-14,46
2017-03-15,34
2017-03-16,33
2017-03-17,44
2017-03-18,52
2017-03-19,40
2017-03-20,35
2017-03-21,23
2017-03-22,37
2017-03-23,34
2017-03-24,36
2017-03-25,40
2017-03-26,53
2017-03-27,48
2017-03-28,39
2017-03-29,60
2017-03-30,38
2017-03-31,34
2017-04-01,40
2017-04-02,36
2017-04-03,36
2017-04-04,37
2017-04-05,31
2017-04-06,31
2017-04-07,27
2017-04-08,28
2017-04-09,12
2017-04-10,12
2017-04-11,17
2017-04-12,4
2017-04-13,5
2017-04-14,6
2017-04-15,8
2017-04-16,9
2017-04-17,7
2017-04-18,6
2017-04-19,7
2017-04-20,11
2017-04-21,3
2017-04-22,5
2017-04-23,3
2017-04-24,1
2017-04-25,2
2017-04-26,0
2017-04-27,5
