contents,date
중고등학생 여러분...  CGV에서 저거 또 해요 학생증 가져가면 6천원 매점 콤보 3천원 할인 저거로 3월에 한국에서 개봉하는 씽이 쿵푸요가 많이 보러갑시다 pic.twitter.com/dVpNaYiniL,2017-02-27
쿵푸요가 서울 단관 가치 가실분ㅠㅅㅠ,2017-02-27
개봉영화서치하다 쿵푸요가발견ㅜㅜ pic.twitter.com/j0i6JHFBQw,2017-02-27
쿵푸요가 꼭 볼거야,2017-02-27
나랑 쿵푸요가 국내개봉할때 보러갈 이쁘니 구함,2017-02-27
쿵푸요가 개벙이나 빨리해줘 돈은 준비됐어 pic.twitter.com/6b4j5jtywu,2017-02-27
빨리 쿵푸요가 개봉했으면 조켔당... 개봉하면 씽코니 데리구 보러가야진...ㅎㅎ pic.twitter.com/Uk5IlA99Ay,2017-02-27
쿵푸요가 빨리개봉해라 ....칭구들한테 영업하게..,2017-02-27
쿵푸요가 개봉 언제하냐 나그낭 기달리면서사는데 몇번보지 벌써 행복래,2017-02-27
그러니까 쿵푸요가 빨리 개봉해(?),2017-02-27
자 이제 오스카상 받은 성룡주연의 쿵푸요가 개봉일을 내놓아요,2017-02-27
쿵푸요가 부산 단관 고3만 아니였어요 총대 메고싶었을것가타... 하아ㅠㅜㅠㅜ 부산 단관 해주세여 즈에발,2017-02-27
아ㅜㅜ언능머꼬싶다 쿵푸요가개봉할때먹을꼬양 ㅜㅜㅜ,2017-02-27
헐 쿵푸요가 단관..!! 신청하고싶지만 혼자서는 외로워..8ㅅ8,2017-02-27
엑소 나온 영화들만 챙겨봅니다... 3월엔 쿵푸요가..,2017-02-27
쿵푸요가 단관 내다 진행하고싶을정도로 간절해요 ㅠㅠ 아무나 부산해주세요,2017-02-27
친하게 지내요~~ 저는 입덕 멤버도 최애도 장이씽입니당~~♡ 요즘 씽이 얼굴보기가 유성보기보다 어렵다는...ㅜㅜ 쿵푸요가 개봉일만 기다리고 있답니다♡,2017-02-27
"쿵푸요가 부산단관 수요조사
대관으로 진행해 볼 계획이며 개봉주 금요일 저녁으로 예상하고 있습니다. 그 외에 어떤것도 지금 정해진 바가 없어 먼저 주요조사 후 가능한 인원이 된다면 진행해볼 생각입니다. 꼭 가능한 분들만 마음을 체크해주세요~♡",2017-02-28
쿵푸요가 단관 가구싶따,2017-02-28
쿵푸요가 부산 단관 ㅎㅎㅎ,2017-02-28
헐 헐 쿵푸요가 단관하묜 가고싶댱 ㅠㅠ,2017-02-28
"나도 쿵푸요가 보고싶은데....
나 외
야자10시..",2017-02-28
아나도 쿵푸요가 단관가고싶다,2017-02-28
쿵푸요가 안산단관 없나여..?,2017-02-28
"신과함께
쿵푸요가
7호실",2017-02-28
헐 쿵푸요가 부산단관 ㅠㅠ 보고싶다ㅠㅠㅠ에리들이랑 보고싶어ㅠㅠㅠㅠ,2017-02-28
"싱가포르에서 쿵푸요가 상영을 합니다..
토요일에꼭볼거얏",2017-02-28
열어분 쿵푸요가 부산단관 수요조사 참여해주셔야 부산 단관열리니... 8ㅅ8 뽀뇨릠 수요조사 참여해주소서... 부산단관 기원합니다...,2017-02-28
"쿵푸요가 춘천 단관해주세요

춘천에는 해주실분이 없나려^ㅅㅠ

제가.....백명을 맹드러서라두 갈테니
부다 용기를 내시어 춘천 단관을 해주시옵소서!",2017-02-28
쿵푸요가....광주 단관하고픈데....흡....,2017-02-28
하루뒤에 3월이니깐 빨리 개봉해줘 쿵푸요가 개학하고 새학기스트레스 그걸로 날릴테니까 빨리 개봉만 해주셈,2017-02-28
아 갑자기 존나 행복해졌다 쿵푸요가 개봉일 별로 안남은거잖아,2017-02-28
내일이면 3월인데 쿵푸요가는 언제개봉해요ㅠㅡㅠ,2017-02-28
반배정도 망하고 엑소엘 친구도 없는 저란 불쌍한 사람과 쿵푸요가 개봉하면 같이 보러가 주실 천사님을 구해요.. 전 울산삽니다!!,2017-02-28
쿵푸요가 개봉하기 전에도 보잨ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 나 중고등학생 영화 6천원권 탐라에서 주음,2017-02-28
쿵푸요가 빨리 개봉 바람,2017-02-28
쿵푸요가 보러갈삶,2017-03-01
쿵푸요가 누구랑 보러가냐,2017-03-01
쿵푸요가 언제쯤 개봉...?,2017-03-01
그니까 일단 쿵푸요가 얼른 보고싶다ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,2017-03-01
3월인데 쿵푸요가는????,2017-03-01
대구 쿵푸요가 단관 평일 저녁 소취    인간적으로 학교 마치고 피곤에 찌든 후에는 장이씽 아니냐   ,2017-03-01
"쿵푸요가 진챠 미쳤어... 그저께 박스오피스 순위는 9위라서

""아 이제 슬슬 상영관에서 내려지겠구나.. 그래도 한달이면 오래 버틴 거지   ""

했는데 오늘 다시 7위로 상승함;;;; ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ pic.twitter.com/SL4nDQtDBR",2017-03-01
4명이란 쿵푸요가 보기로 약속했다! 출발이 조아!,2017-03-01
이번달은 아껴야지ㅜㅡㅜ 어서쿵푸요가개봉해ㅜㅜ,2017-03-01
그거그거쿵푸요가대관공지떳나,2017-03-01
쿵푸요가때 씽이 너무 예뻐서 보자마자 눈물 차오르겠지...(울컥,2017-03-01
빨리 쿵푸요가 한국개봉 ㅠㅠㅠ 얼렁 보고시퍼 ㅠ,2017-03-01
씽이 쿵푸요가 아직날짜 안잡힌거예여? 3월은 본것같은데 날짜는 못본것같아소,2017-03-01
으아아아아3월인데 쿵푸요가 아직 국내개봉 안했다니,2017-03-01
지닝님 단호하셔요...(쭈그려서운다 그로묜 젝아 쿵푸요가 춤을 배우게써요 어때여?! 기브앤테잌!!!,2017-03-01
3월인데 그래서 쿵푸요가 한국 개봉일 언제..?,2017-03-01
"여러분 쿵푸요가 꼭 보세요..
샤오광 제일예ㅣ뻐진짜",2017-03-01
쿵푸요가 나더 볼래...,2017-03-02
쿵푸요가 나오면 새로운애들하고 보러가야지 .ㅠㅠ,2017-03-02
하느님 제가 쿵푸요가를 볼수있을까요?,2017-03-02
3월인데 그래서 쿵푸요가 개봉 언제제죠,2017-03-02
오ㄴ니 언제바 쿵푸요가 언제개봉하지 (무룩,2017-03-02
쿵푸요가 봐주라.....,2017-03-02
당장 먹자고 하고싶지만....쿵푸요가 개봉하는날...? 언제해ㅐㅐㅐ,2017-03-02
쿵푸요가빨리보고싶은대  ,2017-03-03
쿵푸요가 서울 단관업러요..??,2017-03-03
집순이 3월 스케쥴 생겼당 쿵푸요가 보러가야징,2017-03-03
쿵푸요가 진주에서 해주라^^ 나 엄마데리고 보러가께,2017-03-03
헛 그때면 쿵푸요가인가요.,2017-03-03
씽이 쿵푸요가 언제나와 지금 3월인데..,2017-03-03
"3/8 콩:스컬 아일랜드/걸 온 더 트레인
3/16 미녀와 야수/스페이스 비트윈 어스/토니 에드만
3/22 아우토반/히든 피겨스
3/29 나는 사랑과 시간과 죽음을 만났다/패왕별희
3월미정 공각기동대: 고스트 인더쉘/쿵푸 요가/미스 슬로우",2017-03-03
아.... 저 담주 탭스 치시는줄 알았어요 ㅠㅅㅠ 헉..... 그러면 그담주면 쿵푸요가 개봉했을거 같아요,2017-03-03
그러고보니 3월 3월이나됐는데 쿵푸요가 아직 개봉 안했다니,2017-03-03
" ""쿵푸요가 단관""

https://twitter.com/i/moments/838014276392501249 …",2017-03-04
쿵푸요가 대박🖒 씽이도 대박🖒 pic.twitter.com/V2vitibaWC,2017-03-04
쿵푸요가 단관 같이갈사람,2017-03-04
벌써 3월 5일인데 쿵푸요가 보고싶다,2017-03-04
쿵푸요가 개봉일 나오면 이벵열까..?,2017-03-04
쿵푸요가 단관 ㅠㅠㅠㅠㅠㅠ꼭간다ㅠㅠㅠㅠㅠㅠ가고싶다ㅜㅜㅠㅠㅠㅠㅠ,2017-03-04
"쿵푸요가 단관 세훈이 생일 영상호 ㅣ전시회 

꼭ㄱ 갈걱",2017-03-04
이번달에 로건 해빙 눈길 쿵푸요가 봐야되네 새학기에 레슨 들어가서 개바쁜데...,2017-03-04
웨 울산 쿵푸요가 서치하면 두개밖에옶냐..흑흑 형도 그때 단관 무산돼서 슬푼데 쿵푸요가 단관 젭알..,2017-03-04
성룡형님 나오시는 쿵푸요가랑 3월중에개봉한다는 쿵푸요가랑 장이씽나오는 쿵푸요가도 있구.... 중국영화중에 쿵푸요가!! 그리고 그 엑소?인가 거기그룹에 레이라고 나오는 쿵푸요가 그리고 노구문에 나왔던 배우나오는 쿵푸요가!!,2017-03-04
안녕레이 오는 새럼 쿵푸요가 단관 가는 새럼,2017-03-05
쿵푸요가 단관 꼭 가야지!,2017-03-05
쿵푸요가 보러가자,2017-03-05
샤오광보거싶다쿵푸요가언제개봉하니...,2017-03-05
쿵푸요가 보고싶다 쿵푸요가....,2017-03-05
쿵푸요가 단관으로 볼거시다,2017-03-05
쿵푸요가 언제 개봉해,2017-03-05
쿵푸요가 3월개봉인데 언제...?,2017-03-05
쿵푸요가 단관 가고싶다ㅠㅠㅠㅠㅠㅠㅠㅠㅠ,2017-03-05
웨 울산은 쿵푸요가 단과옶냐 개우울행,2017-03-05
쿵푸요가 전주단관 있었으면좋겟다,2017-03-05
쿵푸요가 전주 단관도 있었쓰면........엉엉...,2017-03-05
대구에는 쿵푸요가 단관 머그런이벤트업스까   에리들이랑 가치 앓으면서 보고싶은딩,2017-03-05
쿵푸요가 부산단관 제발료 흦끅ㄱ흡끚ㅈㄱ끅,2017-03-05
쿵푸요가존나보고싶다 장잇싱 꼭 보러갈개ㅠㅠ,2017-03-05
우와 'ㅅ' 쿵푸요가 단관 공지 올라왔다! 날짜 나오면 뱅기 예약해야디 >▽<,2017-03-05
아님 쿵푸요가 단관가자 어때!,2017-03-05
쿵푸요가 대구단관 조사 하고있어요?,2017-03-05
"중국-인도 합작...이기는 한가? 
어쨌든 올 해 초  중국에 엄청난 흥행을 기록한 성룡 주연의 [쿵푸요가] 국내 포스터 공개 pic.twitter.com/psZeudMEtd",2017-03-05
쿵푸요가 단관 ㅠㅠㅠ엉엉 이거 한글자막 나오겠죠..?ㅠㅠㅠ,2017-03-05
흐ㄱ 쿵푸요가 얼른 개봉해죠라 우리 졈말 술 각,2017-03-05
ㅌㅋㅋㅋㅋ근데 쿵푸요가 언제 한국에서 개봉한다냐...,2017-03-05
"쿵푸요가 개봉일 언제나와.....
3월에 그거랑 슈탄일 이거 두개로
연명 할 사람인데 내가....",2017-03-05
쿵푸요가fighting 레이 pic.twitter.com/zyovwwLtX6,2017-03-06
"쿵푸요가 부산 단관공지
우선 개봉날짜가 확정이 되면 바로 입금공지를 들고오도록 하겠습니다. 날짜가 정해지지 않아서 인원확정이 어렵네요. 현재 참여의사를 밝혀주신 분들은 180분입니다. 꼭 이루어 지기를♡♡",2017-03-06
쿵푸요가 빨리갸봉해주세요,2017-03-06
엑소 레이 출연한 성룡 영화 ‘쿵푸요가’ 3월 개봉 (출처 : 스포츠동아 | 네이버 TV연예) http://naver.me/GfUWYd4T ,2017-03-06
쿵푸요가 포스터가.... pic.twitter.com/N2dAO8g1QD,2017-03-06
머야!!!!! 쿵푸요가!!!!!!!!!,2017-03-06
쿵푸요가 포스터 글씨체 누가 정한걸까,2017-03-06
<쿵푸요가> 성룡과 엑소 레이   전설의 만남! (출처 : MBC연예 | 네이버 TV연예) http://naver.me/5iAKrqIW ,2017-03-06
쿵푸요가 개봉일 내놔!!!(벽쾅,2017-03-06
쿵푸요가 언뎨 개봉하뎌?,2017-03-06
"쿵푸요가
언제 나올깡",2017-03-06
쿵푸요가 광주 단관은 안 하나 ㅠ,2017-03-06
쿵푸요가는 한국 개봉 확정이네.... 철도비호는요..... 철도비호오오오오,2017-03-06
쿵푸요가 글씨체가 좀 핑크팬더같앙,2017-03-06
쿵푸요가 나오면 같이 보러 가자 @suhoxnamul,2017-03-06
쿵푸요가 단관으로 보실 분 없나요ㅇㅅㅇ..,2017-03-06
아 쿵푸요가ㅠㅠㅠㅠㅠㅠㅠ꼭본다내가ㅠㅠㅠㅠㅠㅠ,2017-03-06
쿵푸요가 포스터 무슨 일이야.. 쟝이씽 어디갔어.. pic.twitter.com/RvWLCiYqz8,2017-03-06
영화는 당연히 개봉날이디!!!!! 쿵푸요가 올른개봉 ㅠㅜㅜㅜㅠㅜㅜㅜㅠㅠㅜㅜㅠㅠ,2017-03-06
그렇져ㅠㅡㅠ 아이 또또케 그런기ㄴ념으로 쿵푸요가 보러갈까??,2017-03-06
쿵푸요가 단관 가고싶다.....´ㅅ｀,2017-03-06
"170306

#세훈 인스타
jongwoooooo 인스타 #종인
예성님 트위터 & 웨이보 #찬열
엑소디움 일본 DVD 티저 영상 
#이씽 '쿵푸요가' 국내 포스터 공개 
smtown_sum 웨이보
Vyrl pic.twitter.com/i8u07y4bvA",2017-03-06
쿵푸요가 단체관람 = 쿵요단관 ㅋㅋ 요번에 씽이 성룡아찌랑 나오는거요ㅎㅎ,2017-03-06
"쿵푸요가 벌써부터 설렌당
씽이야ㅜㅜ 이쁜 우리 애기",2017-03-06
모고전날까지 쿵푸요가 개봉해라... 모고날 보러가게ㅠㅡㅜ,2017-03-06
근데 쿵푸요가 포스터 저 정도면 평타 아닌가 우리나라 포스터에 뭘 바라,2017-03-06
쿵푸요가 3월개봉이라며 왜 시지비 메박 롯시에서는 개봉예정작에도 보이지 않는건가,2017-03-06
그래~ 우리 쿵푸요가 볼때 만날수 있나??? 날짜가 나와야 알수 있겠구나 ㅠㅠㅠㅠ 같이 볼수 있음 좋겠다,2017-03-06
"엑소 레이 출연한 성룡 영화 ‘쿵푸요가’ 3월 개봉 (출처 : 스포츠동아 | 네이버 TV연예) http://naver.me/GfUWYd4T 

이씽아 샤오광pic.twitter.com/cn9kgMsj2P",2017-03-06
쿵푸요가 한국포스터 보니 개봉하는게 실감난다큰 스크린으로 씽이 볼 날이 별로 안남았다,2017-03-06
쿵푸요가 언ㅇ능 개봉했음 좋겠다ㅠㅜ씽아ㅠㅜㅠㅠ큐큨큐ㅠㅜㅜ,2017-03-06
쿵푸요가 어서~~~ ,2017-03-06
헛 ㅛㅣ밯 ㅠㅜㅜㅜㅜㅜㅜ 쿵푸요가ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,2017-03-06
오마이갓… 쿵푸요가 포스터 정말 당신들 이럴거야??? ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,2017-03-06
"쿵푸요가 한국 포스터 티저 공개됐다!! 곧 개봉날짜도 뜨겠네~~~! 꺄~!

 http://enews.imbc.com/News/RetrieveNewsInfo/200428 …",2017-03-06
"영원한 '따거' 액션 마스터 성룡!
아카데미 평생 공로상 수상기념 특별 포스터 공개!

#성룡 X #EXO #레이 레전드급 만남
더욱 화려하게 돌아온 #쿵푸요가 3월 대개봉!",2017-03-06
"쿵푸요가 샤오광이랑
아단테 시경이 빨리 보고 싶돵",2017-03-06
님들 쿵푸요가 대관갈까 배레모살까..,2017-03-07
성룡 주연  중국-인도 합작 #쿵푸요가 포스터 http://buff.ly/2lX0l6v pic.twitter.com/IFqnRHm3n2,2017-03-07
제목이 너무 웃겨 쿵푸요가 라닠ㅋㅋㅋ,2017-03-07
쿵푸요가 인천 단관 있음 좋겠당 (없음,2017-03-07
"로건이랑 미녀와 야수. 
쿵푸요가!",2017-03-07
"성룡  아카데미 평생 공로상 수상! <쿵푸 요가> 티저 포스터 & 특별 포스터 대공개!

http://naver.me/xBqczQej ",2017-03-07
"쿵푸요가 감독님이 씽이 언급하셨어!!
어느날 감독님이 씽이 데리고 두바이 공주님 집에 갔는데 피아노가 있어서 쳐보라고 권유하심.씽이가 피아노 치고 노래도 부름. 너무 잘해서 공주님이 딸 불러오고 씽이보고 자기 딸 피아노 치는 거 가르쳐달라고 하셨다고 pic.twitter.com/i84RzjbA0u",2017-03-07
쿵푸요가 언제 개봉하려나..,2017-03-07
쿵푸요가 단관 진행하면 신청 하실분 있나요??????????? 지역은 광주광역시,2017-03-07
쿵푸요가 얼른 개봉해조세요!!,2017-03-07
하ㅜㅜ 쿵푸요가 볼때도 가고ㅜ,2017-03-07
"#성룡 X #EXO #레이 스펙터클 리얼 케미 폭발!
액션 매니아라면 필람각! 따거의 짜릿한 액션!

아카데미 수상 기념 '재기발랄 스페셜 포스터' 공개!
#쿵푸요가 3월 대개봉\ http://fb.me/UHsXBpgg ",2017-03-07
