Date,Frequancy
2016-05-23,9
2016-05-24,8
2016-05-25,11
2016-05-26,17
2016-05-27,20
2016-05-28,3
2016-05-29,8
2016-05-30,14
2016-05-31,14
2016-06-01,15
2016-06-02,11
2016-06-03,9
2016-06-04,6
2016-06-05,8
2016-06-06,10
2016-06-07,26
2016-06-08,32
2016-06-09,32
2016-06-10,21
2016-06-11,15
2016-06-12,19
2016-06-13,9
2016-06-14,17
2016-06-15,29
2016-06-16,14
2016-06-17,8
2016-06-18,12
2016-06-19,21
2016-06-20,16
2016-06-21,19
2016-06-22,29
2016-06-23,33
2016-06-24,25
2016-06-25,30
2016-06-26,22
2016-06-27,21
2016-06-28,17
2016-06-29,6
2016-06-30,10
2016-07-01,27
2016-07-02,10
2016-07-03,13
2016-07-04,12
2016-07-05,23
2016-07-06,16
2016-07-07,12
2016-07-08,17
2016-07-09,13
2016-07-10,19
2016-07-11,16
2016-07-12,20
2016-07-13,19
2016-07-14,13
2016-07-15,10
2016-07-16,10
2016-07-17,14
2016-07-18,8
2016-07-19,12
2016-07-20,15
2016-07-21,11
