contents,date
크리미널 마인드 보면 남성인 살인자들 보면 발기부전이라 칼을 지 좆으로 생각한다고 하던데 딱 그짝 ㅇㅅㅇ,2016-05-23
"-[영화] 크리미널 (05월 26일 까지)
참여하기 > 영화보고나서 ( http://evnt.ga/1977  )",2016-05-23
부산가서 왠지 절대요격워즈만 열심히 하고왔는데; 이번주중에 끝낼 수 있겠다. 그 다음에 비타게임은 크리미널걸즈2 한글판 깨야지,2016-05-23
[케이블·위성 하이라이트]2016년 5월 24일: ■ 외화드라마 ■ 크리미널 마인드: 국제범죄수사팀(AXN 오후 10시55분) = 11화. 로드리고는 어머니의 유언에 따라 쿠바를 방문하던 중 술집... http://bit.ly/1Rk1vQD ,2016-05-23
지금 크리미널 걸즈 자신의 페르소나를 얻으려고 하는 중...,2016-05-23
크리미널 걸즈2입니다 한글 정발 된 게임이예요. 어 음 조금 어 .. 음 h해요... 어... 사실 이거 밖에서 하면 경찰서에 잡혀가니 조심하세요ㅋㅋㅋㅋ pic.twitter.com/avNJ3ADMGl,2016-05-23
"＊

깨물고 삼키고 녹이고
뱉고선 다시 날 괴롭히지 (Oh)
Evil  Evil 마치 크리미널 In my mind
Evil  Evil 마치 터미네이터 온 듯한
Evil  이 밤을 견딜 수 가 있을까
Evil  Evil 너무 잔인한 이 꿈을 놔",2016-05-23
"다음달에살 대략적인 비타타이틀 적어봄

마법소녀 마도카 마기카 배틀 펜타그램(미정발)

오딘스피어

밤이 없는 나라

크리미널 걸즈 1 2

에스카로지 아틀리에

일단 이정도??",2016-05-23
"전 절대요격워즈 하다가 세번 오류로 종료되서 김이 팍 식....
요즘 전 크리미널걸즈2 하는데 1보다 어려운 기분이 드네요... 레벨 노가다중....;;",2016-05-23
크리미널걸즈2 스이가 너무 귀엽다,2016-05-24
데드풀 원더우먼 총 출동!! <크리미널> 시사회 200석 초대 (5/31) (출처 : 네이버 영화 카페 : 네영카 | 네이버 카페) http://me2.do/GNAfoovX ,2016-05-24
"잭 게럿님과 전화통화중인데도 그냥 화보네요. 
<크리미널 마인드: 국제범죄수사팀> 쿠바로 향합니다.
시몬스 요원님의 모터바이크 운전실력 (y) #CMBB
오늘 밤 10시 50분 방송 입니다 :) http://fb.me/2G8T0iXpa ",2016-05-24
"크리미널 마인드  CSI 모든 시리즈  덱스터  성범죄 전담반  미디엄 등의 전 시리즈중 안본걸 찾는게 더 빠른 사람으로써

우리나라 수사 드라마 ""싸인""을 10분 이상 보려니 힘들다 ㅠㅠ

부검실에서 의사들끼리 인사하는데 1분 걸리는건 좀 아니짘ㅋㅋ",2016-05-24
지난 주 연속 방송을 하긴 하였지만 11화가 너무 늦은시간에 하여 오늘 밤 10시 50분 <크리미널 마인드: 국제범죄수사팀> 쿠바편을 확인하실 수 있습니다 :)) #CMBB pic.twitter.com/Y4nPA5uN8E,2016-05-24
"＊

깨물고 삼키고 녹이고
뱉고선 다시 날 괴롭히지 (Oh)
Evil  Evil 마치 크리미널 In my mind
Evil  Evil 마치 터미네이터 온 듯한
Evil  이 밤을 견딜 수 가 있을까
Evil  Evil 너무 잔인한 이 꿈을 놔",2016-05-24
"다음달 살거 다시정리

마법소녀 마도카 마기카 배틀 펜타그램(비정발)

오딘스피어

크리미널걸즈1 2

기동전사 건담 익스트림 버서스

밤이 없는 나라

에스카 로지의 아틀리에",2016-05-24
크리미널걸즈2 열심히 하고 있다구욧! 이번에 피규어 하나 사는데 그냥 주문하기 뭐해서 게임 뭐 얹을까 심히 고민하고 있습니다.,2016-05-24
오딘스피어랑 크리미널 걸즈랑 파판메인 빨리 꺠야되는데 (고급시계를켜며,2016-05-25
"-[영화] 크리미널 (05월 26일 까지)
참여하기 > 무비패밀리 ( http://evnt.ga/1999  )",2016-05-25
"프로파일러를 알고 싶으면 
크리미널 마인드를 보라 
그들이 어떻게 범인한테 
접근하는지를.
저분은 참독특한거같음 
저런상황에서도 안모지지자라니..",2016-05-25
근데말야. 그런 놈이 범인이면  완전 크리미널한 문제 아니냐?,2016-05-25
최근에 게임 켜자마자 세이버 성우 목소리가 똻 나와서 게임할맛이 120%난 알피지가 2개 있었는데 크리미널 걸즈 2 끝내면 그거나 하자,2016-05-25
어젯밤 크리미널 걸즈 2 후반부 플레이 감상 : 이거 심의한 사람들 후반부까지 해보고 허가한 거겠지? 핰,2016-05-25
도저히 크리미널 걸즈2를 출근길에서 플레이할순 없으니..,2016-05-25
같이 쓰고싶은데 이번달 오버워치랑 크리미널 지르고나니 생활비도 없어서 완전 위험함,2016-05-25
"＊

깨물고 삼키고 녹이고
뱉고선 다시 날 괴롭히지 (Oh)
Evil  Evil 마치 크리미널 In my mind
Evil  Evil 마치 터미네이터 온 듯한
Evil  이 밤을 견딜 수 가 있을까
Evil  Evil 너무 잔인한 이 꿈을 놔",2016-05-25
예전에 며칠동안 크리미널 마인드를 몰아서 보고 집 밖을 나가니 후드를 쓴 남자만 보면 저 남자가 느닷없이 나를 공격하는 건 아닌가 하며 슬금슬금 피하게 되던 적이 있었다. 그런데 이젠 후드를 안써도 길에 다니는 모든 남자를 걱정해야 할 것 같다.,2016-05-25
"-[영화] 크리미널 (05월 26일 까지)
참여하기 > 인터파크 티켓 ( http://evnt.ga/1979  )",2016-05-25
크리미널 마인드(Criminal Minds) 시즌11 14화 포토 http://anzu_k.blog.me/220658063384 ,2016-05-26
파판 고급시계 크리미널(비타) 오딘스피어(플4)중 뭐할까요,2016-05-26
'크리미널'  25년 만에 뭉친 할리우드 명품 배우들 http://ow.ly/FZrx300Bjiz ,2016-05-26
미국의 범죄수사드라마 크리미널 마인드는 주로 연쇄살인범 사건에 초점을 맞추는데 주인공이자 프로파일러인 FBI 수사관들이 범인을 다룰 때 그들의 자기과시나 공명심 등을 자극하지 않도록 별명을 지어주지 않도록 하고 언론보도도 가해자가 아닌 피해자에게 맞추,2016-05-26
크리미널 마인드 시즌11 21화 :: http://tvkira.com -실시간TV  드라마다시보기 무료영화 미드 애니 예능다시보기 음악  티비키라 http://fb.me/54kcUuj3d ,2016-05-26
근데말야. 그런 놈이 범인이면  완전 크리미널한 문제 아니냐?,2016-05-26
모두가 오버워치와 용과 같이 를 하고 있을 때  나는 혼자 크리미널 걸즈 노가다를 하고 있다 pic.twitter.com/V6Uz5VynKT,2016-05-26
"6/1 아가씨/미 비포 유
6/9 워크래프트:전쟁의 서막(IMAX 3D)/정글북(IMAX 3D)/컨저링2/행복까지30일
6/16 특별수사: 사형수의 편지/서프러제트/크리미널
6/30 레전드 오브 타잔
6월 미정 사냥/인디펜던스 데이: 리써전스",2016-05-26
크리미널 개별엔딩 하나 봤으니까 이제 노가다로 나머지 개별엔딩이랑 추가루트 빨리 들가야지...,2016-05-26
"나이오비 레어 목- 크리미널 피버
[criminal]
adj- 1. 범죄의  범죄에 관한  형사의
2. 범죄적인  범죄를 구성하는  죄를 범하고 있는
n- 1. 범죄자  범인  죄인",2016-05-26
"＊

깨물고 삼키고 녹이고
뱉고선 다시 날 괴롭히지 (Oh)
Evil  Evil 마치 크리미널 In my mind
Evil  Evil 마치 터미네이터 온 듯한
Evil  이 밤을 견딜 수 가 있을까
Evil  Evil 너무 잔인한 이 꿈을 놔",2016-05-26
조금 덧붙이자면  심리학 중에서도 프로파일링은 범죄 심리학과 관련이 있으며  지시자가 사는 한국에서는 따로 프로파일러를 뽑지 않고 있네. 효과적으로 운용되지 못하기 때문일세. 관심이 있다면 미국 드라마인 크리미널 마인드를 보는 것도 좋겠지.,2016-05-26
아 아니 지금 생각하니 스무스 크리미널이군요(죤 진짜 넘 좋아요 투 첼로스도 미친거 같고ㅠㅠㅠㅠㅠ,2016-05-26
ㅠㅠㅠㅠㅠㅠㅠㅠ저 그 세바스티앙이랑 부르는 크림슨 크리미널 넘 좋아요..,2016-05-26
"미드 크리미널 마인드에서 리드가 말한다. ""마치 조현병이 있는 걸 살인을 할 수 있는 계기라고 몰아가지 마세요. 정리 정돈이 어렵고  말할 때 말의 배열이 혼란스럽다고 해서 사람을 마구 찔러 죽인다는 건 아니에요.""  하지만 이래도 이해못하겠디..",2016-05-26
모범적으로 대처하기도 한다. 한국의 범죄수사물에서는 이런 거 본 적이 없는 듯. 크리미널 마인드도 시청률에 목숨 건 드라마인지라 때때로 뻘짓도 하고 엉뚱한 스토리가 나오기도 하지만 전반적으로 시청자들에게 범죄를 다루는 방식에 대해 상당히 교육적이란,2016-05-26
크리미널 마인드 시즌11 21화,2016-05-26
&lt;크리미널&gt; 시사회 이벤트 : http://dvdprime.donga.com/g5/bbs/board.php?bo_table=dpevent&wr_id=23901 …,2016-05-27
영화 <크리미널> 시사회 당첨자 발표 http://fb.me/2u7Ldj8Ng ,2016-05-27
데드풀 원더우먼 총 출동!! <크리미널> 시사회 200석 초대 (5/31) (출처 : 네이버 영화 카페 : 네영카 | 네이버 카페) http://me2.do/GNAfoovX ,2016-05-27
Movie Diary: [크리미널]_메인예고편 http://skkljk.blogspot.com/2016/05/blog-post_26.html?spref=tw …,2016-05-27
"http://babosarang.co.kr/event/promotion.php?event_code=63806 … 
 더워서 스트레스? 시원하게 극뽀옥~ 영화 <크리미널> 시사회 100장 쏩니다!",2016-05-27
오랜만에 크리미널 마인드 볼까 가르시아가 보고싶어졌다,2016-05-27
"#페어아이 #이벤트 #박람회 #축제 #전시회 #네이버영화 #크리미널 #액션영화 #시사회

[네이버영화] 크리미널
http://pair-i.com/event/846 
이벤트 응모는 해당사이트에서 참여해주세요:D pic.twitter.com/uOK9KvPn9l",2016-05-27
"크리미널 마인드 ""겁 안 내는 여자는 상대 못 하는 거야?"" 이 장면에서 언니!!! 하고 무릎 꿇음 남자 암 말도 못 함ㅋㅋㅋ언니이이!!! pic.twitter.com/LjgAAYaNrA",2016-05-27
"크리미널 마인드 ""사회 최고 약자인 여자와 어린이를 노리는 놈이지"" <겁쟁이래요~ pic.twitter.com/sKxcxkRuGo",2016-05-27
"크리미널걸즈2는 스이만 믿고 가면 됩니다.
물론 캐릭성능은 믿지 마시고(...) 애정으로 키우면 됩니다.",2016-05-27
#크리미널 전국 시사회 이벤트 소식~ http://ch209.tistory.com/458 ,2016-05-27
근데말야. 그런 놈이 범인이면  완전 크리미널한 문제 아니냐?,2016-05-27
#좋아하는_여성캐릭터 드라마 버전만 따로 할 수도 있음이다... 크리미널 마인드에서 고져스와 스윗니스를 담당하고 있는 페넬로피 pic.twitter.com/AdckcVdZxt,2016-05-27
크리미널 마인드 재밌어요....(스륵,2016-05-27
ㅎㅎㅎ 크리미널 마인드 해준데서 기다리고 있어요 ㅋㅋㅋㅋㅋ,2016-05-27
"＊

깨물고 삼키고 녹이고
뱉고선 다시 날 괴롭히지 (Oh)
Evil  Evil 마치 크리미널 In my mind
Evil  Evil 마치 터미네이터 온 듯한
Evil  이 밤을 견딜 수 가 있을까
Evil  Evil 너무 잔인한 이 꿈을 놔",2016-05-27
그리고 크리미널 마인드의 제이제이를 아주 좋아합니다 미임파의 일사도 좋았어요,2016-05-27
크항~!!! 역시 아시는군요 ㅎㅎ 저는 크리미널에서 리드랑 하치  CSI에서 에이치랑 그리섬 그리고 알렉스!  NCIS에서 깁스랑 에비 좋아합니다 ㅎㅎ 아 스콜피온도 재밌을뻔했는데 좀 아쉬워요 ㅎㅎ 그림형제랑 슈네도 좋음!,2016-05-27
<크리미널> 시사회 당첨자 발표 http://fb.me/5eGPgJxph ,2016-05-27
&lt;크리미널&gt; 시사회 이벤트 : http://dvdprime.donga.com/g5/bbs/board.php?bo_table=dpevent&wr_id=23901 …,2016-05-27
"＊

깨물고 삼키고 녹이고
뱉고선 다시 날 괴롭히지 (Oh)
Evil  Evil 마치 크리미널 In my mind
Evil  Evil 마치 터미네이터 온 듯한
Evil  이 밤을 견딜 수 가 있을까
Evil  Evil 너무 잔인한 이 꿈을 놔",2016-05-28
최근엔 둠이랑 크리미널 걸즈 하고 있어서 아마 3회차 중반이였나 거기서 멈췄을거애요,2016-05-28
어제 자기전에 받아두기만하고 시간이 없어서 못하고 있던 크리미널걸즈2도 한시간정도했는데... 세이브를 안해둔 덕에 초반에만난 보스급 몬스터에 전멸하고 처음부터 다시시작해야할판 ㅋㅋㅋㅋㅋ,2016-05-28
[크리미널] 크리미널 시사회에 괴수의왕 블로그 이웃분들을 초대합니다. 데드풀과 원더우먼의 만남으로 화제인 영화입니다. http://blog.naver.com/artgihun/220722085933 …,2016-05-29
&lt;크리미널&gt; 시사회 이벤트 : http://dvdprime.donga.com/g5/bbs/board.php?bo_table=dpevent&wr_id=23901 …,2016-05-29
아 미친 크리미널2 추가엔딩도 캐릭별로 있는거였냨ㅋㅋㅋㅋ 보스전이 안끝낰ㅋㅋㅋ,2016-05-29
근데말야. 그런 놈이 범인이면  완전 크리미널한 문제 아니냐?,2016-05-29
feat. 방금 아캄탈출한 사이코틱 크리미널,2016-05-29
오늘 크리미널 걸즈에서 많이 체벌했다,2016-05-29
이블!!!!이블마치 크리미널!!!!인마맘!!!!,2016-05-29
"＊

깨물고 삼키고 녹이고
뱉고선 다시 날 괴롭히지 (Oh)
Evil  Evil 마치 크리미널 In my mind
Evil  Evil 마치 터미네이터 온 듯한
Evil  이 밤을 견딜 수 가 있을까
Evil  Evil 너무 잔인한 이 꿈을 놔",2016-05-29
헉ㄱ 이때야말로 영업할때 아닌가 여러분 엑스맨의 퀵실버를 연기하신 에반 피터스 배우분이 크리미널 마인드 시즌 5에 나온답니다 천천히 1화부터 보시면서 찾으시면....(블락당함,2016-05-30
여러ㅓ분 크리미널 마인드를 봅시다~~~~~!,2016-05-30
[기타] 크리미널 걸즈2 SD버전 PSV 테마 발매예정  http://ift.tt/25spIOq ,2016-05-30
한국어판 RPG ‘크리미널 걸즈2’의 SD 버전 커스텀 테마 공개 유료 판매 예정  구매자 설문참여 하면 무료! < 예판정보공유 < 예판넷 http://fb.me/2fwQ4lZbj ,2016-05-30
"크리미널 걸즈2  SD 버전 커스텀 테마 공개 http://ruliweb.daum.net/news/view/81919.daum …

으아 테마 귀여어어어어",2016-05-30
시험기간에 내가 100퍼 하는짓:크리미널 마인드 정주행,2016-05-30
"쫌 자랑스럽다 

안녕 
고마웠어 
행복했어 
재밌었어 
즐거웠어

크리미널 마인드와 캐슬  엘리멘트리로 그나마 위안 
흑흑",2016-05-30
"＊

깨물고 삼키고 녹이고
뱉고선 다시 날 괴롭히지 (Oh)
Evil  Evil 마치 크리미널 In my mind
Evil  Evil 마치 터미네이터 온 듯한
Evil  이 밤을 견딜 수 가 있을까
Evil  Evil 너무 잔인한 이 꿈을 놔",2016-05-30
조금 덧붙이자면  심리학 중에서도 프로파일링은 범죄 심리학과 관련이 있으며  지시자가 사는 한국에서는 따로 프로파일러를 뽑지 않고 있네. 효과적으로 운용되지 못하기 때문일세. 관심이 있다면 미국 드라마인 크리미널 마인드를 보는 것도 좋겠지.,2016-05-30
안녕하세요 크리미널베이비님! 제가 메일이 안 와서 그런데 괜찮으시다면 다시 보내주실 수 있으신가요?,2016-05-30
"그나마 보이는 것
요마와리
크리미널 걸즈2
마괴신 트릴리온",2016-05-30
타이틀보고있는대 요즘들어 빨간딱지게임을 위주로본다는...... (요번살것중하나가 바로 크리미널걸즈... (18세 빨간딱지답게 지인한태물어보니 장르가 감옥체벌RPG..),2016-05-30
"크리미널 걸즈2 SD버전 PSV 테마 발매예정  | 루리웹 http://m.bbs2.ruliweb.daum.net/gaia/do/mobile/ruliweb/default/etc/117/read?articleId=2082849&bbsId=G003&itemGroupId=34&pageIndex=1 …

크걸ㄷㄷ",2016-05-30
"[인트라게임즈] 크리미널 걸즈2 한글판  SD 버전 커스텀 테마 공개
http://goo.gl/L6anez pic.twitter.com/uR5uBvE2qH",2016-05-30
<크리미널> 재밌네 ㅋㅋㅋㅋㅋ,2016-05-31
집이닷! 크리미널걸즈2 올클리어닷!!!,2016-05-31
크리미널 걸즈2 SD 버전 커스텀 테마 공개: 니폰이치의 PSV전용 소녀체벌RPG 크리미널 걸즈2의 새로운 커스텀 테마가 공개 되었습니다. 특전이었던 테마와는 달리 얌전한 일... http://bit.ly/1OZM68e  instantlift,2016-05-31
"사건을 해결하기 위해 몸을 사리지 않는다!
<크리미널 마인드: 국제범죄 수사팀> 오늘 밤 12-13화 연속방송!
10시 50분부터 마지막 두 편의 스릴감을 놓치지 마세요! http://fb.me/4prbUl6Lh ",2016-05-31
크리미널 마인드 국제범죄수사대는 프로파일러들의 활약보다는 그냥 액션드라마를 보여주고 싶어하는 것 같은데 왜째서 크리미널 마인드의 스핀오프인 것인가…는 어쩌면 지엽적인 궁금증. 실종자 찾는다며 크로싱라인보다 재미가 없으면 어쩌자는 거야.,2016-05-31
[공지] 오늘 <크리미널 마인드: 국제범죄수사팀> 12-13화 연속방송합니다! 10시 50분부터 본방송!!! #CMBB,2016-05-31
크리미널 마인드 비욘드보더스 꾸역꾸역 시즌1 정주행했다...와 재미없어ㅠ 수사무루미드중 재미없기로는 으뜸일듯ㅠ,2016-05-31
"&lt;크리미널&gt; 시사회 이벤트 : http://dvdprime.donga.com/g5/bbs/board.php?bo_table=dpevent&wr_id=23901 …
소재도 액션도 출연진도 모두 기대작!",2016-05-31
파판도 들가고 오딘스피어도 깨야되는데 이놈의 시계가... 크리미널은 이제 엔딩 몇 개 안남았고...,2016-05-31
