Date,Frequency
2015-08-25,17
2015-08-26,19
2015-08-27,14
2015-08-28,5
2015-08-29,16
2015-08-30,12
2015-08-31,17
2015-09-01,19
2015-09-02,21
2015-09-03,16
2015-09-04,13
2015-09-05,19
2015-09-06,17
2015-09-07,17
2015-09-08,21
2015-09-09,37
2015-09-10,30
2015-09-11,25
2015-09-12,23
2015-09-13,19
2015-09-14,20
2015-09-15,29
2015-09-16,35
2015-09-17,25
2015-09-18,29
2015-09-19,20
2015-09-20,27
2015-09-21,34
2015-09-22,35
2015-09-23,32
2015-09-24,32
2015-09-25,47
2015-09-26,34
2015-09-27,33
2015-09-28,42
2015-09-29,54
2015-09-30,35
2015-10-01,29
2015-10-02,23
2015-10-03,38
2015-10-04,29
2015-10-05,31
2015-10-06,15
2015-10-07,28
2015-10-08,25
2015-10-09,19
2015-10-10,17
2015-10-11,21
2015-10-12,21
2015-10-13,15
2015-10-14,15
2015-10-15,10
2015-10-16,8
2015-10-17,14
2015-10-18,17
2015-10-19,8
2015-10-20,12
2015-10-21,10
2015-10-22,9
2015-10-23,7
