contents,date
미남스타  망가짐의 미학  성공적! ‘미쓰 와이프’ 송승헌  ‘탐정: 더 비기닝’ 권상우 http://m.viva100.com/view.php?key=20150826010005313 …,2015-08-25
<탐정 : 더 비기닝> 제작보고회 후기 - 권상우  성동일  김정훈 감독 http://me2.do/F5xF2r9c ,2015-08-25
‘탐정: 더 비기닝’ 성동일-권상우  남남 케미 폭발한 화보컷 공개: ▲ 영화탐정: 더 비기닝(감독 김정훈)성동일과 권상우의 패션 잡지 엘르 9월호 화보컷.(뉴스컬처)     © 사진=CJ엔터테인먼... http://bit.ly/1V6jmzd ,2015-08-25
［포토］탐정: 더 비기닝의 커팅식 (제작보고회) / 브레이크뉴스  http://www.breaknews.com/sub_read.html?uid=389618 …,2015-08-25
듣고 보면 더 재밌다 | <탐정: 더 비기닝> 권상우&성동일 이런 추리 콤비 또 없습니다 http://m.maxmovie.com/news/news_view.asp?MI_ID=MI0101005444 … :),2015-08-25
<탐정: 더 비기닝> 권상우  성동일의 패션 화보 http://buff.ly/1KJlGER pic.twitter.com/bpu0cSd3Q9,2015-08-25
아이ㅡ 생각나버렸어..최서꾸..부들... 저리가..그냥 나제싸못보게하는 휘를  더좋아하겠어..탐정에는 몇분나오니..,2015-08-25
"‘탐정 : 더 비기닝’ 권상우-성동일  카리스마 넘치는 두 남자의 변신…‘멋있어’ http://bit.ly/1hDvLMG  #탐정더비기닝 #권상우 #성동일

권상우의 코믹 귀환  성동일의 카리스마 …pic.twitter.com/nd0PCTrFQy",2015-08-25
잠을 이루지 못하는 탐정의 오전 4시. 아까의 옅은 미소  그건 대체 무슨 의미였을까? 왠지 모르게  다른 사건때보다 훨씬 더 가슴이 두근거렸다.,2015-08-25
이성친구 생기셨어요? 갈수록 외모에 신경 쓰시는 것 같은데... 착각이 아닌 것 같은데요? 아니에요? 자꾸 아니라고만 하지 말고 전보다 더 예쁘고 멋있어졌다는 칭찬으로 들어주시면 안 돼요? 왜 자꾸 아니라고 하시지? 메이 탐정 눈에 수상하게. 흠...,2015-08-25
"#셀피 의 달인 #권상우 x #성동일 
두 배우의 <#탐정:더 비기닝>
제작보고회 비하인드 포토!

#추석엔_탐정 #9월24일대개봉pic.twitter.com/dlVIEyzilR",2015-08-25
버버리 테일러링과 헤리티지 트렌치코트를 입고 영화 '탐정 : 더 비기닝' 제작보고회에 참석한 배우 권상우 pic.twitter.com/imqV118hgE,2015-08-25
[S영상] 영화 '탐정: 더 비기닝' 제작보고회 - 권상우  성동일 '포토타임' https://youtu.be/Tk7HwA_4uzg  @YouTubeさんから,2015-08-25
"""@CJEnMMovie: #셀피 의 달인 #권상우 x #성동일 
두 배우의 <#탐정:더 비기닝>
제작보고회 비하인드 포토!

#추석엔_탐정 #9월24일대개봉 pic.twitter.com/NpWw2XZpB8""",2015-08-25
듣고 보면 더 재밌다 | <탐정: 더 비기닝> 권상우&성동일 이런 추리 콤비 또 없습니다 http://m.maxmovie.com/news/news_view.asp?MI_ID=MI0101005444 … 재미있을까?,2015-08-25
듣고 보면 더 재밌다 | <탐정: 더 비기닝> 권상우&성동일 이런 추리 콤비 또 없습니다 http://m.maxmovie.com/news/news_view.asp?MI_ID=MI0101005444 … 성동일 삼촌 연기 기대합니다^^,2015-08-25
듣고 보면 더 재밌다 | <탐정: 더 비기닝> 권상우&성동일 이런 추리 콤비 또 없습니다 http://m.maxmovie.com/news/news_view.asp?MI_ID=MI0101005444 … 아아,2015-08-25
'탐정: 더 비기닝' 티저 예고편 https://youtu.be/GB_qv-t0hmo  @YouTube 님이 공유,2015-08-26
<탐정 : 더 비기닝> 캐릭터 영상 http://tvcast.naver.com/v/504700 ,2015-08-26
"보고싶은(그릴) 긴타카 AU

사진사 X 피팅모델
개인교사 X 부잣집 고명아들
자문 탐정 X 범죄 조직 브레인
부상당한 반수 X 그걸 치료해준 소년
작가 X 스폰서
스폰서 X 모델
엔미긴 X 양이전쟁 총독스기

더있는데 생각이 안남ㅠ..",2015-08-26
‘탐정: 더 비기닝’ 브로맨스 대열 합류…성동일&#8231;권상우 찰떡궁합 http://www.whitepaper.co.kr/news/articleView.html?idxno=45581 …,2015-08-26
[ZEN포커스] '탐정: 더 비기닝' 제작보고회 '베테랑도 질려버린 5m 수중액션'   http://www.emn.kr/news/tb.php/movie/2278 …,2015-08-26
<탐정: 더 비기닝> 대한민국은 콤비가 대세  권상우–성동일부터 예능 신흥 콤비들까지! http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00012&news_seq_no=2513850 …,2015-08-26
"<탐정: 더 비기닝> 제작보고회  

권상우 “촬영장 친밀감 최고. 촬영 끝나는 게 싫었다”

성동일 “ 수중 5m 액션신  이렇게 힘들게 돈 벌어 본 건 처음”

http://blog.naver.com/cinemaplus/220462381390 … pic.twitter.com/jANlX3bluj",2015-08-26
'탐정: 더 비기닝' 추리 아카데미 오픈 축하 영상 https://youtu.be/b5vL4klFVjo  @YouTube,2015-08-26
탐정 : 더 비기닝 동영상 :: 네이버영화 (출처 : 네이버 영화) http://me2.do/FwySHIdA ,2015-08-26
한국영화 <탐정 : 더 비기닝> 캐릭터 소개 영상. 클리셰가 많아 보이긴 하는데.. 재미있을 것 같기도. 제목을 보니 잘되면 시리즈로 나올 모양이다. http://tvcast.naver.com/v/504700 ,2015-08-26
듣고 보면 더 재밌다 | <탐정: 더 비기닝> 권상우&성동일 이런 추리 콤비 또 없습니다 http://m.maxmovie.com/news/news_view.asp?MI_ID=MI0101005444 … 기대기대,2015-08-26
‘탐정 : 더 비기닝’ 권상우-성동일  역대급 코믹추리콤비의 탄생 : 스포츠동아 http://sports.donga.com/3/all/20150826/73253030/2 …,2015-08-26
"그 이유는 잘 모르겠습니다.
그래서 알고 싶습니다.
알고 싶기에  서태혁 탐정님과 좀 더 대화하고 싶습니다.
그러니 기다려야겠지요.",2015-08-26
괴도 이사카랑 탐정 세거니... 낮에는 친구 밤에는 라이벌.....0ㅁ0.... 어.. 어어... 아 앙대 더 쓰고 싶은 게 늘어서 어쩌자는 거야......,2015-08-26
잠을 이루지 못하는 탐정의 오전 4시. 아까의 옅은 미소  그건 대체 무슨 의미였을까? 왠지 모르게  다른 사건때보다 훨씬 더 가슴이 두근거렸다.,2015-08-26
@cinemaplus39 　탐정 : 더 비기닝　화이팅！！　　탐정 : 더 비기닝　대박！！,2015-08-26
헤헤. 탐정 흉내를 내고 싶다면  좀 더 잘해보라고.,2015-08-26
<무비프리 시사회 이벤트> 탐정:더비기닝  탐정:더비기닝 개봉하기 전에 난 먼저 본다! 지금 무비프리에서 진행하는 이벤트에 참여하시면 시사회 예.. http://app.moviepre.co.kr  pic.twitter.com/o1kVwFNu4b,2015-08-26
"【권상우  성동일　クォン・サンウ、ソン・ドンイル　キャラクター映像】無茶苦茶面白い～(≧▽≦)　かっこかわいいサンウ～～(*´▽｀*)　<탐정: 더 비기닝（探偵　ザビギニング〉대박!!
http://movie.naver.com/movie/bi/mi/mediaView.nhn?code=124201&mid=28096#tab …pic.twitter.com/wFMND9csYt",2015-08-26
‘탐정  더 비기닝’ 권상우 성동일  콤비 코믹진수 보다: http://moviejoy.com/themem/e_view.asp?db=qna5&num=17756#.Vd723J72v2g.twitter …,2015-08-27
‘탐정: 더 비기닝’  조석 작가의 캐릭터 캐리커처 공개 http://pop.heraldcorp.com/view.php?ud=201508270822334271432_1 …,2015-08-27
Korean Movie 탐정: 더 비기닝 (An Accidental Detective  2015) 캐릭터 영상 (Character Video) https://youtu.be/x21kJnJoVIk ,2015-08-27
@BGH_Blackboard 맞아요! 진겜은 다들 말투보고 탐정되셔서;;;; 더 무섭;;;;,2015-08-27
<무비프리 시사회 이벤트> 탐정:더비기닝  탐정:더비기닝 개봉하기 전에 난 먼저 본다! 지금 무비프리에서 진행하는 이벤트에 참여하시면 시사회 예.. http://app.moviepre.co.kr  pic.twitter.com/z43tw7gusT,2015-08-27
탐정으로써의 셜리는 정말 호적수야. 다만 내가 좀 더 머리가 좋을 뿐이지. 후훗☆,2015-08-27
ㅇㅁㅇ!에네언니는 좀 더 제복스럽게 입히면 되겠다. 푸른빛 푸른빛. 카포가 갓파더로 진화하고 수사관이 수사반장..?검찰청장?으로 진화하면 탐정은 뭘로 진화해야 하지. 셜록인가,2015-08-27
잠을 이루지 못하는 탐정의 오전 4시. 아까의 옅은 미소  그건 대체 무슨 의미였을까? 왠지 모르게  다른 사건때보다 훨씬 더 가슴이 두근거렸다.,2015-08-27
탐정 더 비기닝 뭔가 시리즈일것 같아섴ㅋㅋㅋㅋㅋㅋㅋ제목부터 더 비기닝이니까,2015-08-27
