Date,Frequancy
2015-06-02,0
2015-06-03,2
2015-06-04,0
2015-06-05,0
2015-06-06,1
2015-06-07,1
2015-06-08,0
2015-06-09,2
2015-06-10,2
2015-06-11,2
2015-06-12,2
2015-06-13,1
2015-06-14,1
2015-06-15,4
2015-06-16,3
2015-06-17,0
2015-06-18,1
2015-06-19,2
2015-06-20,3
2015-06-21,3
2015-06-22,5
2015-06-23,2
2015-06-24,4
2015-06-25,7
2015-06-26,7
2015-06-27,4
2015-06-28,5
2015-06-29,11
2015-06-30,7
2015-07-01,18
2015-07-02,35
2015-07-03,49
2015-07-04,42
2015-07-05,36
2015-07-06,29
2015-07-07,20
2015-07-08,15
2015-07-09,6
2015-07-10,10
2015-07-11,17
2015-07-12,16
2015-07-13,16
2015-07-14,11
2015-07-15,11
2015-07-16,2
2015-07-17,8
2015-07-18,12
2015-07-19,7
2015-07-20,7
2015-07-21,6
2015-07-22,0
2015-07-23,4
2015-07-24,6
2015-07-25,3
2015-07-26,2
2015-07-27,1
2015-07-28,3
2015-07-29,3
2015-07-30,1
2015-07-31,3
