contents,date
터미네이터 제네시스 개봉.,2015-06-03
터미네이터 제네시스 순간 트랜스포머인줄 알고 또 트랜스포머 신작 나오나하고 놀랐네,2015-06-03
어어 터미네이터 제네시스에 이병헌 나오는구나,2015-06-06
"이병헌  새로운 터미네이터 제네시스 스틸컷 공개 ""나한테 왜 그랬어요. 말해봐요  정말 날 죽이려고 했어요?"" - T1000의 달콤한인생 pic.twitter.com/i3Odi1vMxm",2015-06-07
제네시스는 차!!!! 터미네이터는 제니시스!!@PenielShin pic.twitter.com/8n6f4uGTAH,2015-06-09
"일번 특유의 a라고 쓰고 b라고 읽는건 터미네이터까지...
신세기라고 쓰고 제네시스라거 읽네",2015-06-09
터미네이터 제네시스 예고편 나왔나보네,2015-06-10
@lotte_ent 다음 메인에 터미네이터 제네시스 기사 떴는데.... T-3000이 존 코너라는 스포일러를 기레기가 썼네요.... 다음에 요청해서 기사 삭제하시고 기자와 신문사에 손해배상 요청하시길.... http://m.movie.daum.net/m/magazine/film/detail.daum?thecutId=21016 …,2015-06-10
터미네이터 제네시스 개봉 기념 <터미네이터> (NEW SLEEVE) blu-ray. http://fb.me/7iWUCswZF ,2015-06-11
터미네이터 제네시스를 엄청 기대하고 있습니다. 3 4편을 나와서는 안되는 망작취급하는 분들이 많은데 부심부리지마랏,2015-06-11
터미네이터 제네시스에 면봉이 나옴?,2015-06-12
"터미네이터 제네시스!!
아놀드 아저씨께서 돌아오신당 ㅎㅎㅎ
한국 이병헌 배우도 나오신다는데!! 보고싶다!!",2015-06-12
"D-12 19 33
19곰테드 / 터미네이터 제네시스 / 픽셀 순서",2015-06-13
터미네이터 제네시스에 이병헌 나오네,2015-06-14
"D-10 17 31
19곰테드2 / 터미네이터 제네시스 / 픽셀",2015-06-15
"보고싶은 7월 영화 국내개봉일
터미네이터 제네시스  알로 슈티 7/2
인사이드 아웃 7/9
픽셀 7/16
미션 임파서블: 로그네이션 7/30",2015-06-15
"[서울오토살롱 - ""영화""편]
다시 돌아온 아놀드 슈왈제네거!!!그리고 다시 돌아온 터미네이터 시리즈!!! 터미네이터 제네시스가 7월 2일에 개봉합니다.
이번 시리즈는 미래  과거  현재를 넘나드는... http://fb.me/3gaYzw4Zj ",2015-06-15
터미네이터 제네시스에 이병헌이 나오는구나. 좋은 일이지. 하지만 나는 아놀드님을 영접하러 영화관에 갈거라는~~~,2015-06-15
포럼 > 취미 정보공유 > 11번가 터미네이터 제네시스 이벤트 http://fb.me/7PSkqPbcK ,2015-06-16
터미네이터 제네시스의 배우도 내한한다 그러고  미라클 벨리에라는 영화의 배우도 내한한다 그러고.... 그냥 취소하지.. 내가 다 미안하고 눈치보이네,2015-06-16
터미네이터제네시스인가가 조금 있으면 개봉하는데 나는 거기에 이병헌이 캐스팅 된지도 몰랐고 터미네이터 찾아보다가 이런거 발견하고 개터져서 왠지 존나 진 기분이 들었다 pic.twitter.com/ULV9NPaYH3,2015-06-16
7월에 볼 영화  터미네이터 제네시스  앤트맨  미션 임파서블 http://vaders.blog.me/220394345872 ,2015-06-18
@ImaxNotify 터미네이터:제네시스 IMAX 예매 언제 할수있냐요>>???,2015-06-19
"터미네이터 제네시스 개봉이 얼마 남지 않았다. 엄청 기다려진다.
그런데 이병헌은 주연에 가까운데도 포스터에 얼굴은 커녕 이름도 안보인다.
아마도 작년 로맨스 사건 때문인거 같은데...
안타깝지만 한편으로 자업자득인 것 같기도 하다.",2015-06-19
와 시바 터미네이터 제네시스 본래 1 2 감독이 찍은거라 그런지 겁나 보고싶닼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2015-06-20
7월엔 터미네이터 제네시스하고 픽셀을 봐야겠구만,2015-06-20
@mclij 난 지금 테드2랑 터미네이터 제네시스 기다리는중 ㅎㅎㅎ,2015-06-20
"쉬어가는 주가 없는 7월 극장가.

터미네이터 : 제네시스 7월 2일 개봉.
손님  인사이드 아웃 7월 9일 개봉.
픽셀 7월 16일 개봉.
암살 7월 22일 개봉.
미션 임파서블 : 로그네이션  미니언즈 7월 30일 개봉.",2015-06-21
@BTOB_IMHYUNSIK 아기다리.고기다리던 터미네이터 제네시스?? 보러갈게욬ㅋㅋ,2015-06-21
터미네이터 제네시스도 재밌을것같은데 이병헌이 나왔군아 .. 국내에선 마케팅하기 힘들었겠다 ㅋㅋㅋㅋ,2015-06-21
맥스무비 매거진 7월호! MISSION : IMPOSSIBLE <미션 임파서블 : 로그네이션> 20년 첩보사  돌아온 터미네이터 <터미네이터 제네시스>  <극비수사> 김윤석 & 유해진 http://goo.gl/2GLdej  터미네이터!!,2015-06-22
"터미네이터 제네시스 지나가면서 PV 얼핏 보니 ""그 무엇으로도 날 죽일 수는 없다."" 라고 지껄이는 캐릭터가 나오는군. 쟤 죽는다에 내가  100원 건다.",2015-06-22
"2주 안에 영화관을 두번 가겠네
-19곰테드2
-터미네이터 제네시스",2015-06-22
"터미네이터 : 제네시스
왕십리 아맥 명당급 예매 완료~",2015-06-22
터미네이터 제네시스 재밌을까?,2015-06-22
맥스무비 매거진 7월호! MISSION : IMPOSSIBLE <미션 임파서블 : 로그네이션> 20년 첩보사  돌아온 터미네이터 <터미네이터 제네시스>  <극비수사> 김윤석 & 유해진 http://goo.gl/2GLdej ,2015-06-23
1 2 3편 모두 극장에서 본 쥬라기공원 신작 쥬라기월드.. 그리고 초등학교때 엄마가 형이랑 극장에 쳐넣어서 인생의 영화가 된-_- (순전히 로봇영화로 오인) 터미네이터의 노인학대신작 제네시스  두 영화는 의리로라도 극장에서 보고 싶어졌다.,2015-06-23
터미네이터 제네시스 http://blog.naver.com/hjsrokmp/220399694761 …,2015-06-24
터미네이터 제네시스 http://blog.naver.com/hjsrokmp/220399690722 …,2015-06-24
맥스무비 매거진 7월호! MISSION : IMPOSSIBLE <미션 임파서블 : 로그네이션> 20년 첩보사  돌아온 터미네이터 <터미네이터 제네시스>  <극비수사> 김윤석 & 유해진 http://goo.gl/2GLdej ,2015-06-24
터미네이터 제네시스를 볼바에야 7월 9일날 재개봉하는 터미네이터 2를보는게...,2015-06-24
-터미네이터5-제네시스  포스터나 예고편에서 이병헌 아예사라짐- http://modoonews.com/?article=24824  #모두의뉴스,2015-06-25
'터미네이터:제네시스' 감독이 소프라노스  식스핏언더  보드워크엠파이어 등을 연출했던 사람이라고. 급동함.,2015-06-25
맥스무비 매거진 7월호! MISSION : IMPOSSIBLE <미션 임파서블 : 로그네이션> 20년 첩보사  돌아온 터미네이터 <터미네이터 제네시스>  <극비수사> 김윤석 & 유해진 http://goo.gl/2GLdej ,2015-06-25
