Date,Frequency
2017-05-22,2
2017-05-23,4
2017-05-24,4
2017-05-25,4
2017-05-26,4
2017-05-27,3
2017-05-28,1
2017-05-29,5
2017-05-30,0
2017-05-31,1
2017-06-01,7
2017-06-02,8
2017-06-03,9
2017-06-04,1
2017-06-05,7
2017-06-06,8
2017-06-07,4
2017-06-08,10
2017-06-09,7
2017-06-10,12
2017-06-11,10
2017-06-12,14
2017-06-13,12
2017-06-14,11
2017-06-15,14
2017-06-16,9
2017-06-17,5
2017-06-18,12
2017-06-19,13
2017-06-20,20
2017-06-21,20
2017-06-22,20
2017-06-23,20
2017-06-24,20
2017-06-25,20
2017-06-26,30
2017-06-27,20
2017-06-28,27
2017-06-29,20
2017-06-30,15
2017-07-01,15
2017-07-02,7
2017-07-03,11
2017-07-04,4
2017-07-05,4
2017-07-06,5
2017-07-07,4
2017-07-08,4
2017-07-09,2
2017-07-10,4
2017-07-11,3
2017-07-12,1
2017-07-13,3
2017-07-14,2
2017-07-15,4
2017-07-16,4
2017-07-17,2
2017-07-18,1
2017-07-19,2
2017-07-20,2
