Date,Frequancy
2015-09-15,0
2015-09-16,3
2015-09-17,1
2015-09-18,0
2015-09-19,0
2015-09-20,0
2015-09-21,1
2015-09-22,1
2015-09-23,0
2015-09-24,6
2015-09-25,0
2015-09-26,0
2015-09-27,0
2015-09-28,0
2015-09-29,1
2015-09-30,1
2015-10-01,3
2015-10-02,2
2015-10-03,1
2015-10-04,1
2015-10-05,7
2015-10-06,2
2015-10-07,4
2015-10-08,11
2015-10-09,2
2015-10-10,1
2015-10-11,1
2015-10-12,2
2015-10-13,4
2015-10-14,4
2015-10-15,5
2015-10-16,8
2015-10-17,7
2015-10-18,8
2015-10-19,5
2015-10-20,3
2015-10-21,4
2015-10-22,1
2015-10-23,5
2015-10-24,1
2015-10-25,0
2015-10-26,3
2015-10-27,1
2015-10-28,0
2015-10-29,0
2015-10-30,1
2015-10-31,1
2015-11-01,0
2015-11-02,0
2015-11-03,0
2015-11-04,0
2015-11-05,0
2015-11-06,0
2015-11-07,0
2015-11-08,0
2015-11-09,0
2015-11-10,0
2015-11-11,0
2015-11-12,0
2015-11-13,0
