Date,Frequancy
2017-01-09,1
2017-01-10,1
2017-01-11,1
2017-01-12,2
2017-01-13,3
2017-01-14,0
2017-01-15,0
2017-01-16,3
2017-01-17,2
2017-01-18,4
2017-01-19,7
2017-01-20,5
2017-01-21,3
2017-01-22,3
2017-01-23,9
2017-01-24,6
2017-01-25,5
2017-01-26,12
2017-01-27,4
2017-01-28,11
2017-01-29,5
2017-01-30,11
2017-01-31,13
2017-02-01,14
2017-02-02,3
2017-02-03,16
2017-02-04,11
2017-02-05,10
2017-02-06,21
2017-02-07,18
2017-02-08,36
2017-02-09,35
2017-02-10,35
2017-02-11,27
2017-02-12,34
2017-02-13,15
2017-02-14,15
2017-02-15,9
2017-02-16,10
2017-02-17,5
2017-02-18,4
2017-02-19,5
2017-02-20,2
2017-02-21,6
2017-02-22,2
2017-02-23,5
2017-02-24,3
2017-02-25,3
2017-02-26,2
2017-02-27,2
2017-02-28,0
2017-03-01,0
2017-03-02,0
2017-03-03,0
2017-03-04,1
2017-03-05,2
2017-03-06,0
2017-03-07,0
2017-03-08,1
2017-03-09,2
