Date,Frequancy
2017-03-21,6
2017-03-22,1
2017-03-23,2
2017-03-24,6
2017-03-25,1
2017-03-26,4
2017-03-27,5
2017-03-28,3
2017-03-29,3
2017-03-30,0
2017-03-31,0
2017-04-01,1
2017-04-02,0
2017-04-03,4
2017-04-04,5
2017-04-05,2
2017-04-06,1
2017-04-07,1
2017-04-08,3
2017-04-09,2
2017-04-10,4
2017-04-11,6
2017-04-12,3
2017-04-13,7
2017-04-14,3
2017-04-15,4
2017-04-16,13
2017-04-17,14
2017-04-18,6
2017-04-19,4
2017-04-20,34
2017-04-21,33
2017-04-22,28
2017-04-23,30
2017-04-24,30
2017-04-25,7
2017-04-26,5
2017-04-27,1
2017-04-28,5
2017-04-29,0
2017-04-30,0
2017-05-01,1
2017-05-02,0
2017-05-03,0
2017-05-04,1
2017-05-05,1
2017-05-06,0
2017-05-07,2
2017-05-08,0
2017-05-09,0
2017-05-10,1
2017-05-11,1
2017-05-12,1
2017-05-13,0
2017-05-14,0
2017-05-15,0
2017-05-16,1
2017-05-17,1
2017-05-18,0
2017-05-19,0
