Date,Frequancy
2015-07-21,12
2015-07-22,13
2015-07-23,28
2015-07-24,21
2015-07-25,25
2015-07-26,22
2015-07-27,22
2015-07-28,30
2015-07-29,29
2015-07-30,26
2015-07-31,35
2015-08-01,20
2015-08-02,8
2015-08-03,37
2015-08-04,29
2015-08-05,34
2015-08-06,40
2015-08-07,39
2015-08-08,30
2015-08-09,39
2015-08-10,30
2015-08-11,30
2015-08-12,37
2015-08-13,34
2015-08-14,22
2015-08-15,25
2015-08-16,32
2015-08-17,38
2015-08-18,39
2015-08-19,29
2015-08-20,56
2015-08-21,39
2015-08-22,34
2015-08-23,36
2015-08-24,39
2015-08-25,40
2015-08-26,37
2015-08-27,21
2015-08-28,21
2015-08-29,14
2015-08-30,11
2015-08-31,19
2015-09-01,18
2015-09-02,18
2015-09-03,22
2015-09-04,14
2015-09-05,8
2015-09-06,10
2015-09-07,13
2015-09-08,5
2015-09-09,9
2015-09-10,25
2015-09-11,14
2015-09-12,14
2015-09-13,6
2015-09-14,10
2015-09-15,9
2015-09-16,5
2015-09-17,9
2015-09-18,11
