Date,Frequancy
2015-08-04,2
2015-08-05,3
2015-08-06,2
2015-08-07,2
2015-08-08,1
2015-08-09,1
2015-08-10,2
2015-08-11,1
2015-08-12,3
2015-08-13,9
2015-08-14,5
2015-08-15,2
2015-08-16,2
2015-08-17,10
2015-08-18,5
2015-08-19,15
2015-08-20,8
2015-08-21,12
2015-08-22,3
2015-08-23,2
2015-08-24,12
2015-08-25,5
2015-08-26,8
2015-08-27,3
2015-08-28,3
2015-08-29,4
2015-08-30,6
2015-08-31,6
2015-09-01,3
2015-09-02,9
2015-09-03,12
2015-09-04,13
2015-09-05,7
2015-09-06,14
2015-09-07,11
2015-09-08,8
2015-09-09,8
2015-09-10,8
2015-09-11,4
2015-09-12,5
2015-09-13,3
2015-09-14,7
2015-09-15,4
2015-09-16,5
2015-09-17,7
2015-09-18,4
2015-09-19,3
2015-09-20,2
2015-09-21,2
2015-09-22,2
2015-09-23,2
2015-09-24,2
2015-09-25,2
2015-09-26,1
2015-09-27,2
2015-09-28,2
2015-09-29,4
2015-09-30,3
2015-10-01,2
2015-10-02,2
