contents,date
[뉴스] ‘피케이 별에서 온 얼간이’…'세 얼간이' 뛰어넘을까  #동영상 http://bit.ly/1M8AUJd pic.twitter.com/5Vrph7K243,2015-08-04
"’피케이 별에서 온 얼간이’ 메인 포스터 공개…'세 얼간이' 뛰어넘을까: ▲ 영화 '피케이 별에서 온 얼간이(감독 라지쿠마르 히라니)' 메인포스터.     ©뉴스컬처DB

영화 피케이 별... http://bit.ly/1g2QdW2 ",2015-08-04
우주미아 지구 표류기 '피케이: 별에서 온 얼간이' 시사회에 초대합니다. http://goo.gl/qSQmfN  @iSTYLE24pinkat #Snapp,2015-08-05
[YES24 영화] <피케이: 별에서 온 얼간이> 시사회 이벤트 http://m.movie.yes24.com/Event/Preview_Detail.aspx?Event_ID=39660#yes24movie …,2015-08-05
[초대] 시사회_피케이: 별에서 온 얼간이_세얼간이2탄_8월13일 (출처 : 문화충전200%(문화를 사랑하는 사람들) | 네이버 카페) http://me2.do/5FL32Iut  재미있는 인도영화가 나오네~~,2015-08-05
피케이:별에서온얼간이_메인예고편 http://youtu.be/ldgJslCamA0?a ,2015-08-06
"[영화 시사회 이벤트]

""<세 얼간이> 감독과 아르미칸이 다시 만났어요! 인도 역대 1위 최고 흥행작 <피케이: 별에서 온 얼간이> 영화 시사회에 초대합니다!""

*예고편에 등장하는 SHURE 헤드폰을... http://fb.me/4aAUS37im ",2015-08-06
"@roeznoah917 이름이 (피케이:별에서 온 얼간이) 라네요! 
https://youtu.be/NbV7jzaL0n0 ",2015-08-07
"[삼아 영화 시사회]

""<세 얼간이> 감독과 아르미칸이 다시 만났어요! 인도 역대 1위 최고 흥행작 <피케이: 별에서 온 얼간이> 영화 시사회에 초대합니다!""

*예고편에 등장하는 SHURE 헤드폰을... http://fb.me/24cVcQ0K9 ",2015-08-07
"<피케이  외계에서 온 얼간이 PK>
영화시사회 초대 퀴즈쇼!
  
인도연구원과 소풍투어에서 주최하는 <PK>영화시사회

영화보고 PK  처럼 인도를 떠나라!! 

일정: 8월 20일 (목) 오후 8시... http://fb.me/1pMsUjrSc ",2015-08-08
"<피케이  PK 별에서온 얼간이 영화 시사회 이벤트 당첨자 발표>

8월 13일 저녁 8시  CGV (왕십리)에서 진행하는 <PK> 영화 시사회
당첨자를 발표합니다.

당첨자 명단:
전정우  
김형경 ... http://fb.me/27o8VsInR ",2015-08-09
