Date,Frequancy
2015-06-16,38
2015-06-17,37
2015-06-18,35
2015-06-19,34
2015-06-20,33
2015-06-21,37
2015-06-22,37
2015-06-23,34
2015-06-24,39
2015-06-25,39
2015-06-26,42
2015-06-27,39
2015-06-28,32
2015-06-29,31
2015-06-30,40
2015-07-01,33
2015-07-02,33
2015-07-03,40
2015-07-04,35
2015-07-05,27
2015-07-06,33
2015-07-07,36
2015-07-08,38
2015-07-09,42
2015-07-10,42
2015-07-11,37
2015-07-12,36
2015-07-13,30
2015-07-14,38
2015-07-15,40
2015-07-16,49
2015-07-17,55
2015-07-18,37
2015-07-19,42
2015-07-20,40
2015-07-21,35
2015-07-22,47
2015-07-23,40
2015-07-24,34
2015-07-25,33
2015-07-26,37
2015-07-27,35
2015-07-28,36
2015-07-29,34
2015-07-30,33
2015-07-31,38
2015-08-01,35
2015-08-02,32
2015-08-03,30
2015-08-04,35
2015-08-05,40
2015-08-06,37
2015-08-07,40
2015-08-08,36
2015-08-09,31
2015-08-10,35
2015-08-11,36
2015-08-12,34
2015-08-13,36
2015-08-14,26
