Date,Frequancy
2016-04-19,2
2016-04-20,0
2016-04-21,0
2016-04-22,0
2016-04-23,3
2016-04-24,1
2016-04-25,2
2016-04-26,5
2016-04-27,1
2016-04-28,2
2016-04-29,4
2016-04-30,1
2016-05-01,1
2016-05-02,22
2016-05-03,18
2016-05-04,16
2016-05-05,14
2016-05-06,18
2016-05-07,29
2016-05-08,24
2016-05-09,28
2016-05-10,18
2016-05-11,28
2016-05-12,30
2016-05-13,14
2016-05-14,14
2016-05-15,8
2016-05-16,27
2016-05-17,27
2016-05-18,18
2016-05-19,31
2016-05-20,35
2016-05-21,32
2016-05-22,37
2016-05-23,36
2016-05-24,20
2016-05-25,21
2016-05-26,9
2016-05-27,9
2016-05-28,6
2016-05-29,10
2016-05-30,11
2016-05-31,7
2016-06-01,3
2016-06-02,2
2016-06-03,7
2016-06-04,8
2016-06-05,7
2016-06-06,6
2016-06-07,5
2016-06-08,1
2016-06-09,3
2016-06-10,4
2016-06-11,6
2016-06-12,4
2016-06-13,0
2016-06-14,2
2016-06-15,2
2016-06-16,4
2016-06-17,4
