contents,date
맨정신으로 못보는 '1인칭' 액션 [하드코어 헨리] 5월 개봉 http://magazine2.movie.daum.net/movie/37142 ,2016-04-19
"5월 중순에 개봉하는 하드코어 헨리

꼭 보시긔들... 

그랑블루도 꼭 하싀긔들...
https://www.youtube.com/watch?v=N2CK3wgpQtg …",2016-04-19
"5월에 ㅆㅈㅂ 포토티켓 무료이벤트를 하는듯하다. 볼게 뭐 있을까..

비틀즈:하드 데이즈 나이트
뉴 스텝업:어반 댄스?
오만과 편견 그리고 좀비
미스터 홈즈
싱 스트리트
앵그리버드?
하드코어 헨리
클랜
엑스맨:아포칼립스

생각보다많네요.",2016-04-23
하드코어 헨리 http://oneringtrailers.com?m=100539oneringtrailers.com/?m=100539  http://youtu.be/N2CK3wgpQtg  • 국내: 2016-05-19,2016-04-23
하드코어 헨리 이게 국내상영도 하는구나,2016-04-23
샬토 코플리 - 하드코어 헨리 - P.O.V. 의 연결고리 http://blog.naver.com/upsjs/220692266352 …,2016-04-24
시빌워 엑스맨 하드코어헨리 봐야지,2016-04-25
#jtbc #디지털뉴스룸 #1인칭영화 #하드코어헨리 http://dlvr.it/L82m5c pic.twitter.com/yDzp4xcQxU,2016-04-25
[더 코리아뉴스] 배순민 기자 = 하드코어 헨리는 기억이 지워진 채 강력한 힘을 가진 사이보그로 깨어... http://thekoreanews.com//detail.php?number=26792 …,2016-04-26
세계 최초  풀타임 1인칭 액션 영화 <하드코어 헨리> 스틸 10종. http://buff.ly/1T1l6pG pic.twitter.com/d60EnyT4Ps,2016-04-26
"하드코어 헨리
진짜 존나 기대작",2016-04-26
하드코어 헨리 정말 보고싶고... 근데 포디가 씨지발밖에 없던가 아 그럼 안돼는데,2016-04-26
전세계 최초 풀타임 1인칭 SF 액션 영화 ‘하드코어 헨리’ 스틸 공개 http://dam27.com/?p=216562 pic.twitter.com/yh2jVXrLcn,2016-04-26
하드코어 헨리 http://oneringtrailers.com?m=100539oneringtrailers.com/?m=100539  http://youtu.be/N2CK3wgpQtg  • 국내: 2016-05-19,2016-04-27
<하드코어 헨리> 신개념 예고편 ㅡ #헨리 에 관한 이슈 모아보기 http://lenz.co.kr/taste/326454/timeline … 앱-  http://bit.ly/1QnugfV ,2016-04-28
"하드코어 헨리라고
풀타임 1인칭영화가있는데...
ㅈㄴ새롭다...ㄷㄷ
이건 극장에서밖에못보자낰",2016-04-28
헐 하드코어 헨리 국내개봉하넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2016-04-29
"[2016-04-28]
[하드코어 헨리 (HARDCORE HENRY)]
[(주)코리아스크린]
[청소년관람불가]
[96분 19초]
https://www.kmrb.or.kr/data/searchMovieView.do?rcv_no=1147450 …",2016-04-29
"내가 영화 2d 말고 다르게 보는거 존나 싫어하는데...

하드코어 헨리
이 영화만큼은 진짜 3d나 4d로 보고 싶다...",2016-04-29
"@labit1 시빌워는 가능할까..?

하드코어헨리는 3d나 4d로 보고 싶은데..",2016-04-29
"아니다 시빌워까지 못모을게 뻔하다
그냥 알바 끝나면 바로 봐야지

하드코어 헨리는..3d 아님 4d로 보고",2016-04-30
<무비프리 시사회 이벤트> 하드코어 헨리  Hardcore Henry 개봉하기 전에 난 먼저 본다! 지금 무비프리에서 진행하는 이벤트에 참여하시.. http://app.moviepre.co.kr  pic.twitter.com/z2mVtGbWFg,2016-05-01
&lt;하드코어 헨리&gt;  4DX 최초 시사회 : http://dvdprime.com/sl/3475771 ,2016-05-02
[하드코어 헨리] 메인 예고편: http://youtu.be/kA5GVWwP56o?a  (@YouTube),2016-05-02
하드코어 헨리...! pic.twitter.com/yt7zltUM8E,2016-05-02
[초대] 신개념 액션 블록버스터! 영화 [ 하드코어 헨리 ] 시사회 !! (출처 : ★ 무비 J.. | http://blog.naver.com/kaminari2002/220699289460 … 블로그) http://me2.do/5bP6H63L ,2016-05-02
하드코어헨리 꽤 땡기는 영화기는 한데  왠지 어지럽고 울렁거릴 거 같아서....,2016-05-02
음 2차찍지말고 걍 하드코어 헨리 기다릴까,2016-05-02
[하드코어 헨리] 전세계 최초 풀타임 1인칭 SF액션 블럭버스터 하드코어 헨리 시사회에 초대합니다. 동대문 메가박스 2D시시사회입니다. http://blog.naver.com/artgihun/220699335536 …,2016-05-02
아아앙 하드코어헨리 시사회 제발 당첨요 제발 제발,2016-05-02
세계 최초 풀타임 1인칭 액션 영화 #하드코어헨리 4DX 시사회에 초대합니다. 5월11일 저녁  CGV 여의도. 지금 바로 신청하세요. http://buff.ly/1X3lmKS  pic.twitter.com/OkUtsqdBHc,2016-05-02
"#하드코어헨리
한 순간도 눈을 뗄 수 없다! 숨막히는 하드코어 액션 퍼레이드! 메인 예고편 공개! http://www.newmoviemag.com/henry_mt/ ",2016-05-02
와 하드코어 헨리를 4DX로 보다니 미친거 아니냐ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ보다가 토할거같은데,2016-05-02
게임 같은 1인칭 액션 영화 #하드코어헨리 제작 뒷이야기 모음 http://buff.ly/1QMLhz0 pic.twitter.com/rRH36dnKXH,2016-05-02
<무비프리 시사회 이벤트> 하드코어 헨리  Hardcore Henry 개봉하기 전에 난 먼저 본다! 지금 무비프리에서 진행하는 이벤트에 참여하시.. http://app.moviepre.co.kr  pic.twitter.com/szsqtfCveN,2016-05-02
"#하드코어헨리 개봉확정 http://me2.do/GzH8K4t4  전세계 최초 1인칭 SF액션 #블록버스터 기대만빵!!!!
#무비라이프",2016-05-02
배우처럼 잘 생긴 #하드코어헨리 일리야 나이슐러 감독 http://buff.ly/1WC0ytu pic.twitter.com/42LvpraTbN,2016-05-02
<무비프리 시사회 이벤트> 하드코어 헨리  Hardcore Henry 개봉하기 전에 난 먼저 본다! 지금 무비프리에서 진행하는 이벤트에 참여하시.. http://app.moviepre.co.kr  pic.twitter.com/tkEGNwbCYJ,2016-05-02
&lt;하드코어 헨리&gt;  4DX 최초 시사회 : http://dvdprime.com/sl/3475771 ,2016-05-02
<무비프리 시사회 이벤트> 하드코어 헨리  Hardcore Henry 개봉하기 전에 난 먼저 본다! 지금 무비프리에서 진행하는 이벤트에 참여하시.. http://app.moviepre.co.kr  pic.twitter.com/LBlMUd0HMZ,2016-05-02
<무비프리 시사회 이벤트> 하드코어 헨리  Hardcore Henry 개봉하기 전에 난 먼저 본다! 지금 무비프리에서 진행하는 이벤트에 참여하시.. http://app.moviepre.co.kr  pic.twitter.com/MlDlmHNBS7,2016-05-02
<무비프리 시사회 이벤트> 하드코어 헨리  Hardcore Henry 개봉하기 전에 난 먼저 본다! 지금 무비프리에서 진행하는 이벤트에 참여하시.. http://app.moviepre.co.kr  pic.twitter.com/CpT2OHbRnt,2016-05-02
<무비프리 시사회 이벤트> 하드코어 헨리  Hardcore Henry 개봉하기 전에 난 먼저 본다! 지금 무비프리에서 진행하는 이벤트에 참여하시.. http://app.moviepre.co.kr  pic.twitter.com/irATXbvudr,2016-05-02
<무비프리 시사회 이벤트> 하드코어 헨리  Hardcore Henry 개봉하기 전에 난 먼저 본다! 지금 무비프리에서 진행하는 이벤트에 참여하시.. http://app.moviepre.co.kr  pic.twitter.com/hpMOvR1aCk,2016-05-02
&lt;하드코어 헨리&gt;  4DX 최초 시사회 : http://dvdprime.donga.com/g5/bbs/board.php?bo_table=dpevent&wr_id=23327 …,2016-05-03
