Date,Frequancy
2016-03-14,1
2016-03-15,3
2016-03-16,2
2016-03-17,2
2016-03-18,1
2016-03-19,0
2016-03-20,0
2016-03-21,3
2016-03-22,3
2016-03-23,25
2016-03-24,13
2016-03-25,12
2016-03-26,6
2016-03-27,1
2016-03-28,1
2016-03-29,13
2016-03-30,2
2016-03-31,3
2016-04-01,1
2016-04-02,1
2016-04-03,4
2016-04-04,19
2016-04-05,26
2016-04-06,21
2016-04-07,17
2016-04-08,18
2016-04-09,11
2016-04-10,4
2016-04-11,11
2016-04-12,15
2016-04-13,16
2016-04-14,26
2016-04-15,29
2016-04-16,16
2016-04-17,20
2016-04-18,9
2016-04-19,9
2016-04-20,7
2016-04-21,12
2016-04-22,10
2016-04-23,3
2016-04-24,8
2016-04-25,9
2016-04-26,2
2016-04-27,3
2016-04-28,0
2016-04-29,1
2016-04-30,0
2016-05-01,1
2016-05-02,1
2016-05-03,0
2016-05-04,1
2016-05-05,0
2016-05-06,1
2016-05-07,1
2016-05-08,0
2016-05-09,0
2016-05-10,2
2016-05-11,0
2016-05-12,0
