contents,date
여우야닷컴 헌츠맨 : 윈터스 워 예매권 이벤트 http://blog.naver.com/backmeer/220655093480 …,2016-03-14
"#헌츠맨: 윈터스 워 #캡틴아메리카 #수어사이드스쿼드 #블록버스터 열풍 속 강렬한 여성 캐릭터들이 온다! #버닝 #burning
http://www.burning.kr/39125 pic.twitter.com/seEjwbjpwQ",2016-03-15
[NYLON event] 영화 <헌츠맨: 윈터스 워> 예매권 당첨자 발표 http://fb.me/6z8aa3Yd3 ,2016-03-15
헌츠맨:윈터스 워 http://blog.naver.com/hjsrokmp/220655288159 …,2016-03-15
<헌츠맨: 윈터스 워> 최신 TV 스팟 공개 http://buff.ly/1pLsOO3 pic.twitter.com/TvA82ycBjI,2016-03-16
[ 헌츠맨 : 윈터스 워 ] 모션포스터들 http://extmovie.maxmovie.com/xe/10369040?l=ko …,2016-03-16
[헌트맨 :윈터스 워] 스노우 화이트 앤 더 헌츠맨의 속편 헌츠맨 윈터스워의 오개된 포스터와 예고편입니다. http://blog.naver.com/artgihun/220658038503 …,2016-03-17
[4월개봉영화] <헌츠맨: 윈터스 워>(스노우 화이트 앤 더 헌츠맨 2) 예고편  스틸컷 http://blog.naver.com/juckwoo/220657424159 …,2016-03-17
헌츠맨 윈터스워에서 햄식이의 헌츠맨 이름이 에릭이였구나.... 스노우화이트때도 헌츠맨으로만 불리던 배역에 이름이 있었어!!! pic.twitter.com/xcw90soD9Y,2016-03-18
<헌츠맨: 윈터스 워> 일본어 더빙판 성우 발표: 타나카 아츠코(라베나)  미즈키 나나(프레야)  박로미(새라)  스기타 토모카즈(에릭)  나미카와 다이스케(윌리엄)  오츠카 아키오(거울)  챠후린(니온). http://www.cinematoday.jp/page/N0081314 ,2016-03-21
[맥스무비] 영화정보 - 헌츠맨: 윈터스 워 http://m.maxmovie.com/movie/movie_info.asp?m_id=M000094341 …,2016-03-21
"미친 헌츠맨 윈터스 워 예고편 봤는데 세상에에ㅔㅔ에
샤를리즈 테론 여왕님ㅠㅠㅠㅠㅠㅠㅠㅠ
스노우 화이트 볼때부터 내가 정말 저 말도안되는 여왕님의 비쥬얼에 뻑갔는데 이건 더이쁘데.. 어째 늙지를 않으십니까 여왕님 으윽(심장개박살)",2016-03-21
[헌츠맨 : 윈터스 워]의 세번째 예고편 영상: 세딕 니콜라스 트로얀 감독의 [헌츠맨 : 윈터스 워]의 세번째 예고편이 공개 되었는데요. 판타지 어드벤처 영화로 기대해 볼만 한 것 같습니다. 후속편... http://bit.ly/1RhdkKG ,2016-03-22
<무비프리 시사회 이벤트> 헌츠맨: 윈터스 워  The Huntsman Winter's War 개봉하기 전에 난 먼저 본다! 지금 무비프리에서 .. http://app.moviepre.co.kr  pic.twitter.com/H0aruRKBF4,2016-03-22
"GOT7과 영화 데이트는 꿈이 아닌 것!
1318 아가새들~ 우리 같이 CGV에서 <헌츠맨:윈터스워> 볼래요~?
PC: http://goo.gl/NWSqrx 
Mobile: http://goo.gl/VeIeyH 
#GOT7 #Fly",2016-03-22
전편에서 사냥꾼이 제일 재밌더만 아예 주인공을 바꿔버렸네..ㅋ <헌츠맨: 윈터스 워> #왓챠 http://watcha.net/mv/snow-white-and-the-0/mzy5t2 …,2016-03-23
"3/30 미스컨덕트/하이-라이즈/아노말리사/포레스트: 죽음의 숲
4/7 클로버필드 10번지/독수리 에디/퀸 오브 데저트/트럼보
4/13 시간이탈자/헌츠맨:윈터스 워
4/21 트리플9/바쿠만/브루클린
4/28 캡틴 아메리카: 시빌 워
4월 미정 바후발리",2016-03-23
세상을 구할 운명의 전사 [헌츠맨: 윈터스 워] 캐릭터 히스토리_화려한 출연진들로 미리보는 [헌츠맨: 윈터스 워] (출처 : 네이버 영화 매거진 | 네이버 매거진캐스트) http://me2.do/xMi6tNh2 ,2016-03-23
헌츠맨: 윈터스 워 (The Huntsman: Winter's War) 새 공식 예고편 http://bit.ly/1RiUXF4 ,2016-03-23
