Date,Frequency
2015-10-19,2
2015-10-20,2
2015-10-21,7
2015-10-22,4
2015-10-23,2
2015-10-24,1
2015-10-25,1
2015-10-26,3
2015-10-27,5
2015-10-28,6
2015-10-29,4
2015-10-30,3
2015-10-31,3
2015-11-01,0
2015-11-02,9
2015-11-03,7
2015-11-04,7
2015-11-05,16
2015-11-06,12
2015-11-07,5
2015-11-08,2
2015-11-09,8
2015-11-10,15
2015-11-11,10
2015-11-12,23
2015-11-13,14
2015-11-14,9
2015-11-15,11
2015-11-16,11
2015-11-17,24
2015-11-18,28
2015-11-19,34
2015-11-20,34
2015-11-21,40
2015-11-22,25
2015-11-23,22
2015-11-24,13
2015-11-25,14
2015-11-26,12
2015-11-27,7
2015-11-28,10
2015-11-29,15
2015-11-30,11
2015-12-01,4
2015-12-02,4
2015-12-03,3
2015-12-04,2
2015-12-05,8
2015-12-06,2
2015-12-07,6
2015-12-08,3
2015-12-09,4
2015-12-10,2
2015-12-11,2
2015-12-12,2
2015-12-13,3
2015-12-14,6
2015-12-15,1
2015-12-16,1
2015-12-17,2
