Date,Frequancy
2015-12-08,4
2015-12-09,6
2015-12-10,6
2015-12-11,8
2015-12-12,1
2015-12-13,3
2015-12-14,6
2015-12-15,1
2015-12-16,4
2015-12-17,9
2015-12-18,11
2015-12-19,1
2015-12-20,9
2015-12-21,13
2015-12-22,9
2015-12-23,12
2015-12-24,6
2015-12-25,5
2015-12-26,3
2015-12-27,4
2015-12-28,15
2015-12-29,30
2015-12-30,13
2015-12-31,21
2016-01-01,19
2016-01-02,7
2016-01-03,20
2016-01-04,32
2016-01-05,30
2016-01-06,46
2016-01-07,41
2016-01-08,35
2016-01-09,43
2016-01-10,37
2016-01-11,49
2016-01-12,31
2016-01-13,51
2016-01-14,41
2016-01-15,31
2016-01-16,31
2016-01-17,37
2016-01-18,33
2016-01-19,29
2016-01-20,17
2016-01-21,21
2016-01-22,13
2016-01-23,12
2016-01-24,9
2016-01-25,15
2016-01-26,11
2016-01-27,16
2016-01-28,8
2016-01-29,9
2016-01-30,8
2016-01-31,15
2016-02-01,11
2016-02-02,6
2016-02-03,4
2016-02-04,4
2016-02-05,5
