contents,date
<헤이트풀8> 비밀을 지니고 있는 8명의 방문자에 관한 총 8개의 무비클립 영상 대공개... http://blog.naver.com/insu1229/220562140039 …,2015-12-08
쿠엔틴 타란티노 감독 8번째 영화 '헤이트풀8' 내년 1월 개봉 http://fb.me/4zPiaEFt4 ,2015-12-08
<증오의 8인>(헤이트풀8)을 로드쇼를 통한 70미리필름상영으로 못보게 될경우 화질은 물론 상영시간에서도 손해를 본다. 로드쇼 상영은 182분  디지털 상영은 176분이기 때문. pic.twitter.com/kQURKNFTLY,2015-12-08
아무리 보고또봐도 스파이 브릿지가 제일 악독한것이다. '관객들은 영어제목에 혹한답니다^^'이론에 따르면 <화성인>이 마션이 되고 <증오의 8인>이 헤이트풀8이 되는것 개미눈물만큼이라도 이해해줄수 있지만 <브릿지 오브 스파이>를 도치한 것은 대체 무슨?,2015-12-08
헤이트풀 8 http://oneringtrailers.com?m=100502oneringtrailers.com/?m=100502  http://youtu.be/EV5Qb5iDa_8  • 국내: 미정 • 미국: 2015-12-25,2015-12-09
@GiselleIsAngry 헤이트풀 8은 스크리너를 안돌렸대요.,2015-12-09
쿠엔틴 타란티노 감독의 #헤이트풀8 국내판 메인 예고편 공개 http://buff.ly/1OQstmA pic.twitter.com/MmkFK5amYv,2015-12-09
"[에이트풀8] 범인은 이 안에 있어! 쿠엔틴 타란티노 감독 8번째 작품
http://blog.naver.com/ews1016/220563750443 …
#헤이트풀8 #쿠엔틴타란티노 #증오의8인 #장고분노의추적자 #저수지의개들 #엔니오모리꼬네pic.twitter.com/4EGmqShupj",2015-12-09
쿠엔틴 영화 포스터 보고 진짜 기함을 토했다 현실로 한숨 쉼 더 하트 오브 더 씨도 그렇고 말하자면 진짜 끝도 없이 쏟아지는데 헤이트풀8ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ어이없네진짜,2015-12-09
헉 헤이트풀8 뜻이 증오의8인<<요거였어????ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ아 솔찌 증오의 8인..요게 훨씬 어감살고 의미도 직관적으로 다가오고 좋은데 ㅠㅠ뭐만 하면 걍 외래어 그대로 영화제목 들여오는거 싫다 ㅠㅠㅠㅠ,2015-12-09
