Date,Frequancy
2016-02-23,4
2016-02-24,1
2016-02-25,4
2016-02-26,0
2016-02-27,1
2016-02-28,3
2016-02-29,2
2016-03-01,2
2016-03-02,1
2016-03-03,4
2016-03-04,4
2016-03-05,4
2016-03-06,8
2016-03-07,9
2016-03-08,12
2016-03-09,4
2016-03-10,18
2016-03-11,10
2016-03-12,7
2016-03-13,8
2016-03-14,16
2016-03-15,11
2016-03-16,20
2016-03-17,14
2016-03-18,33
2016-03-19,9
2016-03-20,5
2016-03-21,19
2016-03-22,23
2016-03-23,44
2016-03-24,79
2016-03-25,59
2016-03-26,45
2016-03-27,59
2016-03-28,37
2016-03-29,53
2016-03-30,36
2016-03-31,44
2016-04-01,30
2016-04-02,27
2016-04-03,22
2016-04-04,27
2016-04-05,21
2016-04-06,22
2016-04-07,14
2016-04-08,10
2016-04-09,12
2016-04-10,19
2016-04-11,13
2016-04-12,11
2016-04-13,19
2016-04-14,18
2016-04-15,10
2016-04-16,10
2016-04-17,8
2016-04-18,10
2016-04-19,4
2016-04-20,8
2016-04-21,9
2016-04-22,4
