Date,Frequancy
2016-10-04,2
2016-10-05,2
2016-10-06,1
2016-10-07,0
2016-10-08,2
2016-10-09,2
2016-10-10,2
2016-10-11,1
2016-10-12,1
2016-10-13,1
2016-10-14,1
2016-10-15,0
2016-10-16,1
2016-10-17,2
2016-10-18,1
2016-10-19,0
2016-10-20,2
2016-10-21,1
2016-10-22,1
2016-10-23,2
2016-10-24,1
2016-10-25,0
2016-10-26,2
2016-10-27,1
2016-10-28,1
2016-10-29,2
2016-10-30,0
2016-10-31,1
2016-11-01,2
2016-11-02,1
2016-11-03,1
2016-11-04,2
2016-11-05,0
2016-11-06,1
2016-11-07,3
2016-11-08,1
2016-11-09,2
2016-11-10,2
2016-11-11,1
2016-11-12,1
2016-11-13,3
2016-11-14,1
2016-11-15,1
2016-11-16,1
2016-11-17,1
2016-11-18,2
2016-11-19,2
2016-11-20,1
2016-11-21,1
2016-11-22,1
2016-11-23,1
2016-11-24,1
2016-11-25,2
2016-11-26,1
2016-11-27,0
2016-11-28,2
2016-11-29,1
2016-11-30,1
2016-12-01,2
2016-12-02,0
