영화명,개봉일,관객수,스크린수,대표국적,배급사
태극기 휘날리며,2004-02-05,"11,746,135",110.0,한국,(주)쇼박스
실미도,2003-12-24,"8,801,840",,한국,(주)시네마서비스
트로이,2004-05-21,"3,851,000",90.0,미국,워너브러더스 코리아(주)
슈렉2,2004-06-18,"3,300,533",85.0,미국,씨제이엔터테인먼트
어린 신부,2004-04-02,"3,149,500",50.0,한국,코리아픽쳐스(주)
말죽거리 잔혹사,2004-01-16,"3,115,767",67.0,한국,씨제이엔터테인먼트
투모로우,2004-06-03,"3,006,400",67.0,미국,이십세기폭스필름코퍼레이션
귀신이 산다,2004-09-17,"2,890,000",70.0,한국,(주)시네마서비스
내 머리 속의 지우개,2004-11-05,"2,565,078",68.0,한국,씨제이엔터테인먼트
해리포터와 아즈카반의 죄수,2004-07-16,"2,532,000",91.0,미국,워너브러더스 코리아(주)
패션 오브 크라이스트,2004-04-02,"2,523,700",56.0,미국,"(주)이수C&E,이십세기폭스필름코퍼레이션"
우리 형,2004-10-08,"2,479,585",77.0,한국,씨제이엔터테인먼트
스파이더맨 2,2004-06-30,"2,367,704",72.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
바람의 파이터,2004-08-12,"2,346,446",41.0,한국,영화사청어람(주)
내 여자친구를 소개합니다,2004-06-03,"2,199,359",75.0,한국,"씨제이엔터테인먼트,아이러브시네마"
늑대의 유혹,2004-07-22,"2,189,453",40.0,한국,(주)쇼박스
범죄의 재구성,2004-04-15,"2,129,358",50.0,한국,(주)쇼박스
아라한 장풍대작전,2004-04-30,"2,050,000",87.0,한국,(주)시네마서비스
반지의 제왕 : 왕의 귀환,2003-12-17,"2,024,323",105.0,미국,씨제이엔터테인먼트
시실리 2km,2004-08-13,"1,987,380",36.0,한국,(주)쇼박스
효자동 이발사,2004-05-05,"1,972,377",65.0,한국,(주)쇼박스
가족,2004-09-03,"1,932,304",44.0,한국,(주)튜브엔터테인먼트
목포는 항구다,2004-02-20,"1,795,700",32.0,한국,코리아픽쳐스(주)
오페라의 유령,2004-12-08,"1,782,651",71.0,미국,"(주)팝엔터테인먼트,(주)드림팩트엔터테인먼트,씨제이엔터테인먼트"
"아이, 로봇",2004-07-30,"1,777,470",49.0,미국,이십세기폭스필름코퍼레이션
알포인트,2004-08-20,"1,689,000",42.0,한국,(주)시네마서비스
반 헬싱,2004-07-30,"1,631,359",43.0,미국,(주)스튜디오이쩜영
S 다이어리,2004-10-22,"1,531,840",58.0,한국,"씨제이엔터테인먼트,아이러브시네마"
내사랑 싸가지,2004-01-16,"1,513,000",33.0,한국,(주)시네마서비스
브리짓 존스의 일기2 : 열정과 애정,2004-12-08,"1,462,000",55.0,영국,UIP코리아
주홍글씨,2004-10-29,"1,437,549",76.0,한국,(주)쇼박스
연인,2004-09-10,"1,416,000",66.0,중국,쇼이스트(주)
터미널,2004-08-27,"1,335,571",54.0,미국,씨제이엔터테인먼트
"달마야, 서울 가자",2004-07-09,"1,272,000",54.0,한국,(주)시네마서비스
하울의 움직이는 성,2004-12-23,"1,269,000",62.0,일본,"(주)이수C&E,(주)시네마서비스"
라스트 사무라이,2004-01-09,"1,263,200",56.0,미국,워너브러더스 코리아(주)
역도산,2004-12-15,"1,249,794",70.0,한국,씨제이엔터테인먼트
신부수업,2004-08-05,"1,242,476",56.0,한국,코리아픽쳐스(주)
나비효과,2004-11-12,"1,239,079",39.0,미국,(주)쇼박스
킹 아더,2004-07-23,"1,213,584",44.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
그녀를 믿지 마세요,2004-02-20,"1,204,000",43.0,한국,(주)시네마서비스
여선생 VS 여제자,2004-11-17,"1,175,580",55.0,한국,씨제이엔터테인먼트
령,2004-06-17,"1,108,769",35.0,한국,(주)쇼박스
내 남자의 로맨스,2004-07-16,"1,083,556",47.0,한국,씨제이엔터테인먼트
이프 온리,2004-10-29,"1,031,075",30.0,미국,"(주)유니코리아문예투자,씨제이엔터테인먼트"
분신사바,2004-08-05,"1,001,125",40.0,한국,브에나비스타인터내셔널코리아
블레이드 3,2004-12-15,"984,958",48.0,미국,(주)쇼박스
투 가이즈,2004-07-09,"931,000",39.0,한국,쇼이스트(주)
누구나 비밀은 있다,2004-07-30,"896,000",50.0,한국,(주)시네마서비스
